"instanceType","uuid:ID","description","id","label","name"
"Encounter","aee1c452-50e6-4e29-a3b1-06dcbd66e92c","Screening encounter","Encounter_1","Screening 1","E1"
"Encounter","0f5bef15-17eb-4dd5-9cec-7cb803f6f40e","Screening encounter - Ambulatory ECG Placement","Encounter_2","Screening 2","E2"
"Encounter","916b5455-7831-4159-aeed-2d4c247e195b","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Baseline","E3"
"Encounter","f6feafe7-4cb3-4fb5-b569-1393b37813de","Day 14","Encounter_4","Week 2","E4"
"Encounter","3d1cba0c-dbef-4fd4-bb82-0f75b22c34c0","Day 28","Encounter_5","Week 4","E5"
"Encounter","732f52f4-f1e0-4fb5-90fc-67e6c988a43e","Day 42","Encounter_6","Week 6","E7"
"Encounter","d2f8b64c-ec51-4b41-a40d-d43ee1004711","Day 56","Encounter_7","Week 8","E8"
"Encounter","b700953a-173b-4933-9cf3-38faeceb287e","Day 84","Encounter_8","Week 12","E9"
"Encounter","5bc84f6b-52a4-487d-82d1-b087b5a825b9","Day 112","Encounter_9","Week 16","E10"
"Encounter","6b576ade-0c17-4eca-a164-d9cfb69a527e","Day 140","Encounter_10","Week 20","E11"
"Encounter","86866d80-2ec6-45a0-883d-432e50662b5a","Day 168","Encounter_11","Week 24","E12"
"Encounter","720b21cc-f0ab-4231-b88a-a0f4b7ca1a1e","Day 182","Encounter_12","Week 26","E13"
