"instanceType","reference","uuid:ID","id","label","synonyms","name"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","82878e98-8dd2-4608-ab34-9ff04d76cdbf","BiomedicalConcept_20","Informed Consent Obtained","['Informed Consent Obtained', 'Informed Consent']","Informed Consent Obtained"
"BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","79bba441-485b-4d0a-b972-8cb4df484988","BiomedicalConcept_21","Sex","","Sex"
"BiomedicalConcept","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","efbb96f2-2c29-4694-8c17-e75bd105c82d","BiomedicalConcept_22","Race","['Racial Group']","Race"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","adc54851-897f-4f8b-b6de-17465a25388c","BiomedicalConcept_23","Temperature","['Temperature', 'Body Temperature']","Temperature"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","97f6324d-d526-4613-b973-30f5820553e1","BiomedicalConcept_24","Weight","['Weight', 'Body Weight']","Weight"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","a4ff7860-c997-4924-b2f1-c8f8a52797b9","BiomedicalConcept_25","Height","['Height', 'Body Height']","Height"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","9881674f-369a-456a-a8ec-09b0d418f305","BiomedicalConcept_26","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","a6cfb451-3de8-44a0-9f9a-e450f8db783f","BiomedicalConcept_27","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","69ba9d43-3d04-43a2-b61b-aaceb65553ec","BiomedicalConcept_28","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","8ce15ee1-601c-4f02-9cfd-4226b3763bd3","BiomedicalConcept_29","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","f418f42b-7ce1-4c72-867f-f33e1e3eb201","BiomedicalConcept_30","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","0443c23f-15f9-4189-b6a5-2f4d873ebb92","BiomedicalConcept_31","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","4adf6f5a-e855-42e1-9cbc-60f91496b6e8","BiomedicalConcept_32","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","8791998d-fb0b-4090-b069-87d9a07b7eea","BiomedicalConcept_33","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","Hemoglobin A1C Concentration in Blood"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","53be6392-4d39-40c6-a72c-aca01f82321b","BiomedicalConcept_1","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","Adverse Event Prespecified"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","b08e2843-817a-4616-81d1-1de08f235f01","BiomedicalConcept_2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","9b0f5e51-f3a9-4d51-a491-4c24dfc5dd22","BiomedicalConcept_3","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","d5917b33-13ef-4543-8882-7336b5d9ffd2","BiomedicalConcept_4","Temperature","['Temperature', 'Body Temperature']","Temperature"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","3683d4b9-814b-421c-a35e-84e6cf08aca0","BiomedicalConcept_5","Weight","['Weight', 'Body Weight']","Weight"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","ac473cff-80d7-4273-92b1-b0cc5aee6c66","BiomedicalConcept_6","Height","['Height', 'Body Height']","Height"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","8cf9dffb-76b5-41ef-881f-9a415e64c267","BiomedicalConcept_7","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","Alanine Aminotransferase Concentration in Serum/Plasma"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","1463cfc5-025f-4386-8d14-cd4cb46c605a","BiomedicalConcept_8","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","Albumin Presence in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","79ac90eb-79d6-42e5-8e8b-5764da93a06a","BiomedicalConcept_9","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","Alkaline Phosphatase Concentration in Serum/Plasma"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","0f964d34-35be-4987-a03b-b53d0971e70c","BiomedicalConcept_10","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","Aspartate Aminotransferase in Serum/Plasma"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","efbe134f-7c25-4e6b-8b58-7b68ebe9c29e","BiomedicalConcept_11","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","Creatinine Concentration in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","65f20b13-9d79-4602-8d31-51af92b9c05f","BiomedicalConcept_12","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","Potassium Concentration in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","2c9554e8-5180-4ff0-8eee-5b93ffef09c3","BiomedicalConcept_13","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","Sodium Concentration in Urine"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","a3a0a5f6-c68d-4b3c-8d91-916929d53e70","BiomedicalConcept_14","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","1c8717be-f3e1-4a26-997c-0bf66b70a547","BiomedicalConcept_15","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","Diastolic Blood Pressure"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","d6b65535-dfdd-47dd-9b3a-4afa1c2f49bd","BiomedicalConcept_16","Heart Rate","['Heart Rate']","Heart Rate"
"BiomedicalConcept","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","ace030aa-c3d9-4e80-a706-6ef9388bebc7","BiomedicalConcept_17","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","Systolic Blood Pressure"
