"instanceType","uuid:ID","description","id","label","name","purpose","text"
"Endpoint","9c5e0f9a-4924-442c-8257-ec68ec80c13e","","Endpoint_1","","END1","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"Endpoint","ccf1afca-567f-40fc-a2c4-9159b8719954","","Endpoint_2","","END2","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"Endpoint","8943fbe2-ff79-49a2-a42a-8ff908ffe590","","Endpoint_3","","END3","","Adverse events"
"Endpoint","ea19e913-0b87-4f3f-ab74-10bd7b1053b9","","Endpoint_4","","END4","","Vital signs (weight, standing and supine blood pressure, heart rate)"
"Endpoint","d9b483ed-df7a-4f0d-9541-e66b54811020","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","Endpoint_5","","END5","","Laboratory evaluations (Change from Baseline)"
"Endpoint","100d5897-b180-42f9-ad85-5c8ea595d26d","","Endpoint_6","","END6","","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"Endpoint","62e74863-d0f6-4772-8bae-38cb51a4919e","","Endpoint_7","","END7","","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"Endpoint","86b665a0-e727-497f-9349-38996a9c4240","","Endpoint_8","","END8","","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"Endpoint","e606bc5d-180b-42e6-b495-56c4546646dd","","Endpoint_9","","END9","","*** To be determined from protocol ***"
"Endpoint","c75253fe-ab0e-46cf-8df5-6fe6fdc1f9e3","","Endpoint_10","","END10","","*** To be determined from protocol ***"
"Endpoint","6f3b8802-92bb-40d9-abc9-07fe6bd1fedb","","Endpoint_11","","END11","","*** To be determined from protocol ***"
