"windowUpper","value","instanceType","valueLabel","uuid:ID","description","windowLower","id","label","windowLabel","name"
"","P2W","Timing","2 weeks","b8cb98fd-da57-41b7-a9c5-628eea9e5587","Screening timing","","Timing_1","Screening","","TIM1"
"PT0H","P2D","Timing","2 days","12990803-fcf0-4996-b46a-fefd0f999e7b","Pre dose timing","PT4H","Timing_2","Pre dose","-4..0 hours","TIM2"
"","P1D","Timing","1 Day","e91b024b-7406-489e-a850-ecae0abb8de4","Dosing anchor","","Timing_3","Dosing","","TIM3"
"P3D","P2W","Timing","2 Weeks","9ab5333e-b892-4991-9f0b-73c2cedb307a","Week 2 timing","P3D","Timing_4","Week 2","-3..3 days","TIM4"
"P3D","P4W","Timing","4 Weeks","29ae4aa2-5482-43d3-8b03-25bda6c0d0d9","Week 4 timing","P3D","Timing_5","Week 4","-3..3 days","TIM5"
"P3D","P6W","Timing","6 Weeks","a7fc1bcf-b16f-4e02-9fcf-b131ce8cc19b","Week 6 timing","P3D","Timing_6","Week 6","-3..3 days","TIM6"
"P3D","P8W","Timing","8 Weeks","3c198d63-8040-4aa4-8203-f7a67c243036","Week 8 timing","P3D","Timing_7","Week 8","-3..3 days","TIM7"
"P4D","P12W","Timing","12 Weeks","597e3ed4-2d60-4850-9bb7-b8d1f5d3ce42","Week 12 timing","P4D","Timing_9","Week 12","-4..4 days","TIM9"
"P4D","P16W","Timing","16 Weeks","7ba85c73-6db0-4e8e-affd-3464b7ffa827","Week 16 timing","P4D","Timing_11","Week 16","-4..4 days","TIM11"
"P4D","P20W","Timing","20 Weeks","0e0af7b4-3116-4c10-82c1-5db71aca9fc9","Week 20 timing","P4D","Timing_13","Week 20","-4..4 days","TIM13"
"P4D","P24W","Timing","24 Weeks","bd9c8abc-9cb5-4a7e-a7cf-e6244d81b7b6","Week 24 timing","P4D","Timing_15","Week 24","-4..4 days","TIM15"
"P3D","P26W","Timing","26 Weeks","00799a2b-f52a-484b-bf99-f1692f7ac621","Week 26 timing","P3D","Timing_16","Week 26","-3..3 days","TIM16"
"","P2W","Timing","2 Weeks","f4fecd68-bd94-4cae-8326-4c41776b915d","Week 8 at home timing","","Timing_8","Week 8 Home","","TIM8"
"","P2W","Timing","2 Weeks","b08e7e91-b5b8-4d82-b3d7-8afc789877e0","Week 12 at home timing","","Timing_10","Week 12 Home","","TIM10"
"","P2W","Timing","2 Weeks","4adf6f50-85fd-4a71-88d1-daec0b8d6b54","Week 16 at home timing","","Timing_12","Week 16 Home","","TIM12"
"","P2W","Timing","2 Weeks","33e77e2b-1040-4297-aeea-1bcd57890574","Week 20 at home timing","","Timing_14","Week 20 Home","","TIM14"
"","P1D","Timing","1 Day","743e699c-73c9-4d91-9dae-0b927a97965f","Adverse Event","","Timing_17","Adverse Event","","TIM17"
"","P1D","Timing","1 Day","936c4898-2d58-4c43-a97c-276fa3311c8e","Early Termination","","Timing_18","Early Termination","","TIM18"
"","PT0M","Timing","0 mins","8f29cb2e-f456-4cd9-b324-564d7e28bf7d","Supine","","Timing_19","Supine","","TIM19"
"","PT5M","Timing","5 mins","649f9eb5-2dc0-4bb0-b42b-99b76ad4a136","VS while supine","","Timing_20","VS while supine","","TIM20"
"","PT0M","Timing","0 min","18a78ef7-523e-428b-90a6-323257983fab","Standing","","Timing_21","Standing","","TIM21"
"","PT1M","Timing","1 min","f3eee1b6-dcf0-4caf-8d33-6f91b96a4fb7","VS while standing","","Timing_22","VS while standing","","TIM22"
"","PT0M","Timing","0 min","3a2af16e-36bc-4921-b73d-83de67c480cf","Standing","","Timing_23","Standing","","TIM23"
"","PT2M","Timing","2 min","d4778381-004e-47c0-900f-a77f6c41721d","VS while standing","","Timing_24","VS while standing","","TIM24"
