"instanceType","uuid:ID","description","id","label","name"
"ScheduledActivityInstance","8fcd245d-3d9d-4844-87c0-3244d9388219","-","ScheduledActivityInstance_9","Screen One","SCREEN1"
"ScheduledActivityInstance","c5eadd82-bcdb-4bd0-9e38-a67e4420a700","-","ScheduledActivityInstance_10","Screen Two","SCREEN2"
"ScheduledActivityInstance","cedb029a-8658-4f7c-857d-128546d2f0aa","-","ScheduledActivityInstance_11","Dose","DOSE"
"ScheduledActivityInstance","303594bd-6d1d-4e13-8c14-0c3c6cbec90a","-","ScheduledActivityInstance_12","Week 2","WK2"
"ScheduledActivityInstance","afaf1535-4db7-46ce-a22a-46eaa8c3b5a2","-","ScheduledActivityInstance_13","Week 4","WK4"
"ScheduledActivityInstance","6059af1a-bd9d-4e8c-b986-01985970abc5","-","ScheduledActivityInstance_14","Week 6","WK6"
"ScheduledActivityInstance","5e9e266c-2c58-479a-8754-49336b0ab4e8","-","ScheduledActivityInstance_15","Week 8","WK8"
"ScheduledActivityInstance","cbbdf3c2-a7c2-4085-8a26-cfa95699f4a8","-","ScheduledActivityInstance_16","Week NPI","WK8N"
"ScheduledActivityInstance","afca1129-1871-46c2-abc1-7c94d64430ec","-","ScheduledActivityInstance_17","Week 12","WK12"
"ScheduledActivityInstance","1cd040de-4060-43f4-94d3-75745bf9e730","-","ScheduledActivityInstance_18","Week 12 NPI","WK12N"
"ScheduledActivityInstance","f4ea5d1b-e0d9-47d9-9faf-fb961ff18284","-","ScheduledActivityInstance_19","Week 16","WK16"
"ScheduledActivityInstance","23b81d6c-d0b5-4736-8e57-8cf04c217969","-","ScheduledActivityInstance_20","Week 16 NPI","WK16N"
"ScheduledActivityInstance","abbdf3e0-fac6-48e8-a316-c93d645dff99","-","ScheduledActivityInstance_21","Week 20","WK20"
"ScheduledActivityInstance","d4d09fca-b830-487b-bb8b-9459cb914a32","-","ScheduledActivityInstance_22","Week 20 NPI","WK20N"
"ScheduledActivityInstance","235553b7-15ed-484a-b774-334c5aba6fa3","-","ScheduledActivityInstance_23","Week 24","WK24"
"ScheduledActivityInstance","4b09ae2f-8d1e-45ab-abe8-d1a1d44776a0","-","ScheduledActivityInstance_24","Week 26","WK26"
"ScheduledActivityInstance","6f67fb75-ef5a-4394-938b-d1d98f3f21cc","-","ScheduledActivityInstance_1","Adevers Event","AE"
"ScheduledActivityInstance","b7f8e4ea-797e-469e-9cee-957362879886","-","ScheduledActivityInstance_2","Early Termination","ET"
"ScheduledActivityInstance","04dedf4e-62a5-4b2c-9be0-05f4b76ea3fa","","ScheduledActivityInstance_3","5 minute supine","VS_5MIN"
"ScheduledActivityInstance","d642f5e2-3bd4-449f-a698-36821927a12c","","ScheduledActivityInstance_4","Vital signs supine","VS_SUPINE"
"ScheduledActivityInstance","2670867b-7c7e-4918-9c5b-3e91c08ab327","","ScheduledActivityInstance_5","1 minute standing","VS_1MIN"
"ScheduledActivityInstance","59a55440-f6f0-47cd-b4b7-ca796284551e","","ScheduledActivityInstance_6","Vital signs after 1 min standing","VS_STAND1"
"ScheduledActivityInstance","a917940d-f6ff-4070-9be6-7d424cc15c60","","ScheduledActivityInstance_7","2 minute standing","VS_2MIN"
"ScheduledActivityInstance","2e6307f7-31b4-4e18-8146-baf7652c9438","","ScheduledActivityInstance_8","Vital signs after 3 min standing","VS_STAND3"
