"instanceType","uuid:ID","id","name","text"
"TransitionRule","671df3e0-20db-472c-b39c-6ef815970400","TransitionRule_1","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule","138d3032-17f2-4b5d-ae1d-bc2360b1fc9a","TransitionRule_2","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule","9e6eb2b1-c720-437e-8806-39d644029068","TransitionRule_3","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule","d78b12ce-6d5d-419a-8d62-89ac6243d683","TransitionRule_4","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule","c6237bd7-7649-44a0-bc8d-b41fe56ba2b2","TransitionRule_5","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule","f6dcabb9-5bde-4ee5-8aea-1c635c40fb20","TransitionRule_6","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule","4cf32a4b-2798-4646-9afa-d003af23dff0","TransitionRule_7","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule","144ac582-98e4-4ad1-871b-ca09bc0fce3f","TransitionRule_8","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule","d289e02b-910c-4b2b-a982-86413cc1fde2","TransitionRule_9","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule","de0047bf-202f-4f73-8a26-b9cdbecbd71e","TransitionRule_14","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule","3e41834d-d086-4780-ab86-fd462cb889bd","TransitionRule_15","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule","5d885b00-1c4a-440b-9a6e-4b6e1066670b","TransitionRule_10","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule","9e348531-7a1e-4d8d-87c3-8888ff23ae2f","TransitionRule_11","ELEMENT_START_RULE_4","Randomized"
"TransitionRule","9e17681d-87eb-4d7a-9080-e8c47f7f7b99","TransitionRule_12","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule","9adb09c0-58ae-4843-94df-ec1a18f70de4","TransitionRule_13","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
