"isEnabled","isRequired","datatype","uuid:ID","id","name","label"
"True","True","decimal","1ac96387-9db4-4f6f-a8e7-904f76c303e5","BiomedicalConceptProperty_86","Vital Signs Result","Vital Signs Result"
"True","True","string","271c64fd-bd95-4f63-9a8b-cf85bd074192","BiomedicalConceptProperty_87","Unit of Temperature","Unit of Temperature"
"True","True","string","ad05f398-38da-4672-ad4d-a71da6557856","BiomedicalConceptProperty_88","Vital Signs Location","Vital Signs Location"
"True","True","decimal","989f9266-fc54-407e-a58b-eff3ba80de69","BiomedicalConceptProperty_89","Vital Signs Result","Vital Signs Result"
"True","True","string","84cc6384-d8e0-4f12-bc33-c17a20a5ef02","BiomedicalConceptProperty_90","Unit of Weight","Unit of Weight"
"True","True","decimal","0492d47c-6fc7-4838-8683-14e4f299ac38","BiomedicalConceptProperty_91","Vital Signs Result","Vital Signs Result"
"True","True","string","0357ed7a-4ef0-4bf6-be25-93ef4caf561c","BiomedicalConceptProperty_92","Unit of Height","Unit of Height"
"True","True","decimal","ce3cd552-9f63-4cd9-9a0d-3cb7c7d940bc","BiomedicalConceptProperty_93","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","8fe022c8-b117-4aef-910c-377c2b73cd0e","BiomedicalConceptProperty_94","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","aba6d6dc-16f8-45d6-afdd-8c75f9b5554f","BiomedicalConceptProperty_95","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"True","True","string","b3e3e716-c027-488c-994f-dae8d4ebcf1c","BiomedicalConceptProperty_96","Biospecimen Type","Biospecimen Type"
"True","True","string","4bd83d33-55d6-472a-9081-ac04047ef4e4","BiomedicalConceptProperty_97","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","72cb9d91-d0d0-43f2-b32c-5af91036a39a","BiomedicalConceptProperty_98","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","38d54280-8414-4e5c-9a50-fa7f87a59f51","BiomedicalConceptProperty_99","Unit of Concentration","Unit of Concentration"
"True","True","string","301e71cd-5e0f-4113-b010-67d806f27e5c","BiomedicalConceptProperty_100","Biospecimen Type","Biospecimen Type"
"True","True","decimal","ef00e5fe-d6ac-4222-87de-c33d835420fb","BiomedicalConceptProperty_101","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","67d66db9-72ff-44f0-a645-b3e3851af302","BiomedicalConceptProperty_102","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","0b1ef411-a240-4461-bd90-c940336851ae","BiomedicalConceptProperty_103","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"True","True","string","430fd608-982d-4cc8-9914-5f0265895b89","BiomedicalConceptProperty_104","Biospecimen Type","Biospecimen Type"
"True","True","decimal","0e477011-c61c-4824-b8d9-dd1eaf1861ea","BiomedicalConceptProperty_105","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","2b85e96f-bc79-466f-b082-e1e47a27d844","BiomedicalConceptProperty_106","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","4116ab52-25a9-4eba-a419-9784bc290df4","BiomedicalConceptProperty_107","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"True","True","string","25669d8d-2515-4435-983c-81ae9ae5edc6","BiomedicalConceptProperty_108","Biospecimen Type","Biospecimen Type"
"True","True","string","e16586f3-fb01-4248-bebe-09e0cfc03537","BiomedicalConceptProperty_109","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","2f39de4d-8b68-4079-b5b8-714a06d9de6c","BiomedicalConceptProperty_110","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","a471d10c-2e6e-4109-a322-38d085107100","BiomedicalConceptProperty_111","Unit of Concentration","Unit of Concentration"
"True","True","string","a1d041a6-a1b4-400c-92d1-da77c622b94f","BiomedicalConceptProperty_112","Biospecimen Type","Biospecimen Type"
"True","True","decimal","4857fd77-eb04-4fb8-afe8-fbc451931a9f","BiomedicalConceptProperty_113","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","9320757a-5db3-4beb-b609-da0b1ec485a4","BiomedicalConceptProperty_114","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","788d48b5-86d4-4df3-8ceb-e2251b0f1ee1","BiomedicalConceptProperty_115","Molarity Unit","Molarity Unit"
"True","True","string","1785ed81-0d88-40c3-95e5-e72570f83f78","BiomedicalConceptProperty_116","Biospecimen Type","Biospecimen Type"
"True","True","decimal","68a89317-dbfc-4975-af5c-a5e345d7d6e8","BiomedicalConceptProperty_117","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","640e8b86-182a-40b2-b5b9-c6de2c1c8344","BiomedicalConceptProperty_118","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","f598b58f-5ca0-451e-9441-25ed625373d5","BiomedicalConceptProperty_119","Molarity Unit","Molarity Unit"
"True","True","string","f22a44e8-2c34-4bc9-bd91-ffedd97497f7","BiomedicalConceptProperty_120","Biospecimen Type","Biospecimen Type"
"True","True","string","a1ce2c45-7ab2-4cfb-88c3-22e2b517b719","BiomedicalConceptProperty_1","Adverse Event Verbatim Description","Adverse Event Verbatim Description"
"True","True","string","2c6cd52a-e527-4001-a4f8-8206010edff6","BiomedicalConceptProperty_2","Adverse Event Dictionary Derived Term","Adverse Event Dictionary Derived Term"
"True","True","string","fe8c0765-4ab7-448a-8195-0e67364548a5","BiomedicalConceptProperty_3","Adverse Event Category","Adverse Event Category"
"True","True","string","027f41fc-ea32-43e3-96c9-5cf01325421c","BiomedicalConceptProperty_4","Adverse Event Subcategory","Adverse Event Subcategory"
"True","True","boolean","540ed6e0-c988-4308-bc85-da325b9086db","BiomedicalConceptProperty_5","Adverse Event Pre-specified","Adverse Event Pre-specified"
"True","True","string","adf40c5a-29d7-45b0-b4f0-71da45d1c107","BiomedicalConceptProperty_6","Severity of Adverse Event","Severity of Adverse Event"
"True","True","string","75838b0f-4891-4c52-9d73-18c9f3e3eefb","BiomedicalConceptProperty_7","Adverse Event Toxicity Grade","Adverse Event Toxicity Grade"
"True","True","boolean","fb3fb0c4-3284-4ff1-b8c5-3ab2422e6031","BiomedicalConceptProperty_8","Seriousness of Adverse Event","Seriousness of Adverse Event"
"True","True","string","f7b36bfe-fd0f-42ad-aaaa-94b86039b0a2","BiomedicalConceptProperty_9","Adverse Event Action Taken with Study Treatment","Adverse Event Action Taken with Study Treatment"
"True","True","string","65ba5247-66d0-4505-a643-1fe6fa87790d","BiomedicalConceptProperty_10","Adverse Event Attribution to Product or Procedure","Adverse Event Attribution to Product or Procedure"
"True","True","string","a3591a43-1af9-4931-8492-e103844c5b1e","BiomedicalConceptProperty_11","Adverse Event Pattern","Adverse Event Pattern"
"True","True","string","cb0bed9a-6633-40b3-b494-489f4fdf274f","BiomedicalConceptProperty_12","Adverse Event Outcome","Adverse Event Outcome"
"True","True","datetime","ac163ccb-d34e-4a03-99a4-ce0285a65d43","BiomedicalConceptProperty_13","Adverse Event Start Date Time","Adverse Event Start Date Time"
"True","True","datetime","89203906-ea09-4b6c-b495-b02a100e79cc","BiomedicalConceptProperty_14","Adverse Event End Date Time","Adverse Event End Date Time"
"True","True","decimal","5c260a67-278d-4a04-98e2-b2c4c6d69108","BiomedicalConceptProperty_15","Vital Signs Result","Vital Signs Result"
"True","True","string","961e9d5f-774e-4c47-9290-bf61c194b4bd","BiomedicalConceptProperty_16","Unit of Pressure","Unit of Pressure"
"True","True","string","d0c7d6f4-bbdd-4eb6-ae96-51825e768302","BiomedicalConceptProperty_17","Vital Signs Location","Vital Signs Location"
"True","True","string","30a8c39d-5dbf-46e0-970a-51a4d5299c67","BiomedicalConceptProperty_18","Vital Signs Laterality","Vital Signs Laterality"
"True","True","string","b8bfa6de-b7e0-4a08-ba8d-38a8b021f85c","BiomedicalConceptProperty_19","Test Method","Test Method"
"True","True","string","d761cd19-7c9e-4558-ac60-58763b9e32ed","BiomedicalConceptProperty_20","Vital Signs Position","Vital Signs Position"
"True","True","decimal","e9271f86-456a-405e-a898-a8637337e01a","BiomedicalConceptProperty_21","Vital Signs Result","Vital Signs Result"
"True","True","string","5bcfba7d-6f87-4b2b-8206-98317c21eb58","BiomedicalConceptProperty_22","Unit of Pressure","Unit of Pressure"
"True","True","string","51b31831-3b0c-4e07-b0df-1f6f316ea602","BiomedicalConceptProperty_23","Vital Signs Location","Vital Signs Location"
"True","True","string","b2ca98c4-a91c-4cbe-b4c1-f50ecfec18eb","BiomedicalConceptProperty_24","Vital Signs Laterality","Vital Signs Laterality"
"True","True","string","82e94fef-84fb-44c7-b6c9-3da11f786fdb","BiomedicalConceptProperty_25","Test Method","Test Method"
"True","True","string","53850769-0d82-4a35-9d8b-9cadfd6e413d","BiomedicalConceptProperty_26","Vital Signs Position","Vital Signs Position"
"True","True","decimal","597c244b-c285-4855-9eff-005f0d7a21d9","BiomedicalConceptProperty_27","Vital Signs Result","Vital Signs Result"
"True","True","string","fc3e993b-85ec-4587-891a-6e5afe58212d","BiomedicalConceptProperty_28","Unit of Temperature","Unit of Temperature"
"True","True","string","e5e00a79-4064-4067-9187-b3b07ceaa1b7","BiomedicalConceptProperty_29","Vital Signs Location","Vital Signs Location"
"True","True","decimal","9319b51b-cbc9-47e2-ab4e-521f0230c5ac","BiomedicalConceptProperty_30","Vital Signs Result","Vital Signs Result"
"True","True","string","5268b8dd-a276-40ab-a5b2-ab02c52ce1ee","BiomedicalConceptProperty_31","Unit of Weight","Unit of Weight"
"True","True","decimal","801959b8-9f2b-4698-ad36-d8b345a7b289","BiomedicalConceptProperty_32","Vital Signs Result","Vital Signs Result"
"True","True","string","07629ec5-9f54-44d4-80d2-126af6564aeb","BiomedicalConceptProperty_33","Unit of Height","Unit of Height"
"True","True","decimal","81ba0edd-d4bd-4337-8f45-b5b90e267c3b","BiomedicalConceptProperty_34","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","52c479ed-2889-4365-9d9a-12db833b4e4a","BiomedicalConceptProperty_35","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","cf38aae6-80e2-4ade-9e1d-173b64181c48","BiomedicalConceptProperty_36","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"True","True","string","ee16f896-5fe1-44bc-abbd-014d3187725e","BiomedicalConceptProperty_37","Biospecimen Type","Biospecimen Type"
"True","True","string","63b0952f-a1a8-43d3-a75a-df77615ac637","BiomedicalConceptProperty_38","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","4e217354-1840-4077-9d6c-83c5297cdec0","BiomedicalConceptProperty_39","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","072b7af2-3876-4526-a79d-85ffd162be08","BiomedicalConceptProperty_40","Unit of Concentration","Unit of Concentration"
"True","True","string","c6a561c8-7f71-44a1-9776-145373f8133d","BiomedicalConceptProperty_41","Biospecimen Type","Biospecimen Type"
"True","True","decimal","1db68bcf-1173-4552-8244-007551979e15","BiomedicalConceptProperty_42","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","c5bdca71-ec31-4603-9a3c-c0f0bed5b81b","BiomedicalConceptProperty_43","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","1d97d8cc-698d-4c5e-947b-54cfcbe65f9c","BiomedicalConceptProperty_44","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"True","True","string","bcfcf79d-9461-48d1-896f-c9bd8718dc59","BiomedicalConceptProperty_45","Biospecimen Type","Biospecimen Type"
"True","True","decimal","8088aef4-c9cd-43e6-94fd-8fde1e3d79c1","BiomedicalConceptProperty_46","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","b47b1c90-3761-4dde-a78e-62000d57a9df","BiomedicalConceptProperty_47","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","9cce95a8-f99c-4891-8ddf-350512343c7b","BiomedicalConceptProperty_48","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration"
"True","True","string","9f2f984c-b008-4ef9-86d6-964430ba4bb2","BiomedicalConceptProperty_49","Biospecimen Type","Biospecimen Type"
"True","True","string","cf7c9461-a66f-4e73-bc47-b0d1f94107eb","BiomedicalConceptProperty_50","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","b869a972-1325-4192-98c9-da510c0b9742","BiomedicalConceptProperty_51","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","f59292ab-3372-422d-a943-36c158384011","BiomedicalConceptProperty_52","Unit of Concentration","Unit of Concentration"
"True","True","string","d28386b3-6958-429a-a0dd-4e195f06166c","BiomedicalConceptProperty_53","Biospecimen Type","Biospecimen Type"
"True","True","decimal","540a40cf-4f25-4511-938d-99a417060d12","BiomedicalConceptProperty_54","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","87ea5132-713c-4e32-abf3-c139a35b0878","BiomedicalConceptProperty_55","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","5254f5b6-8109-4079-988e-c8a05f5c3f11","BiomedicalConceptProperty_56","Molarity Unit","Molarity Unit"
"True","True","string","07293fe1-35f1-46af-83ba-0af64983b1c5","BiomedicalConceptProperty_57","Biospecimen Type","Biospecimen Type"
"True","True","decimal","32e0e93b-46d8-4c92-bd23-d353091f17ca","BiomedicalConceptProperty_58","Laboratory Test Result","Laboratory Test Result"
"True","True","boolean","c7cc4f3e-d1f0-49b6-b11e-f61f188350b6","BiomedicalConceptProperty_59","Laboratory Test Fasting Status","Laboratory Test Fasting Status"
"True","True","string","af4aba89-2ac6-46a8-9c81-4a3e85d3d82a","BiomedicalConceptProperty_60","Molarity Unit","Molarity Unit"
"True","True","string","d8c4cb84-4915-458c-84ff-680bd00005df","BiomedicalConceptProperty_61","Biospecimen Type","Biospecimen Type"
"True","True","decimal","9007a55d-5b0e-4d12-bee3-2bd8b267530d","BiomedicalConceptProperty_62","Vital Signs Result","Vital Signs Result"
"True","True","string","6ac2b135-9268-47a9-905d-c9ffdc7e3734","BiomedicalConceptProperty_63","Unit of Pressure","Unit of Pressure"
"True","True","string","49de295d-6261-40b7-bd1b-ca9ef1d79a38","BiomedicalConceptProperty_64","Vital Signs Location","Vital Signs Location"
"True","True","string","4d3331cd-7190-4f74-9c6d-26b933bddbc6","BiomedicalConceptProperty_65","Vital Signs Laterality","Vital Signs Laterality"
"True","True","string","5d7db666-e3d9-40b4-8eea-78f70e83bdcb","BiomedicalConceptProperty_66","Test Method","Test Method"
"True","True","string","e89fe83b-d580-46f8-b3ed-ac147c9e5c03","BiomedicalConceptProperty_67","Vital Signs Position","Vital Signs Position"
"True","True","decimal","48dbe766-c751-42bb-aadd-d9528b971221","BiomedicalConceptProperty_68","Vital Signs Result","Vital Signs Result"
"True","True","string","87339b5a-f40c-40aa-8812-422e8c6a6ddb","BiomedicalConceptProperty_69","Unit of Pressure","Unit of Pressure"
"True","True","string","b7345b39-9aba-4592-a0ac-09c532fba098","BiomedicalConceptProperty_70","Vital Signs Location","Vital Signs Location"
"True","True","string","885ecd6d-36a5-438f-85d9-b32370968f98","BiomedicalConceptProperty_71","Vital Signs Laterality","Vital Signs Laterality"
"True","True","string","516b4636-c3dc-4a94-bf8a-3ad4f0ea8262","BiomedicalConceptProperty_72","Test Method","Test Method"
"True","True","string","faedf6e5-3d28-4839-8ced-dd147d413c71","BiomedicalConceptProperty_73","Vital Signs Position","Vital Signs Position"
"True","True","decimal","51a5921e-93b4-46d1-95c0-496039e7613b","BiomedicalConceptProperty_74","Vital Signs Result","Vital Signs Result"
"True","True","string","ecac7585-ed9c-49eb-be9a-ad59f8fc643a","BiomedicalConceptProperty_75","Unit of Pressure","Unit of Pressure"
"True","True","string","7a29c642-2182-45be-a51f-a024d8965545","BiomedicalConceptProperty_76","Vital Signs Location","Vital Signs Location"
"True","True","string","5ecd94f0-8d9e-4027-b424-77f934e2fd98","BiomedicalConceptProperty_77","Vital Signs Laterality","Vital Signs Laterality"
"True","True","string","89051c6b-c755-4895-bb5b-99d6a6934623","BiomedicalConceptProperty_78","Test Method","Test Method"
"True","True","string","78cdd912-a577-4ea7-8b86-964adcca11d3","BiomedicalConceptProperty_79","Vital Signs Position","Vital Signs Position"
"True","True","decimal","ea0ce3c5-e461-4d5d-82ba-84e6f7ca09b6","BiomedicalConceptProperty_80","Vital Signs Result","Vital Signs Result"
"True","True","string","a335419c-d6b8-433a-a853-c97753966c07","BiomedicalConceptProperty_81","Unit of Pressure","Unit of Pressure"
"True","True","string","37ab06c6-ad02-4db4-b85f-2eaefe10af02","BiomedicalConceptProperty_82","Vital Signs Location","Vital Signs Location"
"True","True","string","4717b9da-01b0-4634-8f7f-c565ee3f61e4","BiomedicalConceptProperty_83","Vital Signs Laterality","Vital Signs Laterality"
