"sectionTitle","uuid:ID","text","id","sectionNumber","name"
"Root","59b0105c-74f0-4620-89f0-3fa3a80d4b6f","","NarrativeContent_1","0","ROOT"
"TITLE PAGE","a536a7e2-0c2a-4eaa-ba7b-d42c34690af1","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent_2","0","SECTION 0"
"PROTOCOL SUMMARY","7316b850-c991-47b0-88b5-7a5a77e6a853","<div></div>","NarrativeContent_3","1","SECTION 1"
"Protocol Synopsis","f3143cb9-1107-4a7a-b788-9f604577ea0a","<div></div>","NarrativeContent_4","1.1","SECTION 1.1"
"Trial Schema","83597f4e-5481-4acd-9278-bf0def8dba98","<div></div>","NarrativeContent_5","1.2","SECTION 1.2"
"Schedule of Activities","51db9618-4a1a-4eb0-83e8-8fca94ed6059","<div></div>","NarrativeContent_6","1.3","SECTION 1.3"
"INTRODUCTION","8c18175e-af53-4a4c-9c9d-806a98d399bb","<div></div>","NarrativeContent_7","2","SECTION 2"
"Purpose of Trial","e0586256-10fc-4975-bcac-af8587b71bae","<div></div>","NarrativeContent_8","2.1","SECTION 2.1"
"Summary of Benefits and Risks","788304dc-ad3d-4865-83aa-1c9978d6b28c","<div></div>","NarrativeContent_9","2.2","SECTION 2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","5b6699e3-616c-48fe-9925-e1fecf94eb08","<div></div>","NarrativeContent_10","3","SECTION 3"
"Primary Objectives","4ea24310-33f7-4796-8cec-483d6fe73660","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent_11","3.1","SECTION 3.1"
"TRIAL DESIGN","c88f3fef-40e1-4f18-bdf7-8c15142d7227","<div></div>","NarrativeContent_12","4","SECTION 4"
"Description of Trial Design","507d8679-1315-4550-a836-c68e58aca187","<div></div>","NarrativeContent_13","4.1","SECTION 4.1"
"Participant Input into Design","0ffc9053-9f55-409b-b792-70ee1730bc67","<div></div>","NarrativeContent_14","4.1.1","SECTION 4.1.1"
"Rationale for Trial Design","cbc5b21a-a28e-41c9-aafa-4c588fc0ae0a","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","NarrativeContent_15","4.2","SECTION 4.2"
"Rationale for Comparator","a0d37048-1e5f-44ae-bb35-707d2b349b4d","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>","NarrativeContent_16","4.2.1","SECTION 4.2.1"
"Rationale for Adaptive or Novel Trial Design","92e4a6e6-dced-454f-8323-6ea6c48b6916","<div></div>","NarrativeContent_17","4.2.2","SECTION 4.2.2"
"Other Trial Design Considerations","d712e52c-00f3-4245-b123-42b6f24f3649","<div></div>","NarrativeContent_18","4.2.3","SECTION 4.2.3"
"Access to Trial Intervention After End of Trial","6f01d85a-1e57-4d97-b6f2-0b248ea2ef3b","<div></div>","NarrativeContent_19","4.3","SECTION 4.3"
"Start of Trial and End of Trial","49ce6fd9-914e-44de-8ed4-94811f2510e9","<div></div>","NarrativeContent_20","4.4","SECTION 4.4"
"TRIAL POPULATION","ca1ce245-e176-4268-9646-e4bdaff5ae31","<div></div>","NarrativeContent_21","5","SECTION 5"
