"name","uuid:ID","id","text"
"ENCOUNTER_START_RULE_1","5fc6dc1c-7287-440a-8440-793336c1a42e","TransitionRule_1","Subject identifier"
"ENCOUNTER_START_RULE_1","56e1ed56-3dd6-4c8a-83ee-1f55e429139c","TransitionRule_2","completion of screening activities"
"ENCOUNTER_START_RULE_2","f6a88352-3eb8-44ba-b3cb-df26efde893e","TransitionRule_3","subject leaves clinic after connection of ambulatory ECG machine"
"ENCOUNTER_START_RULE_3","c0278717-5d7a-4279-96b8-95735d4d6807","TransitionRule_4","subject has connection of ambulatory ECG machine removed"
"ENCOUNTER_START_RULE_3","bf2b4ac8-e3e0-45a7-9f91-27d618e42d8d","TransitionRule_5","Radomized"
"ENCOUNTER_START_RULE_12","95af230a-31c0-46bd-837f-0af9aa40f348","TransitionRule_6","End of treatment"
"ELEMENT_START_RULE_1","6a680258-d0aa-4e2f-bc02-5961b33529cc","TransitionRule_7","Informed consent"
"ELEMENT_END_RULE_1","cec8dfa7-357f-46ca-ac4d-6a728d092ae9","TransitionRule_8","Completion of all screening activities and no more than 2 weeks from informed consent"
"ELEMENT_START_RULE_2","18d80923-5526-492f-98fc-45a081352427","TransitionRule_9","Administration of first dose"
"ELEMENT_START_RULE_7","5682b0a5-903d-4fca-b4c7-f44d99ee2bb1","TransitionRule_14","End of last scheduled visit on study (including early termination)"
"ELEMENT_END_RULE_7","fa33f644-d342-438f-9c91-eb509b3532c2","TransitionRule_15","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"ELEMENT_START_RULE_3","f3a7fb2e-2f33-4e20-968d-74dbdf07ab45","TransitionRule_10","Administration of first dose"
"ELEMENT_START_RULE_4","695708b4-48cd-4e84-aae8-b5d23fc340a9","TransitionRule_11","Randomized"
"ELEMENT_START_RULE_5","816af190-7ebf-4b35-b89f-c997f931b8ac","TransitionRule_12","Administration of first dose (from patches supplied at Visit 4)"
"ELEMENT_START_RULE_6","1b61aef1-c0dc-4506-8aa9-de88dc181cae","TransitionRule_13","Administration of first dose (from patches supplied at Visit 12)"
