"reference","uuid:ID","synonyms","id","name","label"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","b8b706c1-bcdd-43cb-a558-f29f1b9d0702","['Temperature']","BiomedicalConcept_18","Body Temperature","Body Temperature"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","2b6c049b-b160-4501-8b3f-c298de4118a8","['Weight']","BiomedicalConcept_19","Body Weight","Body Weight"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","f7d78aac-b16a-4e30-96b4-e664dc9b1772","['Height']","BiomedicalConcept_20","Body Height","Body Height"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","9be4a970-09b8-4dc9-b104-777d22d4dbd6","['ALT', 'SGPT']","BiomedicalConcept_21","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","fe958552-390d-4ee8-87c6-1f0619f42e18","['Albumin']","BiomedicalConcept_22","Albumin Measurement","Albumin Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","cce080b5-ee2e-4398-993b-020986eeb44e","['Alkaline Phosphatase']","BiomedicalConcept_23","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","2103bc88-d767-4d6b-bbea-c65b629d6210","['AST', 'SGOT']","BiomedicalConcept_24","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","7eea489a-5188-44a6-8d32-bf924569104c","['Creatinine']","BiomedicalConcept_25","Creatinine Measurement","Creatinine Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","a5efca06-7986-41ac-ba0c-dfe265e96e21","['Potassium', 'K']","BiomedicalConcept_26","Potassium Measurement","Potassium Measurement"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","582da527-10f8-4f47-81ec-e631266fb822","['Sodium', 'NA']","BiomedicalConcept_27","Sodium Measurement","Sodium Measurement"
