"description","uuid:ID","value","windowLower","id","name","label","windowUpper","window"
"Screening timing","02f923dc-058b-4a27-a9d8-41cf491e8038","P2W","","Timing_1","TIM1","Screening","",""
"Pre dose timing","2dedda4c-394f-4002-9b01-2030accc72b1","P2D","PT4H","Timing_2","TIM2","Pre dose","PT0H","-4..0 hours"
"Dosing anchor","14992ade-090a-4de1-8a1f-ff775712f3b1","P1D","","Timing_3","TIM3","Dosing","",""
"Week 2 timing","d0c415c4-706f-4a7c-b7c4-7fb156b408f2","P2W","P3D","Timing_4","TIM4","Week 2","P3D","-3..3 days"
"Week 4 timing","3fe327d0-83e2-4516-959a-b0bcc0679e43","P4W","P3D","Timing_5","TIM5","Week 4","P3D","-3..3 days"
"Week 6 timing","3579f2bf-a3c1-49e2-b754-478898d625cb","P6W","P3D","Timing_6","TIM6","Week 6","P3D","-3..3 days"
"Week 8 timing","9dd9783f-7cbe-4f6a-b2b4-618a35d438b6","P8W","P3D","Timing_7","TIM7","Week 8","P3D","-3..3 days"
"Week 8 at home timing","8b59429f-553b-4225-9acf-9979cada640c","P2W","","Timing_8","TIM8","Week 8 Home","",""
"Week 12 timing","e0a5705e-aa8d-439c-8367-e869efbe17e0","P12W","P4D","Timing_9","TIM9","Week 12","P4D","-4..4 days"
"Week 12 at home timing","54eba687-59c0-4f5b-9af5-800da57e4100","P2W","","Timing_10","TIM10","Week 12 Home","",""
"Week 16 timing","6d88e4a3-4261-4b6c-b567-d2e7d5d871c9","P16W","P4D","Timing_11","TIM11","Week 16","P4D","-4..4 days"
"Week 16 at home timing","e198cf69-8c5d-4073-9a41-ed7ffb011872","P2W","","Timing_12","TIM12","Week 16 Home","",""
"Week 20 timing","da56c6d6-82bf-4720-92e4-5cb5d661341b","P20W","P4D","Timing_13","TIM13","Week 20","P4D","-4..4 days"
"Week 20 at home timing","f8556fb3-d18b-41ba-8fda-c19427f0aeaf","P2W","","Timing_14","TIM14","Week 20 Home","",""
"Week 24 timing","b399645b-7511-4cd6-b580-c0bfb3d02513","P24W","P4D","Timing_15","TIM15","Week 24","P4D","-4..4 days"
"Week 26 timing","45041eea-e7fd-417f-a23e-3ff5a6a66470","P26W","P3D","Timing_16","TIM16","Week 26","P3D","-3..3 days"
"Adverse Event","9e1f8918-a2c7-48e8-910f-84b1f63dbcd1","P1D","","Timing_17","TIM17","Adverse Event","",""
"Early Termination","7bd5a9e4-0c06-4bd4-8b31-2ed246170f2e","P1D","","Timing_18","TIM18","Early Termination","",""
"BP Anchor","87be023d-e291-4e32-9d44-1bd7864ba5aa","PT0M","","Timing_19","TIM19","BP Anchor","",""
"BP while Supine","926ac24d-49ba-441a-8348-2d026f85a856","PT5M","","Timing_20","TIM20","BP while Supine","",""
"BP Stand Up","ae0e3cd3-86f6-4c5a-8e7a-d6dc128569c4","PT3M","PT2M","Timing_21","TIM21","BP Stand Up","PT0M","-2..0 min"
"BP while standing","ebbb015a-4fd7-41b5-8e69-5c8ac67c2404","PT0M","","Timing_22","TIM22","BP while standing","",""
