"codeSystemVersion","uuid:ID","code","decode","id","codeSystem"
"2023-09-29","ad45ad90-6584-4cba-bf73-ad3748e7197f","C98388","Interventional Study","Code_1","http://www.cdisc.org"
"2023-09-29","098a8b21-1624-4268-a56f-53a7da58fe0a","C15601","Phase II Trial","Code_2","http://www.cdisc.org"
"2023-09-29","e30ce1a2-a623-4be1-9329-8842bb5d8aff","C132352","Sponsor Approval Date","Code_5","http://www.cdisc.org"
"2023-09-29","569b53b6-b470-4de7-b215-72f137569fb0","C68846","Global","Code_6","http://www.cdisc.org"
"2023-09-29","ddcaa007-e1c2-41a3-9dea-feaccf44233d","C99904x3","IRB/IEC Feedback","Code_65","http://www.cdisc.org"
"2023-09-29","43c9aaab-f44e-4323-ad88-6675a21bfe6c","C17649","Other","Code_66","http://www.cdisc.org"
"2023-09-29","11dd73c2-b32a-4dfb-8695-47dec286309e","C41129","Region","Code_68","http://www.cdisc.org"
"2020-08","9f4f8b09-6a5e-4fae-8a61-b607e314866a","150","Europe","Code_67","ISO 3166 1 alpha3"
"12","5a27e27e-bdda-4adc-befd-ef2a07a1809d","PHARMA","Eli Lilly","Code_3","SPONSOR"
"2023-09-29","1085b4a9-9ea4-40d1-beb2-229b1db13c22","C70793","Clinical Study Sponsor","Code_69","http://www.cdisc.org"
"2020-08","24a8e92d-8fc3-4fdd-948e-640e0dfef8c7","USA","United States of America","Code_70","ISO 3166 1 alpha3"
"2023-09-29","9fd43489-fda9-4bd2-bef4-1b7cb3221940","C93453","Study Registry","Code_71","http://www.cdisc.org"
"2023-09-29","937b722a-e1ee-40c8-98fd-616b7491b2ba","C49656","Treatment Study","Code_129","http://www.cdisc.org"
"2023-09-29","593be744-ad22-489b-9150-0b188a802115","C49666","Efficacy Study","Code_130","http://www.cdisc.org"
"2023-09-29","d2ae38c5-3b98-4229-a2de-173e09bb699b","C49667","Safety Study","Code_131","http://www.cdisc.org"
"2023-09-29","510109f4-ccf4-4a85-a8ad-25a9c68be70d","C49663","Pharmacokinetic Study","Code_132","http://www.cdisc.org"
"12","94a54f75-a363-4f4b-b034-abbe5e757fdc","MILD_MOD_ALZ","Mild to Moderate Alzheimer\'s Disease","Code_126","SPONSOR"
"January 31, 2018","f8bfa19f-f9ed-402c-883f-24bf23b6852d","26929004","Alzheimer\'s disease","Code_127","SNOMED"
