"instanceType","name","text","uuid:ID","id"
"TransitionRule","ENCOUNTER_START_RULE_1","Subject identifier","2337d26f-2ba4-438e-9fb8-6dd9aea8c8f3","TransitionRule_1"
"TransitionRule","ENCOUNTER_START_RULE_1","completion of screening activities","4fb6060d-a885-444a-95ae-bbcc026dd77b","TransitionRule_2"
"TransitionRule","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","74a2f7cd-81d8-4708-b07e-1f7b3f2e30ea","TransitionRule_3"
"TransitionRule","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","6c9d141c-4118-4c82-8217-4de53ce729ba","TransitionRule_4"
"TransitionRule","ENCOUNTER_START_RULE_3","Radomized","2d189b0e-4b17-4b9a-924d-45d2475118e0","TransitionRule_5"
"TransitionRule","ENCOUNTER_START_RULE_12","End of treatment","f86a4b0d-49b5-41d3-8f53-ec18bf66fb6e","TransitionRule_6"
"TransitionRule","ELEMENT_START_RULE_1","Informed consent","e55d17d7-6c20-431e-b00c-c28ebb5706bd","TransitionRule_7"
"TransitionRule","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","693311ff-7bbf-4944-8334-b83d4242496f","TransitionRule_8"
"TransitionRule","ELEMENT_START_RULE_2","Administration of first dose","a4a4a768-2aac-4001-bdd1-3ce3512afa72","TransitionRule_9"
"TransitionRule","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","76eb30b0-177e-4cdf-91e3-7e4efa1f05df","TransitionRule_14"
"TransitionRule","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","eeb4d73c-1497-424f-b360-8d35c415d851","TransitionRule_15"
"TransitionRule","ELEMENT_START_RULE_3","Administration of first dose","b92a0e3c-7bde-4854-bf72-7cd07db9546a","TransitionRule_10"
"TransitionRule","ELEMENT_START_RULE_4","Randomized","d4237271-67ba-4955-b36b-8942f7d35b87","TransitionRule_11"
"TransitionRule","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","5da2566b-f1e4-4c0e-9cb7-1405ec868391","TransitionRule_12"
"TransitionRule","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","5571d4b7-56c8-4f3f-9d05-8cc02070d29d","TransitionRule_13"
