"description","label","instanceType","name","uuid:ID","id"
"-","Screen One","ScheduledActivityInstance","SCREEN1","eab2fbab-e2c2-4cbc-94af-5288310ef99a","ScheduledActivityInstance_9"
"-","Screen Two","ScheduledActivityInstance","SCREEN2","68ab1dba-0f3b-49b6-bb27-221fdb27fc58","ScheduledActivityInstance_10"
"-","Dose","ScheduledActivityInstance","DOSE","e655ffa0-a5a6-49ae-9d85-48787024ef18","ScheduledActivityInstance_11"
"-","Week 2","ScheduledActivityInstance","WK2","47c7aa22-914f-4ee4-a02b-90cdb0378bac","ScheduledActivityInstance_12"
"-","Week 4","ScheduledActivityInstance","WK4","0bc53f6f-ada9-49e1-bfe5-a17717e404c1","ScheduledActivityInstance_13"
"-","Week 6","ScheduledActivityInstance","WK6","6f9a17d6-8bdf-48ff-9ab4-fc660a3a4c7e","ScheduledActivityInstance_14"
"-","Week 8","ScheduledActivityInstance","WK8","e2901ad5-b983-4f11-961d-d1713d7f0af4","ScheduledActivityInstance_15"
"-","Week NPI","ScheduledActivityInstance","WK8N","74449e19-80c5-4c8b-a991-5f05a015e206","ScheduledActivityInstance_16"
"-","Week 12","ScheduledActivityInstance","WK12","36851cec-fb7b-47c2-8495-98272a59f137","ScheduledActivityInstance_17"
"-","Week 12 NPI","ScheduledActivityInstance","WK12N","7be98789-f63e-4b01-a383-b70f7f524933","ScheduledActivityInstance_18"
"-","Week 16","ScheduledActivityInstance","WK16","1db2f430-5ddd-423b-b462-d11e0da946f4","ScheduledActivityInstance_19"
"-","Week 16 NPI","ScheduledActivityInstance","WK16N","e43cbdac-70a3-4f1a-9eab-8eafa7facdba","ScheduledActivityInstance_20"
"-","Week 20","ScheduledActivityInstance","WK20","7670723e-0069-48d9-898e-8780cb301a4d","ScheduledActivityInstance_21"
"-","Week 20 NPI","ScheduledActivityInstance","WK20N","17c847c0-1f80-40df-91cd-f0d120135ff9","ScheduledActivityInstance_22"
"-","Week 24","ScheduledActivityInstance","WK24","a19c60a1-a4db-436f-b186-5149883476ec","ScheduledActivityInstance_23"
"-","Week 26","ScheduledActivityInstance","WK26","2e12bbd5-b5fb-4e3f-a84a-e6f31d144b31","ScheduledActivityInstance_24"
"-","Adevers Event","ScheduledActivityInstance","AE","0c1c8f8f-f07d-476e-bab8-10d310bbec22","ScheduledActivityInstance_1"
"-","Early Termination","ScheduledActivityInstance","ET","0491f3eb-f8f1-4ea2-866b-5e1b06ffbdba","ScheduledActivityInstance_2"
"","5 minute supine","ScheduledActivityInstance","VS_5MIN","045ddc3a-8449-45d0-8da6-6811ef05aa5e","ScheduledActivityInstance_3"
"","Vital signs supine","ScheduledActivityInstance","VS_SUPINE","b5d3e516-b9ca-470c-80a5-753607c9d504","ScheduledActivityInstance_4"
"","1 minute standing","ScheduledActivityInstance","VS_1MIN","897d8dca-2164-42e2-a83e-3b291e9a09c9","ScheduledActivityInstance_5"
"","Vital signs after 1 min standing","ScheduledActivityInstance","VS_STAND1","e98355a6-4def-4b73-9be6-b515b7f29ed0","ScheduledActivityInstance_6"
"","2 minute standing","ScheduledActivityInstance","VS_2MIN","0fdebd67-d43a-4969-b581-fccb2077862b","ScheduledActivityInstance_7"
"","Vital signs after 3 min standing","ScheduledActivityInstance","VS_STAND3","a1f3f5f0-458f-477c-b86c-9a5f0e1f3ab9","ScheduledActivityInstance_8"
