"label","instanceType","name","reference","uuid:ID","synonyms","id"
"Informed Consent Obtained","BiomedicalConcept","Informed Consent Obtained","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/CONSENT","0af541c6-ad4e-4120-8254-e0992ecfec3d","['Informed Consent Obtained', 'Informed Consent']","BiomedicalConcept_20"
"Sex","BiomedicalConcept","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","e7ecead4-0609-4c3f-a1a2-85d25b41ec35","","BiomedicalConcept_21"
"Race","BiomedicalConcept","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","19cf8626-7e82-4dad-afb6-7b7704d91a94","['Racial Group']","BiomedicalConcept_22"
"Temperature","BiomedicalConcept","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","a1844736-a1e6-49e6-8bcf-816b2297a4ae","['Temperature', 'Body Temperature']","BiomedicalConcept_23"
"Weight","BiomedicalConcept","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","2b0dc957-d87c-4316-81d1-c001bc766b16","['Weight', 'Body Weight']","BiomedicalConcept_24"
"Height","BiomedicalConcept","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","8ae59115-2d2a-4365-85b4-b5f765fe0f01","['Height', 'Body Height']","BiomedicalConcept_25"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","9e4c00cb-0c95-41eb-a5b3-9b5587003727","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_26"
"Albumin Presence in Urine","BiomedicalConcept","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","f6f332a5-4f1d-4b29-a9c1-238763475a2b","['Albumin', 'Albumin Measurement']","BiomedicalConcept_27"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","45ee7b8b-b44d-45c7-96ee-1883fcaf00d9","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_28"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","ac8a2cf5-eee3-4888-83ec-b984f7e26e82","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_29"
"Creatinine Concentration in Urine","BiomedicalConcept","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","4c286f82-25e6-4471-87c5-1c804e4ee312","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_30"
"Potassium Concentration in Urine","BiomedicalConcept","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","3c960362-322b-463a-bae8-adc36ec9ef00","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_31"
"Sodium Concentration in Urine","BiomedicalConcept","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","d42ca138-3227-4810-a957-e6833793f28e","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_32"
"Hemoglobin A1C Concentration in Blood","BiomedicalConcept","Hemoglobin A1C Concentration in Blood","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","f9d50611-47f1-4389-be10-7f91e2f83dea","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","BiomedicalConcept_33"
"Adverse Event Prespecified","BiomedicalConcept","Adverse Event Prespecified","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","7a9cd23a-0e68-4fff-82f5-f4def9358539","['Adverse Event', 'Solicited Adverse Event']","BiomedicalConcept_1"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","36dc8d4e-7378-4c81-a686-2c082744a0cb","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_2"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","092446c5-3096-4387-a894-95992dea0cd6","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_3"
"Temperature","BiomedicalConcept","Temperature","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","9c344d38-8110-4ec5-99d7-ff21fd5709c6","['Temperature', 'Body Temperature']","BiomedicalConcept_4"
"Weight","BiomedicalConcept","Weight","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","2d508760-af08-4fc4-8df8-7cd5f8675d14","['Weight', 'Body Weight']","BiomedicalConcept_5"
"Height","BiomedicalConcept","Height","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","23380d2a-4c39-4c55-9a29-05c8a388230a","['Height', 'Body Height']","BiomedicalConcept_6"
"Alanine Aminotransferase Concentration in Serum/Plasma","BiomedicalConcept","Alanine Aminotransferase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","b13f82d6-ffdf-40a7-b743-f67f9c5a5ac4","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","BiomedicalConcept_7"
"Albumin Presence in Urine","BiomedicalConcept","Albumin Presence in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","589d210e-b895-4856-ab45-4b74497b1f67","['Albumin', 'Albumin Measurement']","BiomedicalConcept_8"
"Alkaline Phosphatase Concentration in Serum/Plasma","BiomedicalConcept","Alkaline Phosphatase Concentration in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","df496d4b-a515-4ca1-b042-6dc24a688302","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","BiomedicalConcept_9"
"Aspartate Aminotransferase in Serum/Plasma","BiomedicalConcept","Aspartate Aminotransferase in Serum/Plasma","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","6600eaf0-62fa-438c-92d7-4bd1f2319379","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","BiomedicalConcept_10"
"Creatinine Concentration in Urine","BiomedicalConcept","Creatinine Concentration in Urine","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","7befad5e-4409-467a-afd2-21bf8e5ae925","['Creatinine', 'Creatinine Measurement']","BiomedicalConcept_11"
"Potassium Concentration in Urine","BiomedicalConcept","Potassium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","36f81a27-e5d8-417f-a8b9-dd14ab623361","['Potassium', 'K', 'Potassium Measurement']","BiomedicalConcept_12"
"Sodium Concentration in Urine","BiomedicalConcept","Sodium Concentration in Urine","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","ab9ae7ff-8d35-4b37-aedb-3eaef8a14248","['Sodium', 'NA', 'Sodium Measurement']","BiomedicalConcept_13"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","95540694-887f-40e9-8c73-07234b8fa385","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_14"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","40bc0053-8c23-4581-943d-c6aa53aaae46","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_15"
"Heart Rate","BiomedicalConcept","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","cd5126df-035d-4a97-be55-fa26dbe64c78","['Heart Rate']","BiomedicalConcept_16"
"Systolic Blood Pressure","BiomedicalConcept","Systolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","180c5288-a41f-44bf-8832-6f0898b934b2","['SYSBP', 'Systolic Blood Pressure']","BiomedicalConcept_17"
"Diastolic Blood Pressure","BiomedicalConcept","Diastolic Blood Pressure","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","65af138c-0b9c-483f-b62f-885ca98d1750","['DIABP', 'Diastolic Blood Pressure']","BiomedicalConcept_18"
"Heart Rate","BiomedicalConcept","Heart Rate","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HR","d66d3be9-0c30-4bdb-beeb-ecf50426d3ec","['Heart Rate']","BiomedicalConcept_19"
