"code","instanceType","codeSystem","decode","uuid:ID","codeSystemVersion","id"
"C98388","Code","http://www.cdisc.org","Interventional Study","5a679832-bd1a-4074-ad55-d5a450da0a5b","2023-12-15","Code_1"
"C15601","Code","http://www.cdisc.org","Phase II Trial","ec7c03eb-8b06-4dd1-aa0c-49f7bce75240","2023-12-15","Code_2"
"C132352","Code","http://www.cdisc.org","Sponsor Approval Date","26685599-1da4-43b8-9950-5c32e1151b44","2023-12-15","Code_9"
"C68846","Code","http://www.cdisc.org","Global","5cc96aee-1f5b-419b-bd50-208c521a0ceb","2023-12-15","Code_10"
"C99904x3","Code","http://www.cdisc.org","IRB/IEC Feedback","d4fb7b8d-2150-4dff-80b8-8e6723d29cc4","2023-12-15","Code_72"
"C17649","Code","http://www.cdisc.org","Other","4833e67d-ff5f-4c8a-937e-db6827cedbb5","2023-12-15","Code_73"
"C41129","Code","http://www.cdisc.org","Region","96791ccc-5ef7-4614-bf1d-2fee06977dfa","2023-12-15","Code_75"
"150","Code","ISO 3166 1 alpha3","Europe","b396208b-adba-415b-8487-56e5250e623e","2020-08","Code_74"
"PHARMA","Code","SPONSOR","Eli Lilly","f5b3691a-e9a4-4aee-b310-5ac3048b6e22","12","Code_4"
"C70793","Code","http://www.cdisc.org","Clinical Study Sponsor","8b7d6ec5-97d4-4d0b-b47f-8e8707218370","2023-12-15","Code_76"
"USA","Code","ISO 3166 1 alpha3","United States of America","bcff7e2b-6ab6-4864-bfca-86242c4af87e","2020-08","Code_77"
"C93453","Code","http://www.cdisc.org","Study Registry","05891fcd-d804-4452-91ce-3571f98dee69","2023-12-15","Code_78"
"USA","Code","ISO 3166 1 alpha3","United States of America","f76c1aba-6f3e-4e9a-bab6-6350c36f7565","2020-08","Code_79"
"C49656","Code","http://www.cdisc.org","Treatment Study","82d66e35-c0bd-42da-9296-d3694f8b5bde","2023-12-15","Code_137"
"C49666","Code","http://www.cdisc.org","Efficacy Study","0d72c8f0-c858-4fa9-a0f4-6a3218cd1415","2023-12-15","Code_138"
"C49667","Code","http://www.cdisc.org","Safety Study","2409673b-759b-430c-ac8a-d456ff7c3f02","2023-12-15","Code_139"
"C49663","Code","http://www.cdisc.org","Pharmacokinetic Study","8ddd9673-d6f3-4665-97db-c29476469be7","2023-12-15","Code_140"
"MILD_MOD_ALZ","Code","SPONSOR","Mild to Moderate Alzheimer's Disease","a64153d1-ce20-44ef-8c63-d4c93e0da137","12","Code_134"
