"description","label","windowLabel","windowUpper","value","instanceType","windowLower","name","uuid:ID","valueLabel","id"
"Screening timing","Screening","","","P2W","Timing","","TIM1","6e7d1fb3-af9a-481a-8a99-321eede2bcd5","2 weeks","Timing_1"
"Pre dose timing","Pre dose","-4..0 hours","PT0H","P2D","Timing","PT4H","TIM2","e5d59779-5e06-4c78-a922-608a6ce0390f","2 days","Timing_2"
"Dosing anchor","Dosing","","","P1D","Timing","","TIM3","512cef76-cec4-4a86-8439-8bafe461006e","1 Day","Timing_3"
"Week 2 timing","Week 2","-3..3 days","P3D","P2W","Timing","P3D","TIM4","9514c3c2-1c3f-424b-b841-9746e165fcd0","2 Weeks","Timing_4"
"Week 4 timing","Week 4","-3..3 days","P3D","P4W","Timing","P3D","TIM5","133db813-4630-4a5c-ab44-66302b7aea9d","4 Weeks","Timing_5"
"Week 6 timing","Week 6","-3..3 days","P3D","P6W","Timing","P3D","TIM6","cf106050-ac1e-4162-82eb-4503db282fee","6 Weeks","Timing_6"
"Week 8 timing","Week 8","-3..3 days","P3D","P8W","Timing","P3D","TIM7","d4a278a7-bc71-4768-bdae-d3dbb658e921","8 Weeks","Timing_7"
"Week 12 timing","Week 12","-4..4 days","P4D","P12W","Timing","P4D","TIM9","a2786fc7-c3f0-4abc-afb4-80d3643a66d6","12 Weeks","Timing_9"
"Week 16 timing","Week 16","-4..4 days","P4D","P16W","Timing","P4D","TIM11","f65cee06-3eab-449c-b35a-0d242dbd2650","16 Weeks","Timing_11"
"Week 20 timing","Week 20","-4..4 days","P4D","P20W","Timing","P4D","TIM13","ac2bc264-12cb-484b-acff-0c4d6df19472","20 Weeks","Timing_13"
"Week 24 timing","Week 24","-4..4 days","P4D","P24W","Timing","P4D","TIM15","49844f5a-4744-489a-9483-f09f9bc0c5d6","24 Weeks","Timing_15"
"Week 26 timing","Week 26","-3..3 days","P3D","P26W","Timing","P3D","TIM16","57879383-ac99-447c-a8f5-74c9bc31f553","26 Weeks","Timing_16"
"Week 8 at home timing","Week 8 Home","","","P2W","Timing","","TIM8","2a74fcea-0c40-4039-a6c7-b72b93b5074e","2 Weeks","Timing_8"
"Week 12 at home timing","Week 12 Home","","","P2W","Timing","","TIM10","c698ae1e-2cfe-48b9-8efb-dbe1f66e29ee","2 Weeks","Timing_10"
"Week 16 at home timing","Week 16 Home","","","P2W","Timing","","TIM12","b630ade3-be33-4d5e-a10b-02d2217c3aad","2 Weeks","Timing_12"
"Week 20 at home timing","Week 20 Home","","","P2W","Timing","","TIM14","6eb5c30b-4b88-410d-8534-cbad498a4e72","2 Weeks","Timing_14"
"Adverse Event","Adverse Event","","","P1D","Timing","","TIM17","f41ddb61-b4e5-4d0e-a4a4-3176b1e07955","1 Day","Timing_17"
"Early Termination","Early Termination","","","P1D","Timing","","TIM18","0d2835b7-22f1-4e31-a893-f8988d4124c1","1 Day","Timing_18"
"Supine","Supine","","","PT0M","Timing","","TIM19","dd198b57-2e66-47c0-931d-94955838d97e","0 mins","Timing_19"
"VS while supine","VS while supine","","","PT5M","Timing","","TIM20","a9e1a55c-3811-4eca-9f05-a22901a319b3","5 mins","Timing_20"
"Standing","Standing","","","PT0M","Timing","","TIM21","29c1cae1-07ec-4957-bfe3-36ece5a0f608","0 min","Timing_21"
"VS while standing","VS while standing","","","PT1M","Timing","","TIM22","94af77e9-425a-4545-8c3f-8de2f41593c4","1 min","Timing_22"
"Standing","Standing","","","PT0M","Timing","","TIM23","845ef03b-8e87-450b-aa58-2baa46bd445a","0 min","Timing_23"
"VS while standing","VS while standing","","","PT2M","Timing","","TIM24","6fea8ea7-3be3-4786-8a73-b5866dd82bec","2 min","Timing_24"
