"description","label","instanceType","name","uuid:ID","id"
"Screening encounter","Screening 1","Encounter","E1","30f28614-afe3-4df9-89b5-26f97a7a1b43","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Screening 2","Encounter","E2","0d71c5d7-e8d7-4fce-8db6-633a9bf16523","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Baseline","Encounter","E3","e3b0151a-ab1f-4d40-8a4a-5a30e37bd0da","Encounter_3"
"Day 14","Week 2","Encounter","E4","83560c42-ae1e-484d-964a-eb60451c82ed","Encounter_4"
"Day 28","Week 4","Encounter","E5","1f7adc49-3199-4ace-8877-b3cb179b9368","Encounter_5"
"Day 42","Week 6","Encounter","E7","f4a9a290-3674-4131-89b8-ea97bc549637","Encounter_6"
"Day 56","Week 8","Encounter","E8","49f72694-801a-4195-be47-8abf5994ba25","Encounter_7"
"Day 84","Week 12","Encounter","E9","da175701-f56f-4422-a5f5-4a87e418dfc8","Encounter_8"
"Day 112","Week 16","Encounter","E10","28b4c87e-4bd3-4446-af9a-1914b2104539","Encounter_9"
"Day 140","Week 20","Encounter","E11","30a4d5fb-dd3f-45c9-a7b3-4b2ffb62cfbd","Encounter_10"
"Day 168","Week 24","Encounter","E12","2d66dd87-6970-4db3-9f39-b0cba05f83c3","Encounter_11"
"Day 182","Week 26","Encounter","E13","63a02030-4ad0-4be6-92a9-74ebc906cc11","Encounter_12"
