"description","label","instanceType","name","uuid:ID","id"
"","Informed consent","Activity","Informed consent","ae457bf3-b096-4c2e-94a8-765e0dbcc48d","Activity_1"
"","Inclusion and exclusion criteria","Activity","Inclusion/exclusion criteria","ee200342-81e2-43a4-8457-b37a00914d6d","Activity_2"
"","Patient number assigned","Activity","Patient number assigned","8eedb371-601c-4135-a7b5-bb17ea21cc19","Activity_3"
"","Demographics","Activity","Demographics","bfa3032c-b0c0-421b-b7b9-69469d00dd3c","Activity_4"
"","Hachinski Ischemic Scale","Activity","Hachinski","acea1ba1-3239-459e-92af-643f05439d66","Activity_5"
"","MMSE","Activity","MMSE","42e70159-ef06-4774-b319-b26f4ce1ee5a","Activity_6"
"","Physical examination","Activity","Physical examination","0cd6b1af-247c-4efa-ae28-0478c40e1e0b","Activity_7"
"","Medical history","Activity","Medical history","776d1d15-0273-4887-a72a-2903563c752e","Activity_8"
"","Habits","Activity","Habits","59413729-5c5e-40d5-8cad-0d57bab13e26","Activity_9"
"","Chest X-ray","Activity","Chest X-ray","a67899cb-90e6-44d6-ae1b-6ed6e06b31b6","Activity_10"
"","Apo E genotyping","Activity","Apo E genotyping","f2b205a4-3f6c-452e-ae0c-99acfb8bc5f7","Activity_11"
"","Patient randomised","Activity","Patient randomised","7d163fa6-aab9-4931-aeed-258369e13bef","Activity_12"
"","Vital Signs and Temperature","Activity","Vital signs / Temperature","de0e12d8-7b47-4871-88f8-0c4de41453d2","Activity_13"
"","Ambulatory ECG placed","Activity","Ambulatory ECG placed","e6625b37-e933-43ca-90a8-752fb236fa52","Activity_14"
"","Ambulatory ECG removed","Activity","Ambulatory ECG removed","6c45a245-0b3e-4043-9f85-6880c898781d","Activity_15"
"","ECG","Activity","ECG","71a58b88-8495-4d9f-827a-7f52260fbdc5","Activity_16"
"","Placebo TTS test","Activity","Placebo TTS test","67114eb4-b45d-4250-a3ac-9ff73791470d","Activity_17"
"","CT scan","Activity","CT scan","0734def0-8ddb-43e7-915d-b8f2c1db5fd2","Activity_18"
"","Concomitant medications","Activity","Concomitant medications","136d1e92-d3cc-47ec-abc4-aa6fe7599c2e","Activity_19"
"","Hematology","Activity","Hematology","4e6f8a5b-defa-4897-b3d6-77b2256d2659","Activity_20"
"","Chemistry","Activity","Chemistry","169dced7-1e1b-492f-b78a-bfc16e0f2a1a","Activity_21"
"","Uninalysis","Activity","Uninalysis","1e10f01c-b36b-4cba-8fc7-7f055861af11","Activity_22"
"","Plasma Specimen (Xanomeline)","Activity","Plasma Specimen (Xanomeline)","e9b26719-77a8-43cc-bc2e-3ce26e0a1daa","Activity_23"
"","Hemoglobin A1C","Activity","Hemoglobin A1C","688fdbb2-f795-4c1c-b667-009fe1605419","Activity_24"
"","Study drug record , Medications dispensed, Medications returned","Activity","Study drug","58fee030-ff90-496c-8495-e55cc95010df","Activity_25"
"","TTS Acceptability Survey","Activity","TTS Acceptability Survey","94c5a658-12f8-44af-8f32-fe5924db550f","Activity_26"
"","ADAS-Cog","Activity","ADAS-Cog","e4ba7181-98b0-452f-9c3d-4c4a996b375f","Activity_27"
"","CIBIC+","Activity","CIBIC+","58fd91c0-ba4f-4b06-a2ed-d514943eafaa","Activity_28"
"","DAD","Activity","DAD","c91368fa-c3b9-4138-8c4b-5f329a36f197","Activity_29"
"","NPI-X","Activity","NPI-X","2e6ac694-ffa3-4056-bda7-14ff345f6999","Activity_30"
"","Adverse events","Activity","Adverse events","8dd12fcb-34ae-458e-9c61-378779d19e80","Activity_31"
"","Check adverse events","Activity","Check adverse events","7a9c95b8-8f18-44b5-af62-ea6b5896745d","Activity_32"
"","Subject supine","Activity","Supine","28ac2368-11ce-4290-a718-dfa459705dd3","Activity_33"
"","Vital signs while supine","Activity","Vital Signs Supine","ff706ea9-cfc5-4ee3-8e53-7ddc0b1b7b27","Activity_34"
"","Subject Standing","Activity","Stand","c41ec490-5d3b-41a8-b197-f9ab5c2f5de6","Activity_35"
"","Vital signs while standing","Activity","Vital Signs Standing","5fb24aa0-7dd1-4846-ad5d-ad9ed90837ac","Activity_36"
