"description","label","instanceType","name","text","uuid:ID","id","purpose"
"","","Endpoint","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","7c791228-f39b-4e6f-9fd8-bdd3d5a13112","Endpoint_1",""
"","","Endpoint","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","b263f01a-761c-443f-ac7c-8c6591bbb718","Endpoint_2",""
"","","Endpoint","END3","Adverse events","338cdaa3-4bd4-4bf4-afc0-00c0ec303e47","Endpoint_3",""
"","","Endpoint","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","639eb791-3c79-42d8-96d7-e78b91607914","Endpoint_4",""
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint","END5","Laboratory evaluations (Change from Baseline)","b2ccdcc1-bd3e-4f19-8150-2095980f86fb","Endpoint_5",""
"","","Endpoint","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","6394ff26-6193-4434-936d-5721b4b8daf4","Endpoint_6",""
"","","Endpoint","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","a8b0d004-b277-462f-80cf-c8ce802163a5","Endpoint_7",""
"","","Endpoint","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","9d1320c0-2b9b-4ce8-b178-966fad1ee84a","Endpoint_8",""
"","","Endpoint","END9","*** To be determined from protocol ***","a0191db1-1828-4212-8d87-9ef2bb74d0cb","Endpoint_9",""
"","","Endpoint","END10","*** To be determined from protocol ***","6786c6bc-2026-4e34-b5a1-69041b0132c0","Endpoint_10",""
"","","Endpoint","END11","*** To be determined from protocol ***","3f9fbb95-cc47-44d7-a807-5d7d1cd5698e","Endpoint_11",""
