"definedProcedures","uuid:ID","id","name","label","description","activityIsConditionalReason","activityIsConditional"
"[]","c50a7c09-62ac-4a6d-8f21-3b1e10a8f5c6","Activity_1","Informed consent","","","","False"
"[]","0df9c128-c866-4d5d-97bd-e0cd669c391f","Activity_2","Inclusion/exclusion criteria","","","","False"
"[]","7ea84ab4-845c-41ba-94c7-c3a50e15f171","Activity_3","Patient number assigned","","","","False"
"[]","1a5ed00a-7600-45e2-a11d-3fd340bca920","Activity_4","Demographics","Demographics","","","False"
"[]","773938e0-a46e-4a98-b38f-7a386ee9ca1b","Activity_5","Hachinski","Hachinski","","","False"
"[]","ed5ab2b9-f2cc-4a28-8580-2c2cdff586e5","Activity_6","MMSE","MMSE","","","False"
"[]","843b23ed-b338-4692-9a82-993591efac53","Activity_7","Physical examination","","","","False"
"[]","53cbe953-74b8-4d3a-86fd-800f455ecb6d","Activity_8","Medical history","","","","False"
"[]","48ab9581-5fc6-4041-b850-8533da7f6004","Activity_9","Habits","","","","False"
"[]","bf99a871-0d10-42a1-a1da-fd50c0de91a5","Activity_10","Chest X-ray","","","","False"
"[]","9aa9b088-5c10-43c8-86d5-89e7c61b0450","Activity_11","Apo E genotyping","","","","False"
"[]","30933ccf-38ca-4947-9d96-050d49a1e5e3","Activity_12","Patient randomised","","","","False"
"[]","8b8881c6-f0ef-4f83-8b3a-e4ba75c7dbb4","Activity_13","Vital signs / Temperature","Vital Signs and Temperature","","","False"
"[]","232fe341-81ab-4458-9ab4-64d0e4af9db4","Activity_14","Ambulatory ECG placed","","","","False"
"[]","79d0b2de-cc8e-4ad9-a3d4-2d630488bbae","Activity_15","Ambulatory ECG removed","","","","False"
"[]","57c7ef20-e67c-4110-b62c-d5d79b2c4086","Activity_16","ECG","","","","False"
"[]","cdc8dd93-7997-4e0b-9e9c-0e5bfdd7aee7","Activity_17","Placebo TTS test","","","","False"
"","b075629e-5c27-43dd-925b-f076912839de","Activity_18","CT scan","","","","False"
"[]","e7d879f1-0bfb-447c-9dda-e17da5ac24e9","Activity_19","Concomitant medications","","","","False"
"[]","56bdec1d-dc01-4cc4-a77d-8e91e004b757","Activity_20","Hematology","","","","False"
"[]","c3862b9b-d9d2-4f63-a77b-250b05c95d30","Activity_21","Chemistry","","","","False"
"[]","27fb28b1-c8f8-467d-94bc-c15d563fa3ec","Activity_22","Uninalysis","","","","False"
"[]","a2a3ba94-ed62-4607-a3cf-1e6762218ce7","Activity_23","Plasma Specimen (Xanomeline)","","","","False"
"[]","52a00cf9-2675-4fc0-ba20-5ba4172ddbc5","Activity_24","Hemoglobin A1C","","","","False"
"[]","fe469acc-134b-4bd9-989b-a410b38f557e","Activity_25","Study drug","Study drug record , Medications dispensed, Medications returned","","","False"
"[]","5667a9a4-89f8-42f4-8aea-009ecca14a31","Activity_26","TTS Acceptability Survey","","","","False"
"[]","8bad153f-27ed-4bba-a7ea-a49402ad842f","Activity_27","ADAS-Cog","","","","False"
"[]","1ebba56f-8832-4f00-b78c-b05620f38786","Activity_28","CIBIC+","","","","False"
"[]","6cc41fcf-6717-48b2-af4d-1d7882185767","Activity_29","DAD","","","","False"
"[]","8a2ebda9-2d32-4682-b533-e50355055f0d","Activity_30","NPI-X","","","","False"
"[]","b4422f72-c713-4284-81fb-e0e0b83156f3","Activity_31","Adverse events","","","","False"
"[]","7253ab70-b9db-45e5-b9a9-cdf630ca3366","Activity_32","Check adverse events","","","","False"
"","1fe675f1-cede-4038-911f-ca2b743a4bcc","Activity_33","Supine 5min","Supine for 5 minutes","","","False"
"[]","c576710e-c843-43d7-b8f6-f2eba904d891","Activity_34","Blood Pressure Supine","Blood pressure supine","","","False"
"","485f282a-7c0f-488c-8be1-d7d7e8a40479","Activity_35","Stand 3min","Stand for 3 minutes","","","False"
"[]","63ad5759-b6fe-419f-ad2c-3a0038cea281","Activity_36","Bood Pressure Standing","Blood pressure standing","","","False"
