"bcReference","uuid:ID","id","name","label","bcSynonyms"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","b0ee417b-62e5-4573-b805-9818268ee396","BiomedicalConcept_18","Body Temperature","Body Temperature","['Temperature']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","9d04fe65-c9e4-4678-ace8-2f1c8ed7ee34","BiomedicalConcept_19","Body Weight","Body Weight","['Weight']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","bb092bbc-d481-41af-a987-683e9defe3b8","BiomedicalConcept_20","Body Height","Body Height","['Height']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","9ec0a01e-5bea-482e-9209-2dfead66a126","BiomedicalConcept_21","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","c19f032c-2d75-4de7-97dc-d69f03e31bd5","BiomedicalConcept_22","Albumin Measurement","Albumin Measurement","['Albumin']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","6426a56f-e799-4267-9bd0-7f53e837bfda","BiomedicalConcept_23","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","2475e1c6-d504-4d77-a5d2-5aa84febe649","BiomedicalConcept_24","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","f3a166f1-0c62-4548-9349-3710de2ab67f","BiomedicalConcept_25","Creatinine Measurement","Creatinine Measurement","['Creatinine']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","55cca7f4-3db3-4c0d-86cb-131905ec2cab","BiomedicalConcept_26","Potassium Measurement","Potassium Measurement","['Potassium', 'K']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","557e052a-a151-40ff-b2fa-778f38357582","BiomedicalConcept_27","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","d358dac7-8a19-4866-84e3-42d9439ca9f1","BiomedicalConcept_1","Adverse Event","Adverse Event","['Adverse Event Reported Term', 'AETERM']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","7ee2365c-48ff-4183-ab60-daeecb57866e","BiomedicalConcept_2","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","5d13d2bb-0864-4eb1-97f4-5c84077cfbe4","BiomedicalConcept_3","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","22820df2-8e95-41aa-a955-33d05b6ce7f8","BiomedicalConcept_4","Body Temperature","Body Temperature","['Temperature']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","e864a5fc-0920-49ac-a343-b083168c873c","BiomedicalConcept_5","Body Weight","Body Weight","['Weight']"
"/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","3e8d6da9-6709-43e1-9efd-c1ff1a29c883","BiomedicalConcept_6","Body Height","Body Height","['Height']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","d171311f-4197-4f45-8071-d00b79ad0316","BiomedicalConcept_7","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","['ALT', 'SGPT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","952f32fe-5533-451c-b17e-e4dcf4e5cb00","BiomedicalConcept_8","Albumin Measurement","Albumin Measurement","['Albumin']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","f8050e6f-3c48-4383-a220-dc4d89dca4a1","BiomedicalConcept_9","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","['Alkaline Phosphatase']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","a6aa04b2-143b-435e-8eb7-3e94a9057e22","BiomedicalConcept_10","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","['AST', 'SGOT']"
"/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","a779602e-f400-4d73-8ee1-e7d99c55c58b","BiomedicalConcept_11","Creatinine Measurement","Creatinine Measurement","['Creatinine']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","4fa67719-9afc-4535-b495-a15cc4d25f32","BiomedicalConcept_12","Potassium Measurement","Potassium Measurement","['Potassium', 'K']"
"/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","e1fd5ad0-3262-4c52-aa63-8f3e04e7c325","BiomedicalConcept_13","Sodium Measurement","Sodium Measurement","['Sodium', 'NA']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","18b28667-9b41-4448-ab47-7043b2f140e9","BiomedicalConcept_14","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","cbad28ca-4758-43a5-b524-d7b80f2a165f","BiomedicalConcept_15","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","173606a3-240a-4c1c-9c55-6feb10127a7a","BiomedicalConcept_16","Systolic Blood Pressure","Systolic Blood Pressure","['SYSBP']"
"/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","26f4a381-39d3-4821-bd0d-965bfbb026cb","BiomedicalConcept_17","Diastolic Blood Pressure","Diastolic Blood Pressure","['DIABP']"
