"timingWindowLower","uuid:ID","id","timingValue","name","timingWindow","label","description","timingWindowUpper"
"","c4b2783b-2926-4437-b26b-2a5333817b1c","Timing_1","P2W","TIM1","","Screening","Screening timing",""
"PT4H","e1208178-fad5-46ca-b6dd-75da030485d3","Timing_2","P2D","TIM2","-4..0 hours","Pre dose","Pre dose timing","PT0H"
"","81d5342e-faee-4132-9646-939d08a2d839","Timing_3","P1D","TIM3","","Dosing","Dosing anchor",""
"P3D","66625159-6821-4d4b-b83b-f9fd3de67cc9","Timing_4","P2W","TIM4","-3..3 days","Week 2","Week 2 timing","P3D"
"P3D","14047c13-84e4-4267-8069-ad62274da415","Timing_5","P4W","TIM5","-3..3 days","Week 4","Week 4 timing","P3D"
"P3D","56af7c53-5e36-4afa-9984-8a67d4f5e168","Timing_6","P6W","TIM6","-3..3 days","Week 6","Week 6 timing","P3D"
"P3D","7ed1dfae-c78d-4a22-9384-acfceef81397","Timing_7","P8W","TIM7","-3..3 days","Week 8","Week 8 timing","P3D"
"","af7bec75-c57d-4741-af18-d9c99234ac68","Timing_8","P2W","TIM8","","Week 8 Home","Week 8 at home timing",""
"P4D","6c645f6a-f31e-4213-a13a-45e567697d78","Timing_9","P12W","TIM9","-4..4 days","Week 12","Week 12 timing","P4D"
"","1ae698a0-2de3-4591-8e01-7ce236ff7d4e","Timing_10","P2W","TIM10","","Week 12 Home","Week 12 at home timing",""
"P4D","a5de1767-5452-4e97-bfbe-1cf1858e6b31","Timing_11","P16W","TIM11","-4..4 days","Week 16","Week 16 timing","P4D"
"","ea89f6d5-1de6-4f35-8c59-38263bfd7818","Timing_12","P2W","TIM12","","Week 16 Home","Week 16 at home timing",""
"P4D","66c65917-a8c1-401e-8449-7e97d1d48106","Timing_13","P20W","TIM13","-4..4 days","Week 20","Week 20 timing","P4D"
"","afbd707c-3418-488f-9c6e-14d9f04f89d4","Timing_14","P2W","TIM14","","Week 20 Home","Week 20 at home timing",""
"P4D","57b73a16-7b3e-4e19-a804-3ef115e676f9","Timing_15","P24W","TIM15","-4..4 days","Week 24","Week 24 timing","P4D"
"P3D","c97e4eed-a354-4580-bf91-7ee3533c3d09","Timing_16","P26W","TIM16","-3..3 days","Week 26","Week 26 timing","P3D"
"","a554c2e2-b5f0-4d94-8dab-3d3fac069b57","Timing_17","P1D","TIM17","","Adverse Event","Adverse Event",""
"","eddca631-221b-43d0-b392-f6d90a210ab4","Timing_18","P1D","TIM18","","Early Termination","Early Termination",""
"","7c03a860-ff2a-4134-8aab-29e1f176c984","Timing_19","PT0M","TIM19","","BP Anchor","BP Anchor",""
"","57a72e6e-5abe-4556-b03a-2ba6b349c82a","Timing_20","PT5M","TIM20","","BP while Supine","BP while Supine",""
"PT2M","49e1edad-6c45-4132-a680-d36a0f6c87b4","Timing_21","PT3M","TIM21","-2..0 mins","BP Stand Up","BP Stand Up","PT0M"
"","6eb2dc2f-59bf-4dff-9b8c-ad51cbc07e1f","Timing_22","PT0M","TIM22","","BP while standing","BP while standing",""
