"sectionTitle","sectionNumber","text","uuid:ID","id","name"
"Root","0","","2192126c-75b1-4a20-93fb-8ee1058cd744","NarrativeContent_1","ROOT"
"TITLE PAGE","0","<div><usdm:section name=""M11-title-page""></div>","a3707dce-f146-4cb4-92d9-bcd6501cda6d","NarrativeContent_2","SECTION 0"
"PROTOCOL SUMMARY","1","<div></div>","28528e09-256e-458e-a502-5c0d8f213fab","NarrativeContent_3","SECTION 1"
"Protocol Synopsis","1.1","<div></div>","124bb88b-facb-417a-ad5f-acd9ec2922d3","NarrativeContent_4","SECTION 1.1"
"Trial Schema","1.2","<div></div>","9463f347-5304-4dd6-a60b-0a3cfc3c1532","NarrativeContent_5","SECTION 1.2"
"Schedule of Activities","1.3","<div></div>","1e0c7d37-ae62-461f-83c0-ac45d01b1992","NarrativeContent_6","SECTION 1.3"
"INTRODUCTION","2","<div></div>","d052fe5a-9d8f-464f-a66b-0b00a3f65d4e","NarrativeContent_7","SECTION 2"
"Purpose of Trial","2.1","<div></div>","72307610-ec8b-41cd-a31d-54f9359c53f8","NarrativeContent_8","SECTION 2.1"
"Summary of Benefits and Risks","2.2","<div></div>","a0c18108-d0fe-4a68-9b1d-b6836d4b1dbc","NarrativeContent_9","SECTION 2.2"
"TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","<div></div>","5bdd4b75-0fdb-4cdf-877a-92e11ee2eb20","NarrativeContent_10","SECTION 3"
"Primary Objectives","3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","af3c690c-20cf-4401-967b-4341ce27943f","NarrativeContent_11","SECTION 3.1"
"TRIAL DESIGN","4","<div></div>","b40508fb-10d5-4074-85eb-6795fd7607d5","NarrativeContent_12","SECTION 4"
"Description of Trial Design","4.1","<div></div>","e6044b79-de4d-47e4-8567-c92abe3aa015","NarrativeContent_13","SECTION 4.1"
"Participant Input into Design","4.1.1","<div></div>","1bafa086-4874-4808-897b-30c143dfb472","NarrativeContent_14","SECTION 4.1.1"
