"bcPropertyDatatype","uuid:ID","id","bcPropertyEnabled","name","label","bcPropertyResponseCodes","bcPropertyRequired"
"decimal","a2b48657-a003-44e6-99ed-2f33c691ea66","BiomedicalConceptProperty_86","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","ee5278e6-8b53-4301-bb81-36ccecde53fc","BiomedicalConceptProperty_87","True","Unit of Temperature","Unit of Temperature","","True"
"string","26dd9dea-9be4-4991-8ac2-99929ea3c0fa","BiomedicalConceptProperty_88","True","Vital Signs Location","Vital Signs Location","[]","True"
"decimal","e89ea27f-3c52-4a0d-b36c-512e46c88dc1","BiomedicalConceptProperty_89","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","891b851a-2655-4bb8-a5fe-106ac84a0203","BiomedicalConceptProperty_90","True","Unit of Weight","Unit of Weight","","True"
"decimal","f5ef4156-4925-45ee-a123-1dd5497f6899","BiomedicalConceptProperty_91","True","Vital Signs Result","Vital Signs Result","[]","True"
"string","251d7f81-6c36-451b-9d0c-241c5c8e56be","BiomedicalConceptProperty_92","True","Unit of Height","Unit of Height","","True"
"decimal","f5ce5c9c-0da3-4668-a4c7-43c35e9cbd82","BiomedicalConceptProperty_93","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","4162f5bf-ad52-4d07-bd7c-9b7c1f836e87","BiomedicalConceptProperty_94","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","10cb8019-dd2e-4a8e-8943-2700fbab533c","BiomedicalConceptProperty_95","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","[]","True"
"string","ef717776-452b-43ec-9bc9-3f4c798d418f","BiomedicalConceptProperty_96","True","Biospecimen Type","Biospecimen Type","[]","True"
"string","8c7c844d-2c9a-49f6-adbe-c37d27894743","BiomedicalConceptProperty_97","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","b800ff28-e761-4bbf-aa5b-e6114a1825e6","BiomedicalConceptProperty_98","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","987987f3-c4e9-4802-8e11-5f6cf7cae13e","BiomedicalConceptProperty_99","True","Unit of Concentration","Unit of Concentration","[]","True"
"string","ada991ba-b254-4339-b1c7-36ee0a8f53e4","BiomedicalConceptProperty_100","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","890ae226-66cb-4271-a9c5-95c6f6217b89","BiomedicalConceptProperty_101","True","Laboratory Test Result","Laboratory Test Result","[]","True"
"boolean","b60c7f9e-eb3b-4d7d-874d-4358f7290e79","BiomedicalConceptProperty_102","True","Laboratory Test Fasting Status","Laboratory Test Fasting Status","[]","True"
"string","4b083d06-3eb0-4793-afb5-3d4bb93a8fbc","BiomedicalConceptProperty_103","True","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","[]","True"
"string","9f360d48-fa2c-4ebc-925b-6dd0a1962806","BiomedicalConceptProperty_104","True","Biospecimen Type","Biospecimen Type","[]","True"
"decimal","79a142be-0c23-4835-9980-42004c7fdb0a","BiomedicalConceptProperty_105","True","Laboratory Test Result","Laboratory Test Result","[]","True"
