"uuid:ID","name","label","description","id","instanceType"
"ac3fb8c4-667f-4978-8a05-e6061d039eb5","Informed consent","Informed consent","","Activity_1","Activity"
"45b4bf5a-1db2-4a1f-9b28-043e7aa8c91a","Inclusion/exclusion criteria","Inclusion and exclusion criteria","","Activity_2","Activity"
"6c55b4b4-1e36-4ffd-8138-cbd807711a2d","Patient number assigned","Patient number assigned","","Activity_3","Activity"
"ab81509b-2542-4847-b32d-0c3f03c71f24","Demographics","Demographics","","Activity_4","Activity"
"92f2bb52-5c13-4b6b-83a9-e5faff2d5a1a","Hachinski","Hachinski Ischemic Scale","","Activity_5","Activity"
"67e379ae-9820-4630-a3cf-8ef09965cb3b","MMSE","MMSE","","Activity_6","Activity"
"7305f717-c22b-42ac-8441-c510166ffb65","Physical examination","Physical examination","","Activity_7","Activity"
"6f05e864-3fa0-46c9-9198-7786efc19027","Medical history","Medical history","","Activity_8","Activity"
"c8997fd3-1248-46c9-b9b7-117f64ec7de8","Habits","Habits","","Activity_9","Activity"
"04ffebea-63bd-400c-a511-95abaa6c1586","Chest X-ray","Chest X-ray","","Activity_10","Activity"
"680b116a-1e20-4852-8fc5-251a73ec45cb","Apo E genotyping","Apo E genotyping","","Activity_11","Activity"
"49af06d1-6347-40d2-a1da-759d9459bd14","Patient randomised","Patient randomised","","Activity_12","Activity"
"55350c9e-bcc4-4c12-8ed7-78d5368d88c2","Vital signs / Temperature","Vital Signs and Temperature","","Activity_13","Activity"
"03581eed-89ba-48b8-a679-96c174858c7c","Ambulatory ECG placed","Ambulatory ECG placed","","Activity_14","Activity"
"d7ba21f4-d13b-46c5-85de-e1e2f376ee00","Ambulatory ECG removed","Ambulatory ECG removed","","Activity_15","Activity"
"4a184c17-ca45-4312-87df-56923aebbda2","ECG","ECG","","Activity_16","Activity"
"021cc70b-8fa1-4432-93e0-23ff1e8affca","Placebo TTS test","Placebo TTS test","","Activity_17","Activity"
"d67fa9c0-7915-4bbb-8e1f-fdbe3b48041a","CT scan","CT scan","","Activity_18","Activity"
"5b77c032-4cfd-4f71-8f77-8b27a47a3948","Concomitant medications","Concomitant medications","","Activity_19","Activity"
"c31c9a97-15ee-4f1e-9f46-0ab658ca5c92","Hematology","Hematology","","Activity_20","Activity"
"0b4430c0-fa41-474c-849f-44d4e8b5094b","Chemistry","Chemistry","","Activity_21","Activity"
"c4e86c81-1ace-498d-b488-ed373b1e2d73","Uninalysis","Uninalysis","","Activity_22","Activity"
"6b5c3b9d-c71d-4b90-8cab-099f144e06dc","Plasma Specimen (Xanomeline)","Plasma Specimen (Xanomeline)","","Activity_23","Activity"
"096b9c85-21e9-49cc-87c8-302aee0469c7","Hemoglobin A1C","Hemoglobin A1C","","Activity_24","Activity"
"58015736-c8ce-418b-9451-199d1c94fbd4","Study drug","Study drug record , Medications dispensed, Medications returned","","Activity_25","Activity"
"8b07383b-2a83-410f-87a5-77fe3cbeefc8","TTS Acceptability Survey","TTS Acceptability Survey","","Activity_26","Activity"
"f56c5fc2-c94c-41b6-b50e-0f01805552dc","ADAS-Cog","ADAS-Cog","","Activity_27","Activity"
"6436415b-c906-4731-ac1b-2eed90e05c37","CIBIC+","CIBIC+","","Activity_28","Activity"
"7c32a3a6-25d1-454e-9904-159d8624321c","DAD","DAD","","Activity_29","Activity"
"a9714438-3035-41ed-872a-ef1f55548650","NPI-X","NPI-X","","Activity_30","Activity"
"d0a13125-4dc7-4fed-8588-efef547e559b","Adverse events","Adverse events","","Activity_31","Activity"
"d767b5ba-380e-4878-a8e8-2db659494231","Check adverse events","Check adverse events","","Activity_32","Activity"
"d934b216-5130-4d04-aa69-95e0383e44fc","Supine","Subject supine","","Activity_33","Activity"
"c0c4417f-1e9e-40c0-bbd2-14826580177f","Vital Signs Supine","Vital signs while supine","","Activity_34","Activity"
"1a0cd76a-05c3-4489-9ff4-4fa89a5df5ba","Stand","Subject Standing","","Activity_35","Activity"
"ebfbca65-52c5-41d9-afb8-ffa5b2c5ac38","Vital Signs Standing","Vital signs while standing","","Activity_36","Activity"
