"uuid:ID","name","label","description","id","instanceType"
"1093eff9-8ab5-490d-bbee-ac14c5304c30","E1","Screening 1","Screening encounter","Encounter_1","Encounter"
"ff93f0d3-e1f1-4537-9ea7-9a90a73f52e9","E2","Screening 2","Screening encounter - Ambulatory ECG Placement","Encounter_2","Encounter"
"ebe2a31d-1b97-4d38-90e6-ff7e079ba80c","E3","Baseline","Baseline encounter - Ambulatory ECG Removal","Encounter_3","Encounter"
"6cd543cb-1887-4317-9d84-22b236ad4230","E4","Week 2","Day 14","Encounter_4","Encounter"
"761600c9-9aee-4fa0-999c-dc061a143a1f","E5","Week 4","Day 28","Encounter_5","Encounter"
"c445159e-64a7-4784-8fd5-cdb34c431160","E7","Week 6","Day 42","Encounter_6","Encounter"
"84620325-b64e-455f-9550-aea085063436","E8","Week 8","Day 56","Encounter_7","Encounter"
"26dfcd43-6b6c-48cd-9b70-2c48c45e7181","E9","Week 12","Day 84","Encounter_8","Encounter"
"c857d7e0-6f1d-4e5d-b05c-640ed7b53d79","E10","Week 16","Day 112","Encounter_9","Encounter"
"84873923-56e1-4aae-babd-0d3c7bc3c43f","E11","Week 20","Day 140","Encounter_10","Encounter"
"06841ab9-6ded-4ae1-b8a9-8363deef3b4e","E12","Week 24","Day 168","Encounter_11","Encounter"
"eadf2bb9-2958-4e69-ad1b-8b27d6642f66","E13","Week 26","Day 182","Encounter_12","Encounter"
