"window","name","label","uuid:ID","windowLower","description","windowUpper","id","instanceType","value"
"","TIM1","Screening","21c23fd4-128a-47e6-a9db-aab39473b905","","Screening timing","","Timing_1","Timing","P2W"
"-4..0 hours","TIM2","Pre dose","102e09d5-a086-4b0e-ad1d-e960a4dbe5d1","PT4H","Pre dose timing","PT0H","Timing_2","Timing","P2D"
"","TIM3","Dosing","654dcd7c-0c2c-49a8-a6fe-8f424ccec61b","","Dosing anchor","","Timing_3","Timing","P1D"
"-3..3 days","TIM4","Week 2","32ff885b-ba1b-424a-abcd-5e19c6afe462","P3D","Week 2 timing","P3D","Timing_4","Timing","P2W"
"-3..3 days","TIM5","Week 4","423fec44-5a61-43b1-b639-146602df75fd","P3D","Week 4 timing","P3D","Timing_5","Timing","P4W"
"-3..3 days","TIM6","Week 6","7b750216-0625-47d8-8e76-770fca01fdc7","P3D","Week 6 timing","P3D","Timing_6","Timing","P6W"
"-3..3 days","TIM7","Week 8","7ba207c6-57f4-4786-b126-4abefce3deb4","P3D","Week 8 timing","P3D","Timing_7","Timing","P8W"
"-4..4 days","TIM9","Week 12","ffc4a445-e983-4c7c-ba1c-518cbce6a1b5","P4D","Week 12 timing","P4D","Timing_9","Timing","P12W"
"-4..4 days","TIM11","Week 16","eef72289-b5fd-4444-a8e0-8c53f9cafb32","P4D","Week 16 timing","P4D","Timing_11","Timing","P16W"
"-4..4 days","TIM13","Week 20","228e6fdf-787f-45dd-8449-c982d9ae45df","P4D","Week 20 timing","P4D","Timing_13","Timing","P20W"
"-4..4 days","TIM15","Week 24","8016a117-399d-4dac-8729-1da369bcd90d","P4D","Week 24 timing","P4D","Timing_15","Timing","P24W"
"-3..3 days","TIM16","Week 26","6ad99f53-6836-4dea-9519-b974a24d4f26","P3D","Week 26 timing","P3D","Timing_16","Timing","P26W"
"","TIM8","Week 8 Home","5f556f6d-1726-4e46-8a94-9c5711d39b50","","Week 8 at home timing","","Timing_8","Timing","P2W"
"","TIM10","Week 12 Home","275d32ac-63fa-4c54-8b2e-80ef636eb0d2","","Week 12 at home timing","","Timing_10","Timing","P2W"
"","TIM12","Week 16 Home","0212ae19-bbc8-455a-948b-914b5e84cec6","","Week 16 at home timing","","Timing_12","Timing","P2W"
"","TIM14","Week 20 Home","f2a0099c-43e7-483c-9e06-b87d9c52cdc7","","Week 20 at home timing","","Timing_14","Timing","P2W"
"","TIM17","Adverse Event","33ae96a3-4a8d-460e-917e-e31a24b024d4","","Adverse Event","","Timing_17","Timing","P1D"
"","TIM18","Early Termination","5126ae25-673f-4de8-9cd5-8499a7120303","","Early Termination","","Timing_18","Timing","P1D"
"","TIM19","Supine","459dd4e7-edc0-4ad4-84d8-90223075630a","","Supine","","Timing_19","Timing","PT0M"
"","TIM20","VS while supine","ebdbc3a4-d08c-48c7-b7f8-b2c603dcd1d7","","VS while supine","","Timing_20","Timing","PT5M"
"","TIM21","Standing","67a8c5dd-1d78-4292-91b5-192cb9c555a9","","Standing","","Timing_21","Timing","PT0M"
"","TIM22","VS while standing","865df884-50db-43bf-873f-865d914bad2d","","VS while standing","","Timing_22","Timing","PT1M"
"","TIM23","Standing","9c4d8062-de8e-493c-aa56-21bd1ec7cbfc","","Standing","","Timing_23","Timing","PT0M"
"","TIM24","VS while standing","b6a02dd1-2966-42d5-af49-c6a0c2a918b7","","VS while standing","","Timing_24","Timing","PT2M"
