"uuid:ID","name","label","reference","synonyms","id","instanceType"
"c062ef44-4915-42b8-b282-f849b498d63d","Sex","Sex","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","","BiomedicalConcept_20","BiomedicalConcept"
"ced45572-952f-469b-b48c-89f1abd58a08","Race","Race","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","['Racial Group']","BiomedicalConcept_21","BiomedicalConcept"
"1ff2a115-35cb-4810-8cd9-abc46fdc1e7b","Body Temperature","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_22","BiomedicalConcept"
"7cb81949-1dd7-4a03-81d1-fe25cb4045e6","Body Weight","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_23","BiomedicalConcept"
"e9778b15-ca63-4866-842e-36992112e684","Body Height","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_24","BiomedicalConcept"
"ee745697-fe5b-4485-b57d-2c5deba7d347","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_25","BiomedicalConcept"
"5e5cd3cf-dcc2-4c91-986d-26cef64e8d6d","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_26","BiomedicalConcept"
"afaff7e8-4a8d-4d45-affa-5eebace4c925","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_27","BiomedicalConcept"
"4e597b8f-98c0-4d5c-a5e6-43577df88af9","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_28","BiomedicalConcept"
"c34a5a6f-894d-4132-a844-a64470fc8cc8","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_29","BiomedicalConcept"
"29f1c1bd-9a17-4545-a691-7a5b6e2189fc","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_30","BiomedicalConcept"
"ff4f762a-ab76-4288-b32a-9a8068152139","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_31","BiomedicalConcept"
"cd054223-c5d9-450d-8776-d7978b9689fa","Adverse Event","Adverse Event","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C41331","","BiomedicalConcept_1","BiomedicalConcept"
"fff68cbb-e1a6-4973-85a7-2bec03840310","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_2","BiomedicalConcept"
"80900f53-a0a4-4c0c-ab23-52febfc4ff2d","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_3","BiomedicalConcept"
"83311097-ab65-497a-9133-51e83828b2c2","Body Temperature","Body Temperature","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C174446","['Temperature']","BiomedicalConcept_4","BiomedicalConcept"
"455635ed-6563-4d38-8abe-87c227331432","Body Weight","Body Weight","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C81328","['Weight']","BiomedicalConcept_5","BiomedicalConcept"
"f0b3142b-807e-443c-a01e-ac3ea26827e6","Body Height","Body Height","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C164634","['Height']","BiomedicalConcept_6","BiomedicalConcept"
"5962e384-5f20-4f7e-b656-3d48451d6e02","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']","BiomedicalConcept_7","BiomedicalConcept"
"b9ebec1c-cdee-4322-8e2b-f809824dd02c","Albumin Measurement","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']","BiomedicalConcept_8","BiomedicalConcept"
"c53f6181-5c65-4c15-a536-851e3771490e","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']","BiomedicalConcept_9","BiomedicalConcept"
"5a6b246c-ebc7-4fb9-9e27-77987be4859b","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']","BiomedicalConcept_10","BiomedicalConcept"
"9bd852f4-9295-4975-9ecd-9b1a67ef0864","Creatinine Measurement","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']","BiomedicalConcept_11","BiomedicalConcept"
"4489b0b3-1137-4da7-947c-36fa4d5d36fb","Potassium Measurement","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']","BiomedicalConcept_12","BiomedicalConcept"
"0dc85dbe-0997-40f2-a8de-48e66d7779cb","Sodium Measurement","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']","BiomedicalConcept_13","BiomedicalConcept"
"f44a1c47-2a2c-4d81-897c-810135a59ae8","Systolic Blood Pressure","Systolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25298","['SYSBP']","BiomedicalConcept_14","BiomedicalConcept"
"72268647-0972-4b2f-9d18-d7db87be041a","Diastolic Blood Pressure","Diastolic Blood Pressure","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C25299","['DIABP']","BiomedicalConcept_15","BiomedicalConcept"
"8869e239-35b9-4a8a-b5c7-0733bfbabb13","Heart Rate","Heart Rate","/mdr/bc/packages/2023-12-12/biomedicalconcepts/C49677","","BiomedicalConcept_16","BiomedicalConcept"
