"uuid:ID","name","label","description","purpose","id","instanceType","text"
"c8301300-192b-496f-a8ee-54a75a4ceb30","END1","","","","Endpoint_1","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24"
"c76a0ee6-00c6-4a49-960a-89782b398af2","END2","","","","Endpoint_2","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24"
"19e3ef04-6b79-4138-a65a-4c34c5f54d14","END3","","","","Endpoint_3","Endpoint","Adverse events"
"ac28f076-fec1-42e8-9c09-7589ef460ed7","END4","","","","Endpoint_4","Endpoint","Vital signs (weight, standing and supine blood pressure, heart rate)"
"13caff21-0108-4d8e-86e2-aefd1e017565","END5","","The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","Endpoint_5","Endpoint","Laboratory evaluations (Change from Baseline)"
"6ff5d063-1e52-405b-996e-41ffc838d2ec","END6","","","","Endpoint_6","Endpoint","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16"
"bae84963-f995-4f7b-a264-5cbd05411ef7","END7","","","","Endpoint_7","Endpoint","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16"
"fe67bcba-d7ee-42f4-9ee4-945af2320213","END8","","","","Endpoint_8","Endpoint","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24"
"9f72501b-66f2-42f8-a28c-145b58f6104a","END9","","","","Endpoint_9","Endpoint","*** To be determined from protocol ***"
"50aa6ffa-4a27-4ddd-bd61-062f1eea2383","END10","","","","Endpoint_10","Endpoint","*** To be determined from protocol ***"
"8805dd5b-79a8-4d2e-8838-193d5fb0b95b","END11","","","","Endpoint_11","Endpoint","*** To be determined from protocol ***"
