"code","uuid:ID","codeSystem","codeSystemVersion","decode","id","instanceType"
"C98388","2f27026b-b0af-499a-91c4-b7780726ed06","http://www.cdisc.org","2023-09-29","Interventional Study","Code_1","Code"
"C15601","fb14b2b1-6bd2-410c-b2bb-3ac6b67b4fd1","http://www.cdisc.org","2023-09-29","Phase II Trial","Code_2","Code"
"C132352","ccd46b25-2866-4d7e-9c14-ae754e5c18db","http://www.cdisc.org","2023-09-29","Sponsor Approval Date","Code_9","Code"
"C68846","1f8472f0-463c-4a15-ad6f-06470f2da768","http://www.cdisc.org","2023-09-29","Global","Code_10","Code"
"C99904x3","35ce8209-7321-43bf-bd32-953285bc039e","http://www.cdisc.org","2023-09-29","IRB/IEC Feedback","Code_72","Code"
"C17649","afc53273-80fc-4403-af55-b637d19df3cd","http://www.cdisc.org","2023-09-29","Other","Code_73","Code"
"C41129","cb640c36-e3ec-4d41-84ae-de00533396d9","http://www.cdisc.org","2023-09-29","Region","Code_75","Code"
"150","c75281aa-0534-4a58-be15-8b49e9cb5130","ISO 3166 1 alpha3","2020-08","Europe","Code_74","Code"
"PHARMA","1de7439e-f008-41fc-8185-2360856696cd","SPONSOR","12","Eli Lilly","Code_4","Code"
"C70793","69419c1a-472e-409b-be28-e504133dbd98","http://www.cdisc.org","2023-09-29","Clinical Study Sponsor","Code_76","Code"
"USA","a66040af-2f88-4683-b34d-11fc0402bd92","ISO 3166 1 alpha3","2020-08","United States of America","Code_77","Code"
"C93453","8e38efda-9376-42da-be5a-127fe22a75e3","http://www.cdisc.org","2023-09-29","Study Registry","Code_78","Code"
"USA","a0522c3b-e0dc-45e5-af3b-997cdc604206","ISO 3166 1 alpha3","2020-08","United States of America","Code_79","Code"
"C49656","8f87032c-390d-4c7a-9924-7147c37fe2c8","http://www.cdisc.org","2023-09-29","Treatment Study","Code_137","Code"
"C49666","9fd86788-0260-498d-801a-86c33e0aad7a","http://www.cdisc.org","2023-09-29","Efficacy Study","Code_138","Code"
"C49667","2ea9fc00-f978-44b7-8899-829676bd36c1","http://www.cdisc.org","2023-09-29","Safety Study","Code_139","Code"
"C49663","80558181-9743-450c-a373-b2fa761369e2","http://www.cdisc.org","2023-09-29","Pharmacokinetic Study","Code_140","Code"
"MILD_MOD_ALZ","35e74ddd-0302-455f-9d06-c350f9a937a4","SPONSOR","12","Mild to Moderate Alzheimer's Disease","Code_134","Code"
"26929004","27eb8b6a-8695-418a-8cd7-3b88ce2b08e7","SNOMED","January 31, 2018","Alzheimer's disease","Code_135","Code"
"C99907x1","5316cea8-912e-41ef-8cf4-f288f33281d6","http://www.cdisc.org","2023-09-29","EXTENSION","Code_143","Code"
"C98704","2e298913-e944-4695-8207-ac4a3d27a580","http://www.cdisc.org","2023-09-29","ADAPTIVE","Code_144","Code"
"C82639","1853d0da-8aaf-4a24-856b-99b04aadf080","http://www.cdisc.org","2023-09-29","Parallel Study","Code_141","Code"
"C25716","0fa01b29-15f6-4bc6-a703-25a3e6cfad8e","http://www.cdisc.org","2023-09-29","Visit","Code_83","Code"
"C51282","9de64021-da01-4385-bce3-11a113c00abc","http://www.cdisc.org","2023-09-29","Clinic","Code_84","Code"
"C175574","f9139435-756c-4fea-b0cc-63a9371d55e9","http://www.cdisc.org","2023-09-29","In Person","Code_85","Code"
"C25716","41a8b1df-5c3c-43f1-81a5-1efad5fa9f75","http://www.cdisc.org","2023-09-29","Visit","Code_86","Code"
"C51282","06146eb1-30ac-4e94-883b-1ef73dd0dd10","http://www.cdisc.org","2023-09-29","Clinic","Code_87","Code"
"C175574","b5d21a59-3b4b-43aa-84ac-e2c614660deb","http://www.cdisc.org","2023-09-29","In Person","Code_88","Code"
"C25716","53f50421-8bbb-4dbd-a848-6a7d1608466c","http://www.cdisc.org","2023-09-29","Visit","Code_89","Code"
"C51282","6fcf6a58-fb73-4713-8f10-0e1d4c343072","http://www.cdisc.org","2023-09-29","Clinic","Code_90","Code"
"C175574","77e13323-19b5-4dd6-83b1-3b40d0fbf6c4","http://www.cdisc.org","2023-09-29","In Person","Code_91","Code"
"C25716","02ae6c58-4192-4108-8907-97c7627a16d3","http://www.cdisc.org","2023-09-29","Visit","Code_92","Code"
"C51282","8507984b-7603-4c19-90d8-befa6d7f1545","http://www.cdisc.org","2023-09-29","Clinic","Code_93","Code"
"C175574","9d021570-074c-41f6-998a-d9dccce85c1a","http://www.cdisc.org","2023-09-29","In Person","Code_94","Code"
"C25716","9834f093-4458-4476-8a47-68e4b73cae88","http://www.cdisc.org","2023-09-29","Visit","Code_95","Code"
"C51282","7752058f-5497-49c0-89d5-2fd8c7a87471","http://www.cdisc.org","2023-09-29","Clinic","Code_96","Code"
"C175574","657de0d7-8ff6-4b0a-ae3c-31507deb4ece","http://www.cdisc.org","2023-09-29","In Person","Code_97","Code"
"C25716","74289938-232c-4d2f-8ccd-df38aa5f3041","http://www.cdisc.org","2023-09-29","Visit","Code_98","Code"
"C51282","dfc42579-9ed0-437f-aedc-7b91c656109f","http://www.cdisc.org","2023-09-29","Clinic","Code_99","Code"
"C175574","376bf2ae-2f33-466e-b24d-0b6169376529","http://www.cdisc.org","2023-09-29","In Person","Code_100","Code"
"C25716","b4c5d2a0-4448-4d88-bc69-ac7fd9deb0a9","http://www.cdisc.org","2023-09-29","Visit","Code_101","Code"
"C51282","971cccee-518e-44af-97de-b5a1f0a166ee","http://www.cdisc.org","2023-09-29","Clinic","Code_102","Code"
"C175574","b1dfdb10-e32d-425c-be48-7c4a6910e670","http://www.cdisc.org","2023-09-29","In Person","Code_103","Code"
"C171537","4bd9155e-27f6-4d49-9908-0a9dd2f0616f","http://www.cdisc.org","2023-09-29","Telephone Call","Code_104","Code"
"C25716","5e5806ae-e62a-4851-9e9e-a9c65b409b60","http://www.cdisc.org","2023-09-29","Visit","Code_105","Code"
"C51282","4c969972-ecd9-4e9e-b264-280299d7532b","http://www.cdisc.org","2023-09-29","Clinic","Code_106","Code"
"C175574","c7c0aaf6-e928-403f-9a70-988e33e23170","http://www.cdisc.org","2023-09-29","In Person","Code_107","Code"
"C171537","c71a7327-60b4-4b26-9a19-0e531208727e","http://www.cdisc.org","2023-09-29","Telephone Call","Code_108","Code"
"C25716","edb15f21-59b4-47d2-afb8-447a0219783c","http://www.cdisc.org","2023-09-29","Visit","Code_109","Code"
"C51282","45de3d9f-4b72-425d-b0b8-de7b6ee53ecc","http://www.cdisc.org","2023-09-29","Clinic","Code_110","Code"
"C175574","f6979908-9fa5-4a9e-9df4-b93686ec2bc4","http://www.cdisc.org","2023-09-29","In Person","Code_111","Code"
