"name","text","instanceType","sectionTitle","sectionNumber","uuid:ID","id"
"ROOT","","NarrativeContent","Root","0","4921e9ea-eef1-465c-81f1-d67657377b3a","NarrativeContent_1"
"SECTION 0","<div><usdm:section name=""M11-title-page""></div>","NarrativeContent","TITLE PAGE","0","b4bc34e2-1995-449f-8665-fa6b84a2cb10","NarrativeContent_2"
"SECTION 1","<div></div>","NarrativeContent","PROTOCOL SUMMARY","1","55cf94d6-0a05-48f3-bf25-815f2af1d488","NarrativeContent_3"
"SECTION 1.1","<div></div>","NarrativeContent","Protocol Synopsis","1.1","c4099f60-6e73-47e5-b44f-6f9725c78e0f","NarrativeContent_4"
"SECTION 1.2","<div></div>","NarrativeContent","Trial Schema","1.2","21fa2d5d-aa29-4904-9936-88d994478afb","NarrativeContent_5"
"SECTION 1.3","<div></div>","NarrativeContent","Schedule of Activities","1.3","3bdea7bc-2e72-4a5d-ac4e-23eecad82ab5","NarrativeContent_6"
"SECTION 2","<div></div>","NarrativeContent","INTRODUCTION","2","c11e0e70-1a48-4613-8396-7569dc44216c","NarrativeContent_7"
"SECTION 2.1","<div></div>","NarrativeContent","Purpose of Trial","2.1","c4367365-754c-4448-95d0-6f4dffeef40a","NarrativeContent_8"
"SECTION 2.2","<div></div>","NarrativeContent","Summary of Benefits and Risks","2.2","280d4f82-5ddd-4dfa-970c-9e4c787c8367","NarrativeContent_9"
"SECTION 3","<div></div>","NarrativeContent","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3","b37d49cb-5789-422f-a2a9-509ec2474d74","NarrativeContent_10"
"SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","NarrativeContent","Primary Objectives","3.1","af4f69b8-d11a-4728-89ce-c3b87bc90ca3","NarrativeContent_11"
"SECTION 4","<div></div>","NarrativeContent","TRIAL DESIGN","4","a41939ea-a094-40df-9ad2-6b8bb333862f","NarrativeContent_12"
"SECTION 4.1","<div></div>","NarrativeContent","Description of Trial Design","4.1","232df98b-d29f-47f6-b4d5-26491f3f8395","NarrativeContent_13"
"SECTION 4.1.1","<div></div>","NarrativeContent","Participant Input into Design","4.1.1","42773031-0f8d-468e-87e3-6a58976fcd0b","NarrativeContent_14"
