"name","description","instanceType","label","uuid:ID","id"
"E1","Screening encounter","Encounter","Screening 1","15ca2f9c-bd02-43b7-988f-b98226d4e1e0","Encounter_1"
"E2","Screening encounter - Ambulatory ECG Placement","Encounter","Screening 2","93cb80be-c4bf-4688-abbb-563ae46dcee4","Encounter_2"
"E3","Baseline encounter - Ambulatory ECG Removal","Encounter","Baseline","4d8017a8-8225-4e5f-b9b8-814192840695","Encounter_3"
"E4","Day 14","Encounter","Week 2","a9045ea4-ee7c-42e1-89f9-f3c79a44242f","Encounter_4"
"E5","Day 28","Encounter","Week 4","686a1dcb-081d-44a6-8193-679b7f370ea5","Encounter_5"
"E7","Day 42","Encounter","Week 6","7b414eee-104f-4c15-8fa4-fd06cd8e483a","Encounter_6"
"E8","Day 56","Encounter","Week 8","f2befcf0-d5bb-493f-82da-b33c36e3285b","Encounter_7"
"E9","Day 84","Encounter","Week 12","1f2a9b2e-9d5c-466e-a7e0-c046a6366626","Encounter_8"
"E10","Day 112","Encounter","Week 16","82583fce-ba67-4889-8978-afad32656cff","Encounter_9"
"E11","Day 140","Encounter","Week 20","280debc8-4d62-4ede-8f08-4a9610ddde37","Encounter_10"
"E12","Day 168","Encounter","Week 24","ae75aef8-9293-41e4-a1d2-c4b66d3b6cfb","Encounter_11"
"E13","Day 182","Encounter","Week 26","422465f6-b5a3-40e7-a615-d4cc307e81b6","Encounter_12"
