"name","description","value","instanceType","label","uuid:ID","window","windowLower","id","windowUpper"
"TIM1","Screening timing","P2W","Timing","Screening","4c81f037-b564-4524-be70-56657bae479c","","","Timing_1",""
"TIM2","Pre dose timing","P2D","Timing","Pre dose","591441c1-a194-460c-9be0-c450b944f845","-4..0 hours","PT4H","Timing_2","PT0H"
"TIM3","Dosing anchor","P1D","Timing","Dosing","872b0ef8-7dde-4db2-a2ce-4bd5f4995406","","","Timing_3",""
"TIM4","Week 2 timing","P2W","Timing","Week 2","73cd0749-ec35-41c1-bd43-2c79ef212901","-3..3 days","P3D","Timing_4","P3D"
"TIM5","Week 4 timing","P4W","Timing","Week 4","9cb642d0-c778-4712-b1d7-87e93ecab640","-3..3 days","P3D","Timing_5","P3D"
"TIM6","Week 6 timing","P6W","Timing","Week 6","8ab6bcc7-aa7c-41c9-bb50-7f8cdf592d45","-3..3 days","P3D","Timing_6","P3D"
"TIM7","Week 8 timing","P8W","Timing","Week 8","dadee082-2886-4795-b09f-52ad804c337f","-3..3 days","P3D","Timing_7","P3D"
"TIM9","Week 12 timing","P12W","Timing","Week 12","9302efa7-fba3-4d01-89c9-8c33d7570158","-4..4 days","P4D","Timing_9","P4D"
"TIM11","Week 16 timing","P16W","Timing","Week 16","0240a21f-5be9-404e-9fa0-b6e14af20b53","-4..4 days","P4D","Timing_11","P4D"
"TIM13","Week 20 timing","P20W","Timing","Week 20","88312cb9-bbc8-4d1f-bf1e-0394675de353","-4..4 days","P4D","Timing_13","P4D"
"TIM15","Week 24 timing","P24W","Timing","Week 24","92df7ee8-0731-46fb-ac5a-75caf3e833ed","-4..4 days","P4D","Timing_15","P4D"
"TIM16","Week 26 timing","P26W","Timing","Week 26","e363a7d8-da42-4942-8d05-e950a95bd1d5","-3..3 days","P3D","Timing_16","P3D"
"TIM8","Week 8 at home timing","P2W","Timing","Week 8 Home","81c660d5-84d9-4bbf-90ed-507a9d2d0395","","","Timing_8",""
"TIM10","Week 12 at home timing","P2W","Timing","Week 12 Home","6c0df363-c336-46d6-b722-c950991d1845","","","Timing_10",""
"TIM12","Week 16 at home timing","P2W","Timing","Week 16 Home","78adfcbf-6d72-4799-a54e-96101876b815","","","Timing_12",""
"TIM14","Week 20 at home timing","P2W","Timing","Week 20 Home","d403b243-e968-4154-8fdc-a369322b0d22","","","Timing_14",""
"TIM17","Adverse Event","P1D","Timing","Adverse Event","12a5c4e9-d3e5-464f-8c28-0a3e08d6b2b0","","","Timing_17",""
"TIM18","Early Termination","P1D","Timing","Early Termination","0e05e771-c1ac-4004-9db0-e7739d7b7562","","","Timing_18",""
"TIM19","Supine","PT0M","Timing","Supine","28302176-18ff-4ac0-9755-485a12ff074a","","","Timing_19",""
"TIM20","VS while supine","PT5M","Timing","VS while supine","126be699-5b64-45b0-987a-dd455e1c8b52","","","Timing_20",""
"TIM21","Standing","PT0M","Timing","Standing","2fef5d36-528f-45ab-ad10-20d10d99dccc","","","Timing_21",""
"TIM22","VS while standing","PT1M","Timing","VS while standing","1aca017a-ce76-4aab-b04d-de39248acee1","","","Timing_22",""
"TIM23","Standing","PT0M","Timing","Standing","0053ed2c-c200-4166-b328-a0598d9bbd62","","","Timing_23",""
"TIM24","VS while standing","PT2M","Timing","VS while standing","bf23058e-ffd3-45ab-a5f0-888d36c1becc","","","Timing_24",""
