"decode","instanceType","codeSystem","codeSystemVersion","uuid:ID","id","code"
"Interventional Study","Code","http://www.cdisc.org","2023-09-29","649dd7d7-67aa-421e-92a7-8eadc2b68d8a","Code_1","C98388"
"Phase II Trial","Code","http://www.cdisc.org","2023-09-29","70918dc5-2251-4918-b872-46adff9af05e","Code_2","C15601"
"Sponsor Approval Date","Code","http://www.cdisc.org","2023-09-29","2b761014-4bb1-4734-bad7-e2c69f4369eb","Code_9","C132352"
"Global","Code","http://www.cdisc.org","2023-09-29","a5d79fda-aa7e-4556-8c4f-4be716dbca66","Code_10","C68846"
"IRB/IEC Feedback","Code","http://www.cdisc.org","2023-09-29","e7cd6c0a-bf6d-441f-9450-1d404340aca5","Code_72","C99904x3"
"Other","Code","http://www.cdisc.org","2023-09-29","d066249c-3e95-47b0-b946-ee6ec2e92403","Code_73","C17649"
"Region","Code","http://www.cdisc.org","2023-09-29","98adc021-2333-43a9-a990-248207cf65ae","Code_75","C41129"
"Europe","Code","ISO 3166 1 alpha3","2020-08","b2655084-fd6e-4b09-85cf-2304113e1d5a","Code_74","150"
"Eli Lilly","Code","SPONSOR","12","fc0d7958-7a4e-45f4-99b4-a4e463655457","Code_4","PHARMA"
"Clinical Study Sponsor","Code","http://www.cdisc.org","2023-09-29","02262cbe-54ca-4333-b062-1cc51b17b4aa","Code_76","C70793"
"Denmark","Code","ISO 3166 1 alpha3","2020-08","e0df9eff-15c4-4e1b-a49c-84e83f877f83","Code_77","DNK"
"Study Registry","Code","http://www.cdisc.org","2023-09-29","16b2587a-0afc-43c2-a601-ea118b39d551","Code_78","C93453"
"Treatment Study","Code","http://www.cdisc.org","2023-09-29","ffa22bb3-8581-49f1-a61a-217284ff7e19","Code_136","C49656"
"Efficacy Study","Code","http://www.cdisc.org","2023-09-29","3de1a396-b78f-42c8-bb76-4c1062c9836d","Code_137","C49666"
"Safety Study","Code","http://www.cdisc.org","2023-09-29","94207953-2660-4728-95a6-1bebab75f787","Code_138","C49667"
"Pharmacokinetic Study","Code","http://www.cdisc.org","2023-09-29","0dbac3c6-e913-4669-bb9d-41335ee9ca06","Code_139","C49663"
"Mild to Moderate Alzheimer's Disease","Code","SPONSOR","12","a27df006-174c-4988-b13f-955ef5c64f67","Code_133","MILD_MOD_ALZ"
"Alzheimer's disease","Code","SNOMED","January 31, 2018","7769437d-2d99-47ef-bba9-e29a55683c47","Code_134","26929004"
"EXTENSION","Code","http://www.cdisc.org","2023-09-29","191ff4a2-5513-471c-8269-37c2c7a75db1","Code_142","C99907x1"
"ADAPTIVE","Code","http://www.cdisc.org","2023-09-29","c98549b3-c047-4df6-8a85-afae8299503f","Code_143","C98704"
"Parallel Study","Code","http://www.cdisc.org","2023-09-29","e058354f-a367-4816-bb4e-a82739a0f063","Code_140","C82639"
"Visit","Code","http://www.cdisc.org","2023-09-29","818b43cc-c73f-4b54-b1d2-70585e6182ce","Code_82","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","8250bf5f-e793-48f9-ade8-1eca5f42ac0b","Code_83","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","bb954789-e167-47c7-ac00-a79e66c094a3","Code_84","C175574"
"Visit","Code","http://www.cdisc.org","2023-09-29","fbd532b9-03e9-4003-802d-86c9eb1100f7","Code_85","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","34e0b295-85b0-4eee-81fc-f1a43e43dcfc","Code_86","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","4a0bc2cd-29e0-4247-8342-5ec10e46eb09","Code_87","C175574"
"Visit","Code","http://www.cdisc.org","2023-09-29","09eb4b3e-e2c9-4f3a-9d16-e16e8338f6a1","Code_88","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","bad5f9f9-39ad-4c46-ad11-979321d96f84","Code_89","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","393351ed-fcb2-4ed9-854f-178978fa7141","Code_90","C175574"
"Visit","Code","http://www.cdisc.org","2023-09-29","9ef7c5c7-dec8-4d4e-a886-3e637be847bd","Code_91","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","ac0f3255-f0b4-40c9-8645-e971f26e4f29","Code_92","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","e863160c-c8d8-4eff-b12e-74f43db9d4c5","Code_93","C175574"
"Visit","Code","http://www.cdisc.org","2023-09-29","72b592e3-cd1e-4b8c-ad5b-42622e14bb3b","Code_94","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","f612317b-6da9-4f33-9e27-9ad6664953e5","Code_95","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","3dba7248-a198-4b1e-9bd0-70d57a1bbef5","Code_96","C175574"
"Visit","Code","http://www.cdisc.org","2023-09-29","37c716a1-7e92-4cf0-a0e6-23f0685b7cc6","Code_97","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","00966c4b-499f-4a63-ba0c-fe207d951828","Code_98","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","6593e6d4-0399-459b-8fc4-0fe55a55c69b","Code_99","C175574"
"Visit","Code","http://www.cdisc.org","2023-09-29","9f158089-eac4-4dc6-866a-b4506467fecf","Code_100","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","151279dd-3576-4b92-8544-259d0ab9ebc0","Code_101","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","f91076e0-a761-40d5-be7e-793888a8a2b2","Code_102","C175574"
"Telephone Call","Code","http://www.cdisc.org","2023-09-29","478c4282-aa6c-4ac5-9510-e59da228f52c","Code_103","C171537"
"Visit","Code","http://www.cdisc.org","2023-09-29","c52b1969-e2c1-43b7-97e1-5221a324b6a5","Code_104","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","7d099ed4-67fa-437b-be31-2a0f60bdb902","Code_105","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","0c75060d-7704-4b76-be4f-840d258561eb","Code_106","C175574"
"Telephone Call","Code","http://www.cdisc.org","2023-09-29","11586fc6-6415-4425-80e6-3138aa807d32","Code_107","C171537"
"Visit","Code","http://www.cdisc.org","2023-09-29","086dd1be-8715-4ece-8363-3a3410f20ddd","Code_108","C25716"
"Clinic","Code","http://www.cdisc.org","2023-09-29","b6fb8192-1b26-4803-862b-c09852452da2","Code_109","C51282"
"In Person","Code","http://www.cdisc.org","2023-09-29","a0a54fa6-1344-4f4c-884d-06b3febeaae8","Code_110","C175574"
"Telephone Call","Code","http://www.cdisc.org","2023-09-29","277e9f44-a84c-425f-a67b-52b8e41833f7","Code_111","C171537"
