"name","synonyms","instanceType","label","reference","uuid:ID","id"
"Body Temperature","['Temperature']","BiomedicalConcept","Body Temperature","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","2af7c92b-68b4-47a2-8849-dc0bcc89690c","BiomedicalConcept_20"
"Body Weight","['Weight']","BiomedicalConcept","Body Weight","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","06e5d6d8-3edf-4ac9-9f06-4526988a0776","BiomedicalConcept_21"
"Body Height","['Height']","BiomedicalConcept","Body Height","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","ba7d24ac-d28a-495b-9b3f-31e3b2b82774","BiomedicalConcept_22"
"Alanine Aminotransferase Measurement","['ALT', 'SGPT']","BiomedicalConcept","Alanine Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","6509e399-100a-4055-8911-3008c0f59e78","BiomedicalConcept_23"
"Albumin Measurement","['Albumin']","BiomedicalConcept","Albumin Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","88ac8e21-1c18-49d0-911f-a3b88e19fff5","BiomedicalConcept_24"
"Alkaline Phosphatase Measurement","['Alkaline Phosphatase']","BiomedicalConcept","Alkaline Phosphatase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","7f7e2028-655c-4049-9093-5dc016494b66","BiomedicalConcept_25"
"Aspartate Aminotransferase Measurement","['AST', 'SGOT']","BiomedicalConcept","Aspartate Aminotransferase Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","0f7ab965-f919-4bdf-81a7-8d058df77dde","BiomedicalConcept_26"
"Creatinine Measurement","['Creatinine']","BiomedicalConcept","Creatinine Measurement","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","a0afb6c0-5a51-4ddb-9730-e314e72141bc","BiomedicalConcept_27"
"Potassium Measurement","['Potassium', 'K']","BiomedicalConcept","Potassium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","5460550b-bd68-4ec8-beae-9cd528b052f7","BiomedicalConcept_28"
"Sodium Measurement","['Sodium', 'NA']","BiomedicalConcept","Sodium Measurement","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","9fc3d504-9b8f-4db2-8f58-aedddd4be6e4","BiomedicalConcept_29"
"Adverse Event","['Adverse Event Reported Term', 'AETERM']","BiomedicalConcept","Adverse Event","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","b4f87826-af98-46ae-9790-cc07a4b8282b","BiomedicalConcept_1"
"Systolic Blood Pressure","['SYSBP']","BiomedicalConcept","Systolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","415ae129-9e79-48dc-be5e-00ac5a344a4c","BiomedicalConcept_2"
"Diastolic Blood Pressure","['DIABP']","BiomedicalConcept","Diastolic Blood Pressure","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","d33e4eec-1bc1-40b1-bedf-cc8599e453ff","BiomedicalConcept_3"
