"isEnabled","name","isRequired","instanceType","label","uuid:ID","id","datatype"
"True","Vital Signs Result","True","BiomedicalConceptProperty","Vital Signs Result","b9944383-8406-4eb8-8659-90dcfca099a7","BiomedicalConceptProperty_98","decimal"
"True","Unit of Temperature","True","BiomedicalConceptProperty","Unit of Temperature","beaea1b6-689d-441f-afdb-9df7a61d0733","BiomedicalConceptProperty_99","string"
"True","Vital Signs Location","True","BiomedicalConceptProperty","Vital Signs Location","e925ac3e-e7ac-4559-9fec-1612f1c6ce53","BiomedicalConceptProperty_100","string"
"True","Vital Signs Result","True","BiomedicalConceptProperty","Vital Signs Result","de2f3a99-e0bf-40c5-8729-e6f63712d13c","BiomedicalConceptProperty_101","decimal"
"True","Unit of Weight","True","BiomedicalConceptProperty","Unit of Weight","fe1d7d97-93c4-414f-989c-d8a3862395b7","BiomedicalConceptProperty_102","string"
"True","Vital Signs Result","True","BiomedicalConceptProperty","Vital Signs Result","0fc56e09-0233-4d6b-a5f7-4cee5d37f6ec","BiomedicalConceptProperty_103","decimal"
"True","Unit of Height","True","BiomedicalConceptProperty","Unit of Height","f4bb67ba-ea39-4e4d-8f51-5ed218c627a7","BiomedicalConceptProperty_104","string"
"True","Laboratory Test Result","True","BiomedicalConceptProperty","Laboratory Test Result","1159b661-f7d2-45f9-8a8c-4e35ccc4bcbd","BiomedicalConceptProperty_105","decimal"
"True","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","0f35a47d-0d74-4713-ad66-63b119fc6928","BiomedicalConceptProperty_106","boolean"
"True","Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty","Unit of Catalytic Activity Concentration","cf0fb85e-bdc7-47ca-b0cc-c2203f08f306","BiomedicalConceptProperty_107","string"
"True","Biospecimen Type","True","BiomedicalConceptProperty","Biospecimen Type","e2eca440-e216-44b8-b399-35c19b714cb4","BiomedicalConceptProperty_108","string"
"True","Laboratory Test Result","True","BiomedicalConceptProperty","Laboratory Test Result","89197a4c-559a-4f12-b630-9639fc1bc1e4","BiomedicalConceptProperty_109","string"
"True","Laboratory Test Fasting Status","True","BiomedicalConceptProperty","Laboratory Test Fasting Status","4d4d16f7-fbdc-4ea5-b02b-b76497aed4c3","BiomedicalConceptProperty_110","boolean"
"True","Unit of Concentration","True","BiomedicalConceptProperty","Unit of Concentration","9239cc75-b1c3-44c7-b5f6-b4a3583e1e41","BiomedicalConceptProperty_111","string"
