"name","description","instanceType","label","uuid:ID","id"
"Informed consent","","Activity","","45f65527-7f4c-49a0-b270-dcd9091a974b","Activity_1"
"Inclusion/exclusion criteria","","Activity","","18ec2582-b19e-4581-b1a8-75ede8330136","Activity_2"
"Patient number assigned","","Activity","","165940ea-041b-4779-9608-b39c95b50b17","Activity_3"
"Demographics","","Activity","Demographics","332909fb-4550-4784-b615-67f3aaa922fe","Activity_4"
"Hachinski","","Activity","Hachinski","e782337e-37ee-4560-8cf3-9133735ec61d","Activity_5"
"MMSE","","Activity","MMSE","6bb759b5-be92-4d1e-9add-a62faebe73d4","Activity_6"
"Physical examination","","Activity","","48fa23cc-b220-48db-b46c-1280f9e5b3c1","Activity_7"
"Medical history","","Activity","","7173e7c0-546d-40e2-8f32-3b8050abad80","Activity_8"
"Habits","","Activity","","a0790ed0-37e4-41bc-bed4-05417871e030","Activity_9"
"Chest X-ray","","Activity","","66bef802-a2d6-4e32-b751-1b6d84079e17","Activity_10"
"Apo E genotyping","","Activity","","5a19147a-cc5b-4012-a318-f899b5bcdd37","Activity_11"
"Patient randomised","","Activity","","27c403f3-14e3-415f-ba2d-c862cc81f516","Activity_12"
"Vital signs / Temperature","","Activity","Vital Signs and Temperature","87d9a3a7-5b29-4f65-ab4e-c43f89e629ce","Activity_13"
"Ambulatory ECG placed","","Activity","","f3faf3dc-0a20-4196-aa7a-2980fa22acc4","Activity_14"
"Ambulatory ECG removed","","Activity","","25bb95a0-64fd-4b96-b4c2-85161ddb018a","Activity_15"
"ECG","","Activity","","ece457c3-5e6b-4da3-a3a3-d83ef46f85fc","Activity_16"
"Placebo TTS test","","Activity","","e63cf85e-7f08-4eb7-8b35-c32510b2af92","Activity_17"
"CT scan","","Activity","","c34249c0-487c-49a1-95c8-e4c010108444","Activity_18"
"Concomitant medications","","Activity","","bad0fe80-e768-4fb3-869c-08fa37148068","Activity_19"
"Hematology","","Activity","","b59e11e1-1e87-45ab-a644-e8f85e9a64b6","Activity_20"
"Chemistry","","Activity","","50c93b31-c776-468b-969c-0e3692a9d8dd","Activity_21"
"Uninalysis","","Activity","","eb877e83-a180-4f8f-adc4-a11b6b4d7078","Activity_22"
"Plasma Specimen (Xanomeline)","","Activity","","bcf6409f-8a34-41df-b209-e9d01f87acd7","Activity_23"
"Hemoglobin A1C","","Activity","","ff249599-9e1a-4909-9521-e5642ed3d9d6","Activity_24"
"Study drug","","Activity","Study drug record , Medications dispensed, Medications returned","0e7e11f6-dcb3-423a-a2cf-b84b394f1304","Activity_25"
"TTS Acceptability Survey","","Activity","","c2c0b70e-ee30-4917-899b-d8eeb8b428ef","Activity_26"
"ADAS-Cog","","Activity","","b6c53e9a-8c38-44d9-ba3c-f913816e70e7","Activity_27"
"CIBIC+","","Activity","","4d59300a-7ab1-4fd6-b40d-af65df1ed488","Activity_28"
"DAD","","Activity","","99fc52c5-44f2-4a6a-b176-bcf990da0466","Activity_29"
"NPI-X","","Activity","","c2502d23-a7ae-49b6-8ddb-496a1b69db83","Activity_30"
"Adverse events","","Activity","","852feaa5-f4cd-4415-afbc-3f39e0f937f0","Activity_31"
"Check adverse events","","Activity","","bdd4fb96-0d2c-4ddb-a5cc-fdd728d87bf2","Activity_32"
"Supine","","Activity","Subject supine","4b3230c1-4af8-4040-a087-ad75fed7ed0a","Activity_33"
"Vital Signs Supine","","Activity","Vital signs while supine","95a026d6-3490-42af-8657-680b4c23fa49","Activity_34"
"Stand","","Activity","Subject Standing","9af7522e-a3a3-441f-83dc-773274e95e0d","Activity_35"
"Vital Signs Standing","","Activity","Vital signs while standing","8a15c776-b889-4a3c-9f43-f8d69552f898","Activity_36"
