"name","text","instanceType","uuid:ID","id"
"ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule","5cee4afe-28a9-4a25-b50e-dae7e5a29827","TransitionRule_1"
"ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule","73f644f2-a19b-4e66-a31a-79633e24bf04","TransitionRule_2"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","4b565a08-6b36-4254-8ed7-ed9ffaf544ae","TransitionRule_3"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule","4ca58c8b-0db6-4522-8dae-f856e441aed0","TransitionRule_4"
"ENCOUNTER_START_RULE_3","Radomized","TransitionRule","fd83c25f-83d9-4c50-b289-35eef6b3dad5","TransitionRule_5"
"ENCOUNTER_START_RULE_12","End of treatment","TransitionRule","7999ffc3-db99-43a0-880f-8e62f274b8c4","TransitionRule_6"
"ELEMENT_START_RULE_1","Informed consent","TransitionRule","9426175d-ff70-4fd9-bbac-0b83e51678d0","TransitionRule_7"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","a1657165-e3ee-4641-a8e0-0c3162e3cea3","TransitionRule_8"
"ELEMENT_START_RULE_2","Administration of first dose","TransitionRule","a8b182fa-9a87-4869-aa6e-e7a68758dd5a","TransitionRule_9"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule","829bd8c5-a218-4122-a990-a622283dc7e7","TransitionRule_14"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","ba6536f6-9411-48d5-8c1e-fbf306d497eb","TransitionRule_15"
"ELEMENT_START_RULE_3","Administration of first dose","TransitionRule","bb54ca67-4df6-4fe2-a0ca-7f9678ce842a","TransitionRule_10"
"ELEMENT_START_RULE_4","Randomized","TransitionRule","f545b2f8-9937-4c3f-baaa-b0462374b486","TransitionRule_11"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","bf018d08-64d4-4776-84aa-906ca79ba1c0","TransitionRule_12"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","9214f906-f51a-4e01-b2a0-2fba85f5d2ed","TransitionRule_13"
