"window","description","value","label","uuid:ID","id","name","windowLower","windowUpper"
"","Screening timing","P2W","Screening","ec43499f-166b-48f6-944b-105d657f589a","Timing_1","TIM1","",""
"-4..0 hours","Pre dose timing","P2D","Pre dose","e210dd66-6bbe-406b-a284-cf51fbe08b05","Timing_2","TIM2","PT4H","PT0H"
"","Dosing anchor","P1D","Dosing","d00746ed-3709-4f47-b46d-ad6eb48d4e10","Timing_3","TIM3","",""
"-3..3 days","Week 2 timing","P2W","Week 2","4ea3153e-9aff-42b3-8f40-96ba82c10931","Timing_4","TIM4","P3D","P3D"
"-3..3 days","Week 4 timing","P4W","Week 4","7a380aac-73fd-40d8-9198-a841a7bf749b","Timing_5","TIM5","P3D","P3D"
"-3..3 days","Week 6 timing","P6W","Week 6","fd3740bf-6516-4e06-ac52-645a831439e0","Timing_6","TIM6","P3D","P3D"
"-3..3 days","Week 8 timing","P8W","Week 8","e30d74af-42c3-4ad9-b35b-c35f0d48211b","Timing_7","TIM7","P3D","P3D"
"","Week 8 at home timing","P2W","Week 8 Home","4b81ec36-4fb2-41b8-b6ae-ded790aad4ca","Timing_8","TIM8","",""
"-4..4 days","Week 12 timing","P12W","Week 12","1abffc23-8581-4923-9fc0-7b55740d1889","Timing_9","TIM9","P4D","P4D"
"","Week 12 at home timing","P2W","Week 12 Home","5176c9bb-01e7-4c7f-b1fd-89e66e1c7a67","Timing_10","TIM10","",""
"-4..4 days","Week 16 timing","P16W","Week 16","3887f149-7191-420e-a99f-92523243b797","Timing_11","TIM11","P4D","P4D"
"","Week 16 at home timing","P2W","Week 16 Home","9e3506a7-fd00-4f61-af3b-93b3c56d20b3","Timing_12","TIM12","",""
"-4..4 days","Week 20 timing","P20W","Week 20","034f3a77-e61a-4079-b4af-a52bc4f7bb23","Timing_13","TIM13","P4D","P4D"
"","Week 20 at home timing","P2W","Week 20 Home","5d2a2134-a219-4cb4-8ca3-6d6c77a7f9cf","Timing_14","TIM14","",""
"-4..4 days","Week 24 timing","P24W","Week 24","30385a9c-2745-4dd0-ae70-ec63ce86b93b","Timing_15","TIM15","P4D","P4D"
"-3..3 days","Week 26 timing","P26W","Week 26","df873194-b560-4db3-b5f7-3e64d33e6f2e","Timing_16","TIM16","P3D","P3D"
"","Adverse Event","P1D","Adverse Event","2451360d-7b64-43c5-b3a2-4a6cd1c85f9e","Timing_17","TIM17","",""
"","Early Termination","P1D","Early Termination","ad01fa25-1d4b-4e67-8fa7-196afd7136cc","Timing_18","TIM18","",""
"","BP Anchor","PT0M","BP Anchor","d4ed5304-c943-4bf4-95fc-d02436c8755f","Timing_19","TIM19","",""
"","BP while Supine","PT5M","BP while Supine","a48140ba-6647-4d65-9487-d0ff04ccd0ea","Timing_20","TIM20","",""
"-2..0 min","BP Stand Up","PT3M","BP Stand Up","166b33e4-9267-4b8d-934f-07708c4c1100","Timing_21","TIM21","PT2M","PT0M"
"","BP while standing","PT0M","BP while standing","4bff95f4-4d09-43b3-89db-d34ce94658f0","Timing_22","TIM22","",""
