"description","isConditionalReason","uuid:ID","label","id","name","isConditional"
"","","4309a861-ee8f-438b-b678-2b89ddbf8379","","Activity_1","Informed consent","False"
"","","e39b17d9-9b4c-4572-84a4-18d69c466ffd","","Activity_2","Inclusion/exclusion criteria","False"
"","","a803f65c-8bfb-4762-9852-d0e97efa341b","","Activity_3","Patient number assigned","False"
"","","7428d578-1165-4df4-9403-2f0cf7316e29","Demographics","Activity_4","Demographics","False"
"","","6aaa613a-ec1a-488b-8a3c-9bae676b7108","Hachinski","Activity_5","Hachinski","False"
"","","dd2b5ad2-cee3-4cab-8ce5-a9192a53b55c","MMSE","Activity_6","MMSE","False"
"","","984f2b2b-39b4-4ef8-9541-29e331515f81","","Activity_7","Physical examination","False"
"","","200ee66e-7697-4bd3-ac24-cf84c7c7177f","","Activity_8","Medical history","False"
"","","f033137a-7260-4daf-b25a-0fafd04f4fe1","","Activity_9","Habits","False"
"","","64249451-e333-4a27-9b7d-92ff87893d81","","Activity_10","Chest X-ray","False"
"","","38ac2939-ff7b-46c6-865e-0945bc8a31b6","","Activity_11","Apo E genotyping","False"
"","","03822712-e6bd-4ff1-9cda-3def4cda8d04","","Activity_12","Patient randomised","False"
"","","c9991b49-ff60-4928-b796-867253f95151","Vital Signs and Temperature","Activity_13","Vital signs / Temperature","False"
"","","8fcdc371-5bb6-402d-bd05-a8b07dec1e3c","","Activity_14","Ambulatory ECG placed","False"
"","","06cbbffa-449f-4295-be71-a064fc203172","","Activity_15","Ambulatory ECG removed","False"
"","","9dfdbb02-fbbc-4834-a7ba-7e304ba63023","","Activity_16","ECG","False"
"","","b09956f5-e732-4b61-ae59-e915083c01a1","","Activity_17","Placebo TTS test","False"
"","","087b413f-0a46-4e3c-94d1-4016e5325d7e","","Activity_18","CT scan","False"
"","","e407d6a9-cc92-4cd6-ae51-f43c661e9dc5","","Activity_19","Concomitant medications","False"
"","","88126581-0097-452a-a374-8198b0bf6b72","","Activity_20","Hematology","False"
"","","72ddb197-045d-4e60-84bc-a8a39b41796c","","Activity_21","Chemistry","False"
"","","ebe9d74e-9b38-425f-a8bb-2d2644a7f939","","Activity_22","Uninalysis","False"
"","","fb7ec370-b033-4c86-91fd-40d6e02caf5a","","Activity_23","Plasma Specimen (Xanomeline)","False"
"","","534c7085-0f48-4bc3-9373-9aaac1c6060f","","Activity_24","Hemoglobin A1C","False"
"","","da3dfc64-41f8-4ba7-95df-50e11dc7f4d3","Study drug record , Medications dispensed, Medications returned","Activity_25","Study drug","False"
"","","7ddefc1c-fad2-4ec1-956b-e1fd2811a9a9","","Activity_26","TTS Acceptability Survey","False"
"","","c67383aa-ddbe-425d-a065-2ba5d660562d","","Activity_27","ADAS-Cog","False"
"","","4d3fcb03-239a-440c-ad1f-194b3040196b","","Activity_28","CIBIC+","False"
"","","aa099420-f133-431b-922d-899e7d1f43c8","","Activity_29","DAD","False"
"","","b309feea-6193-4a64-b238-09ac2e1c52e8","","Activity_30","NPI-X","False"
"","","7b5066b7-92b6-4835-a192-70f9cd706319","","Activity_31","Adverse events","False"
"","","88ef4042-3d64-4cf0-b5c1-ab4aa652dfb8","","Activity_32","Check adverse events","False"
"","","32b66571-e19f-4a37-addc-23e3627d198a","Supine for 5 minutes","Activity_33","Supine 5min","False"
"","","27d4f3a3-ae04-4dec-83f8-c128871bf23a","Blood pressure supine","Activity_34","Blood Pressure Supine","False"
"","","3ddc3e85-2a65-4233-bcbd-4ccd905eb6ab","Stand for 3 minutes","Activity_35","Stand 3min","False"
"","","6b510b79-4d4a-4b0b-b98b-73f9942e9a92","Blood pressure standing","Activity_36","Bood Pressure Standing","False"
