"id","uuid:ID","name","text"
"TransitionRule_1","60602620-2be1-4bcb-8932-d37f774417c3","ENCOUNTER_START_RULE_1","Subject identifier"
"TransitionRule_2","54c05c3f-c6b8-4686-9100-bfaa0541924a","ENCOUNTER_START_RULE_1","completion of screening activities"
"TransitionRule_3","1039dafb-3614-4679-bf90-0a1c14354e7f","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine"
"TransitionRule_4","c95043a7-be5e-4cb7-bde1-6785dbab278c","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed"
"TransitionRule_5","1fee688c-45d4-41e5-8ecd-c9ca3e3769b6","ENCOUNTER_START_RULE_3","Radomized"
"TransitionRule_6","db749b3d-017e-4833-9c30-60c5ad6a675e","ENCOUNTER_START_RULE_12","End of treatment"
"TransitionRule_7","56c37548-3ea2-4de8-82f5-e9b0cb96b7b9","ELEMENT_START_RULE_1","Informed consent"
"TransitionRule_8","26e1827f-ca43-4646-98d3-410ca2c1d98e","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent"
"TransitionRule_9","a657a19d-7019-49a2-a72d-62a99d069e1f","ELEMENT_START_RULE_2","Administration of first dose"
"TransitionRule_14","dc0e3764-6c45-48d3-ae05-960522113b34","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)"
"TransitionRule_15","1526e0f2-6e0a-4521-893a-3fa7263a2d3e","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)"
"TransitionRule_10","04984d0d-f7b7-4d2f-b7d4-0598ed13e533","ELEMENT_START_RULE_3","Administration of first dose"
"TransitionRule_11","4c5a9be1-69d8-4c4e-bb6d-e4751b631677","ELEMENT_START_RULE_4","Randomized"
"TransitionRule_12","be3b87de-4a1c-4078-8fa5-1b964da18106","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)"
"TransitionRule_13","1f6fcc36-0ea3-439f-bfac-4539a43db93a","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)"
