"uuid:ID","id","sectionTitle","name","text","sectionNumber"
"aa3da7d7-a20f-4e5a-a9e9-cbfe69ac8103","NarrativeContent_1","Root","ROOT","","0"
"6a5cfb81-87ad-4046-8e53-4cf5dac2d8cf","NarrativeContent_2","TITLE PAGE","SECTION 0","<div><usdm:section name=""M11-title-page""></div>","0"
"b87a83c5-cecd-47c9-93a4-7f3897e12fca","NarrativeContent_3","PROTOCOL SUMMARY","SECTION 1","<div></div>","1"
"f21e08e9-f704-4094-8c08-77d506b98778","NarrativeContent_4","Protocol Synopsis","SECTION 1.1","<div></div>","1.1"
"5f8a49d2-7473-4cc3-b8bd-d5181140233c","NarrativeContent_5","Trial Schema","SECTION 1.2","<div></div>","1.2"
"7df048c9-f8ab-418b-88b2-3c6a0e503a9a","NarrativeContent_6","Schedule of Activities","SECTION 1.3","<div></div>","1.3"
"6346a6de-a13b-4adc-a3b0-a5f33ec84e00","NarrativeContent_7","INTRODUCTION","SECTION 2","<div></div>","2"
"673fd9fa-79d9-48d1-b8e3-9686e1b9ee9a","NarrativeContent_8","Purpose of Trial","SECTION 2.1","<div></div>","2.1"
"00522a0c-763f-47eb-aab2-54b0442c5412","NarrativeContent_9","Summary of Benefits and Risks","SECTION 2.2","<div></div>","2.2"
"18a8f2fc-1b56-4023-8772-68b1171f1461","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","SECTION 3","<div></div>","3"
"c70d345d-6778-429d-a080-fb1629ef46a2","NarrativeContent_11","Primary Objectives","SECTION 3.1","<div><usdm:section name=""M11-objective-endpoints""></div>","3.1"
"a1b3c4b8-aa4c-42ad-8a85-e3fa7cda3021","NarrativeContent_12","TRIAL DESIGN","SECTION 4","<div></div>","4"
"4e44bd0d-7bea-4ca2-a795-62422f2084ea","NarrativeContent_13","Description of Trial Design","SECTION 4.1","<div></div>","4.1"
"d1293612-257d-4f14-a861-b71e84d742df","NarrativeContent_14","Participant Input into Design","SECTION 4.1.1","<div></div>","4.1.1"
"e1284da7-22ed-436a-91c9-5335240768d7","NarrativeContent_15","Rationale for Trial Design","SECTION 4.2","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>","4.2"
