"isRequired","isEnabled","uuid:ID","label","id","datatype","name"
"True","True","f36ca1e6-6206-4734-939f-dd324e5b0669","Vital Signs Result","BiomedicalConceptProperty_86","decimal","Vital Signs Result"
"True","True","c7016a6b-59b4-4b56-8eb6-8ec776bd8cf7","Unit of Temperature","BiomedicalConceptProperty_87","string","Unit of Temperature"
"True","True","fe7c2676-007a-4dda-a3b0-13e14c03387e","Vital Signs Location","BiomedicalConceptProperty_88","string","Vital Signs Location"
"True","True","daa95d7d-6889-4a13-8dbe-52e10ed2f768","Vital Signs Result","BiomedicalConceptProperty_89","decimal","Vital Signs Result"
"True","True","05873b31-ae44-4a05-90f9-5f2a44c7533e","Unit of Weight","BiomedicalConceptProperty_90","string","Unit of Weight"
"True","True","5ff4866d-cc86-4f9a-8e79-dc94653b4722","Vital Signs Result","BiomedicalConceptProperty_91","decimal","Vital Signs Result"
"True","True","39d03042-1bf6-4174-a8b0-5df361684ea5","Unit of Height","BiomedicalConceptProperty_92","string","Unit of Height"
"True","True","a25c6f3e-53b5-4dfc-943e-752bf8746405","Laboratory Test Result","BiomedicalConceptProperty_93","decimal","Laboratory Test Result"
"True","True","32f13a15-9b86-45af-ad01-7542959c5a13","Laboratory Test Fasting Status","BiomedicalConceptProperty_94","boolean","Laboratory Test Fasting Status"
"True","True","9efe7ac0-c8b5-48fc-b5c8-9bbafee59e16","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_95","string","Unit of Catalytic Activity Concentration"
"True","True","be9fe7ba-680f-4de8-8be1-fac322b7dec7","Biospecimen Type","BiomedicalConceptProperty_96","string","Biospecimen Type"
"True","True","92a5154f-9479-4cec-8e8b-15b821d67cf1","Laboratory Test Result","BiomedicalConceptProperty_97","string","Laboratory Test Result"
"True","True","f069dbc9-2417-4816-a490-9b03fe52750a","Laboratory Test Fasting Status","BiomedicalConceptProperty_98","boolean","Laboratory Test Fasting Status"
"True","True","38ad5a60-3c7d-49b7-bf2e-ea70f940a2a4","Unit of Concentration","BiomedicalConceptProperty_99","string","Unit of Concentration"
"True","True","9401f903-6484-48b4-8d8f-a4cebd0368d9","Biospecimen Type","BiomedicalConceptProperty_100","string","Biospecimen Type"
"True","True","85f16f2d-7ec0-44a8-81f3-a4b7910d9b34","Laboratory Test Result","BiomedicalConceptProperty_101","decimal","Laboratory Test Result"
"True","True","950cd070-cf36-4168-8d19-9cd8c45030f9","Laboratory Test Fasting Status","BiomedicalConceptProperty_102","boolean","Laboratory Test Fasting Status"
"True","True","c36da2b3-e2b7-42a2-a739-e6f2ed77c523","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_103","string","Unit of Catalytic Activity Concentration"
"True","True","222bdb6b-8e36-4032-b16a-731583a638f3","Biospecimen Type","BiomedicalConceptProperty_104","string","Biospecimen Type"
"True","True","25d95adb-9aa5-4adb-8624-671c6d3d6fe0","Laboratory Test Result","BiomedicalConceptProperty_105","decimal","Laboratory Test Result"
"True","True","037b8d18-d120-4177-93fb-3357399ce4a7","Laboratory Test Fasting Status","BiomedicalConceptProperty_106","boolean","Laboratory Test Fasting Status"
"True","True","7dc11a63-e469-4b6d-891f-833506377790","Unit of Catalytic Activity Concentration","BiomedicalConceptProperty_107","string","Unit of Catalytic Activity Concentration"
"True","True","0c774ed0-d800-4dab-a899-01bcd1fa29dd","Biospecimen Type","BiomedicalConceptProperty_108","string","Biospecimen Type"
"True","True","f4f77d6d-f55a-4a03-a831-69493b257720","Laboratory Test Result","BiomedicalConceptProperty_109","string","Laboratory Test Result"
"True","True","5a2a14e9-ffc8-49d9-9626-0bd4c40a6db5","Laboratory Test Fasting Status","BiomedicalConceptProperty_110","boolean","Laboratory Test Fasting Status"
"True","True","856c1f93-965c-4dc9-a88e-c89953ccce17","Unit of Concentration","BiomedicalConceptProperty_111","string","Unit of Concentration"
"True","True","f67dd631-81c1-4c0f-b000-53f4852d277b","Biospecimen Type","BiomedicalConceptProperty_112","string","Biospecimen Type"
"True","True","00282d42-a809-4df8-9ca2-ab9283b02189","Laboratory Test Result","BiomedicalConceptProperty_113","decimal","Laboratory Test Result"
"True","True","d64bdd14-5918-4ffe-933f-a0ea22710b85","Laboratory Test Fasting Status","BiomedicalConceptProperty_114","boolean","Laboratory Test Fasting Status"
"True","True","156d6b4e-d38f-46ad-860f-b7b68972cd37","Molarity Unit","BiomedicalConceptProperty_115","string","Molarity Unit"
"True","True","13db711a-ec69-4113-8a0b-edfe1ea78039","Biospecimen Type","BiomedicalConceptProperty_116","string","Biospecimen Type"
"True","True","cd12c2c9-8d04-43bd-8fe9-614e98843c2b","Laboratory Test Result","BiomedicalConceptProperty_117","decimal","Laboratory Test Result"
"True","True","915acec4-1b4d-4033-9f2d-703c122d5678","Laboratory Test Fasting Status","BiomedicalConceptProperty_118","boolean","Laboratory Test Fasting Status"
"True","True","bf769287-e0dc-4de1-9250-98e471a0c018","Molarity Unit","BiomedicalConceptProperty_119","string","Molarity Unit"
"True","True","62e307fc-3cbb-4131-b257-4b83e989bf27","Biospecimen Type","BiomedicalConceptProperty_120","string","Biospecimen Type"
"True","True","2f1013bc-0263-4874-9c9b-8f18e34e0b41","Adverse Event Verbatim Description","BiomedicalConceptProperty_1","string","Adverse Event Verbatim Description"
"True","True","f94e4bcf-9281-4112-ab02-14f9b8ab1958","Adverse Event Dictionary Derived Term","BiomedicalConceptProperty_2","string","Adverse Event Dictionary Derived Term"
"True","True","16526f52-54b1-41b6-b27a-758184e7043f","Adverse Event Category","BiomedicalConceptProperty_3","string","Adverse Event Category"
"True","True","2f935930-345c-4d7c-b388-3490a80d0c84","Adverse Event Subcategory","BiomedicalConceptProperty_4","string","Adverse Event Subcategory"
"True","True","0d8966b4-3302-42a4-9895-53bc440d9622","Adverse Event Pre-specified","BiomedicalConceptProperty_5","boolean","Adverse Event Pre-specified"
"True","True","f795995b-f297-4aea-b9e1-1a5e24a7d1ca","Severity of Adverse Event","BiomedicalConceptProperty_6","string","Severity of Adverse Event"
"True","True","54edb970-e77a-41e6-b05e-36199313f4f4","Adverse Event Toxicity Grade","BiomedicalConceptProperty_7","string","Adverse Event Toxicity Grade"
"True","True","bc418534-12f2-4625-9785-0df854d1c874","Seriousness of Adverse Event","BiomedicalConceptProperty_8","boolean","Seriousness of Adverse Event"
"True","True","0bd081d9-56cf-4782-8564-dea67021789b","Adverse Event Action Taken with Study Treatment","BiomedicalConceptProperty_9","string","Adverse Event Action Taken with Study Treatment"
"True","True","0cc2dc4a-1495-4cb1-bb02-02e4126bf173","Adverse Event Attribution to Product or Procedure","BiomedicalConceptProperty_10","string","Adverse Event Attribution to Product or Procedure"
"True","True","745e7c23-0582-439b-83ec-5ff73f4a9363","Adverse Event Pattern","BiomedicalConceptProperty_11","string","Adverse Event Pattern"
"True","True","496e9192-6382-41fb-99cb-e19765c61abf","Adverse Event Outcome","BiomedicalConceptProperty_12","string","Adverse Event Outcome"
"True","True","47d3fc3a-60b9-48e3-a890-9e5d5f31292b","Adverse Event Start Date Time","BiomedicalConceptProperty_13","datetime","Adverse Event Start Date Time"
"True","True","56f35e9a-f7d1-475d-95b3-fa5268bdce76","Adverse Event End Date Time","BiomedicalConceptProperty_14","datetime","Adverse Event End Date Time"
