"id:ID","uuid","sectionNumber","name","id","sectionTitle","text"
"822","6dd69db8-b12a-47e3-b2a3-2d84ca0a992a","0","ROOT","NarrativeContent_1","Root",""
"823","04e40b77-81a2-42d1-b35f-beaf4da82ea0","0","SECTION 0","NarrativeContent_2","TITLE PAGE","<div><usdm:section name=""M11-title-page""></div>"
"824","d385765c-e38f-438f-943c-e4e1dba41892","1","SECTION 1","NarrativeContent_3","PROTOCOL SUMMARY","<div></div>"
"825","a9cedd54-aa77-465a-9ffa-908927318fef","1.1","SECTION 1.1","NarrativeContent_4","Protocol Synopsis","<div></div>"
"826","a30be4e8-32d0-4c0f-a83e-d541bc584156","1.2","SECTION 1.2","NarrativeContent_5","Trial Schema","<div></div>"
"827","452b0f63-1ff8-4eb7-8c50-aeb93534d4d5","1.3","SECTION 1.3","NarrativeContent_6","Schedule of Activities","<div></div>"
"828","153b7e99-c407-451c-aff6-c52079cc22d6","2","SECTION 2","NarrativeContent_7","INTRODUCTION","<div></div>"
"829","21f3636c-b81c-4e92-8b09-78674ed877b2","2.1","SECTION 2.1","NarrativeContent_8","Purpose of Trial","<div></div>"
"830","8c6d6b90-669c-4053-b76d-226ec7e1e232","2.2","SECTION 2.2","NarrativeContent_9","Summary of Benefits and Risks","<div></div>"
"831","210bdd4b-db58-4407-84e5-3eaadf6dc3b8","3","SECTION 3","NarrativeContent_10","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","<div></div>"
"832","ff3227f9-4c8e-4e23-8e72-bbdc93b77f1f","3.1","SECTION 3.1","NarrativeContent_11","Primary Objectives","<div><usdm:section name=""M11-objective-endpoints""></div>"
"833","d5128227-08c8-4cb1-b148-2c3ab8895f3c","4","SECTION 4","NarrativeContent_12","TRIAL DESIGN","<div></div>"
"834","263290a8-e6eb-43b3-8d50-4a18fe951d7d","4.1","SECTION 4.1","NarrativeContent_13","Description of Trial Design","<div></div>"
"835","9d2ab6ee-eea9-43c9-a86e-71342893f02b","4.1.1","SECTION 4.1.1","NarrativeContent_14","Participant Input into Design","<div></div>"
"836","6ce5a355-c994-44dd-b122-f8f8f70d2449","4.2","SECTION 4.2","NarrativeContent_15","Rationale for Trial Design","<div><p>Previous studies of the oral formulation have shown that xanomeline tartrate may improve behavior and cognition. Effects on behavior are manifest within 2 to 4 weeks of initiation of treatment. The same studies have shown that 8 to 12 weeks are required to demonstrate effects on cognition and clinical global assessment. This study is intended to determine the acute and chronic effects of the TTS formulation in AD; for that reason, the study is of 26 weeks duration. Dosage specification has been made on the basis of tolerance to the xanomeline TTS in a clinical pharmacology study (H2Q-EW-LKAA), and target plasma levels as determined in studies of the oral formulation of xanomeline (H2Q-MC-LZZA).</p></div>"
"837","783a7578-f31e-4a30-9907-522a8a1ba673","4.2.1","SECTION 4.2.1","NarrativeContent_16","Rationale for Comparator","<div><p>The parallel dosing regimen maximizes the ability to make direct comparisons between the treatment groups. The use of placebo allows for a blinded, thus minimally biased, study. The placebo treatment group is a comparator group for efficacy and safety assessment.</p><p>Two interim analyses are planned for this study. The first interim analysis will occur when 50% of the patients have completed Visit 8 (8 weeks). If required, the second interim analysis will occur when 50% of the patients have completed Visit 12 (24 weeks).</p></div>"
"838","cdba60af-1110-466b-b80b-0db23ee8f7aa","4.2.2","SECTION 4.2.2","NarrativeContent_17","Rationale for Adaptive or Novel Trial Design","<div></div>"
"839","0d7907c5-096f-4840-9918-58da10d84fc1","4.2.3","SECTION 4.2.3","NarrativeContent_18","Other Trial Design Considerations","<div></div>"
"840","57baf685-6fae-40dc-9eb8-e5635f2f874d","4.3","SECTION 4.3","NarrativeContent_19","Access to Trial Intervention After End of Trial","<div></div>"
