"id:ID","uuid","name","label","bcPropertyEnabled","bcPropertyResponseCodes","id","bcPropertyRequired","bcPropertyDatatype"
"546","26159075-7866-4f9c-ad68-a74e656fd4a9","Vital Signs Result","Vital Signs Result","True","[]","BiomedicalConceptProperty_86","True","decimal"
"547","439b23fe-b72f-4789-8db6-1a1dd7169174","Unit of Temperature","Unit of Temperature","True","","BiomedicalConceptProperty_87","True","string"
"548","53c891e5-9371-41fd-aceb-ac57975c7e4b","Vital Signs Location","Vital Signs Location","True","[]","BiomedicalConceptProperty_88","True","string"
"549","ad81ab57-410e-4b72-aa81-0281029a246f","Vital Signs Result","Vital Signs Result","True","[]","BiomedicalConceptProperty_89","True","decimal"
"550","34af9d5b-560f-4c4c-9435-b5ec7189237a","Unit of Weight","Unit of Weight","True","","BiomedicalConceptProperty_90","True","string"
"551","799281f9-2a1d-4b5f-aa36-52171bb5544d","Vital Signs Result","Vital Signs Result","True","[]","BiomedicalConceptProperty_91","True","decimal"
"552","0c57d0f4-a3f5-4971-8a52-ba05027d2420","Unit of Height","Unit of Height","True","","BiomedicalConceptProperty_92","True","string"
"553","2b59f282-99f4-41f5-b472-0991c388bae7","Laboratory Test Result","Laboratory Test Result","True","[]","BiomedicalConceptProperty_93","True","decimal"
"554","671b22e6-35c9-4df9-9a43-28b2ab30c603","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_94","True","boolean"
"555","0bbb75a7-7db2-467f-b8dc-9fb64a5db85e","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","[]","BiomedicalConceptProperty_95","True","string"
"556","b1e9391f-014a-411a-9f3d-dbf0208b721e","Biospecimen Type","Biospecimen Type","True","[]","BiomedicalConceptProperty_96","True","string"
"557","426a9fad-ae77-4aeb-b526-5c62e29a6d8b","Laboratory Test Result","Laboratory Test Result","True","[]","BiomedicalConceptProperty_97","True","string"
"558","cf2c96a6-ac8d-4178-bd99-d31b4ade40b6","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_98","True","boolean"
"559","73d7df29-8918-4af2-a10b-c91c38fb1100","Unit of Concentration","Unit of Concentration","True","[]","BiomedicalConceptProperty_99","True","string"
"560","8ad97231-bf46-40b9-b8be-53cd6f48c969","Biospecimen Type","Biospecimen Type","True","[]","BiomedicalConceptProperty_100","True","string"
"561","32d3343b-a6a1-4887-9a38-26c5dc3fd0bd","Laboratory Test Result","Laboratory Test Result","True","[]","BiomedicalConceptProperty_101","True","decimal"
"562","73cbe892-4c6f-491f-a122-029df12139b6","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_102","True","boolean"
"563","8125827c-2815-4514-9383-565925a2ad1e","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","[]","BiomedicalConceptProperty_103","True","string"
"564","d7e286ca-947e-4491-be07-f1a08969fa97","Biospecimen Type","Biospecimen Type","True","[]","BiomedicalConceptProperty_104","True","string"
"565","097f04aa-2c12-4a65-8b4d-b5159851f85b","Laboratory Test Result","Laboratory Test Result","True","[]","BiomedicalConceptProperty_105","True","decimal"
"566","f630613d-8dce-4d27-a08c-32a0fd6d6464","Laboratory Test Fasting Status","Laboratory Test Fasting Status","True","[]","BiomedicalConceptProperty_106","True","boolean"
"567","1f6c3816-e28c-49b1-a480-2aeea0ad5678","Unit of Catalytic Activity Concentration","Unit of Catalytic Activity Concentration","True","[]","BiomedicalConceptProperty_107","True","string"
