"id:ID","uuid","timingWindowLower","name","timingValue","timingWindow","description","timingWindowUpper","label","id"
"766","ca83f778-a841-4213-8dcc-db65e9062cdc","","TIM1","P2W","","Screening timing","","Screening","Timing_1"
"767","f7d58ecd-742c-47cc-b9a0-45a77b56809c","PT4H","TIM2","P2D","-4..0 hours","Pre dose timing","PT0H","Pre dose","Timing_2"
"768","a252c277-f194-4021-9a37-55fe82dfc93d","","TIM3","P1D","","Dosing anchor","","Dosing","Timing_3"
"769","fdbb3a81-1a3a-49c9-b7c8-6deb2ebdf0c4","P3D","TIM4","P2W","-3..3 days","Week 2 timing","P3D","Week 2","Timing_4"
"770","7c7e9909-3b50-4f60-99f8-8281566b8402","P3D","TIM5","P4W","-3..3 days","Week 4 timing","P3D","Week 4","Timing_5"
"771","01c4186d-4010-4b09-bd9f-6afac9326e1b","P3D","TIM6","P6W","-3..3 days","Week 6 timing","P3D","Week 6","Timing_6"
"772","b871434c-853c-4de3-9acf-04e9277ccfbf","P3D","TIM7","P8W","-3..3 days","Week 8 timing","P3D","Week 8","Timing_7"
"773","fee5879f-ba99-4acb-8ed4-06224cd3b4fb","","TIM8","P2W","","Week 8 at home timing","","Week 8 Home","Timing_8"
"774","bf86df7c-98d3-4eeb-aabb-979b47221f58","P4D","TIM9","P12W","-4..4 days","Week 12 timing","P4D","Week 12","Timing_9"
"775","64db3748-ba8c-4a53-bf46-61c96ac2a7bf","","TIM10","P2W","","Week 12 at home timing","","Week 12 Home","Timing_10"
"776","c8c4c63e-cccd-419a-9e26-50ee9299a45b","P4D","TIM11","P16W","-4..4 days","Week 16 timing","P4D","Week 16","Timing_11"
"777","69b9fde3-b5db-4cef-a87e-8840a249a502","","TIM12","P2W","","Week 16 at home timing","","Week 16 Home","Timing_12"
"778","ab148c76-c206-4495-8cfe-b1949071624b","P4D","TIM13","P20W","-4..4 days","Week 20 timing","P4D","Week 20","Timing_13"
"779","4b2e99f3-0d2f-4e25-aa6e-03bacde82740","","TIM14","P2W","","Week 20 at home timing","","Week 20 Home","Timing_14"
"780","270fc0e3-5726-4dea-bab1-ad049710d855","P4D","TIM15","P24W","-4..4 days","Week 24 timing","P4D","Week 24","Timing_15"
"781","2603266b-ac12-49ca-8907-94745806601f","P3D","TIM16","P26W","-3..3 days","Week 26 timing","P3D","Week 26","Timing_16"
"782","8a0752c2-1e84-4ebe-8711-8112dc7b360e","","TIM17","P1D","","Adverse Event","","Adverse Event","Timing_17"
"783","6c8081a1-d2d8-42d8-b5d6-442bd1a3c8a2","","TIM18","P1D","","Early Termination","","Early Termination","Timing_18"
"784","43ce007b-7bce-42a6-bbb6-fa83d99a6f45","","TIM19","PT0M","","BP Anchor","","BP Anchor","Timing_19"
"785","edf47e7d-a9dc-4f76-9378-f0d968e85507","","TIM20","PT5M","","BP while Supine","","BP while Supine","Timing_20"
"786","c2a63813-1e6a-4c6a-8f75-ab1dc6f2df36","PT2M","TIM21","PT3M","-2..0 mins","BP Stand Up","PT0M","BP Stand Up","Timing_21"
"787","e3bb3694-4b9b-4d68-8430-e4c8d47d8fe9","","TIM22","PT0M","","BP while standing","","BP while standing","Timing_22"
