"id:ID","uuid","code","codeSystem","codeSystemVersion","id","decode"
"1","b7f6de3d-4bce-4973-917e-1ca861547b28","C98388","http://www.cdisc.org","2023-09-29","Code_1","Interventional Study"
"2","8dbd5b5d-9305-4d07-95f7-a6c30be46df8","C15601","http://www.cdisc.org","2023-09-29","Code_2","Phase II Trial"
"3","0259f817-cf7a-4f53-a858-995d8b3668e4","C132352","http://www.cdisc.org","2023-09-29","Code_5","Sponsor Approval Date"
"4","5fc5907f-bba5-4cc9-8d77-a34cda6ba3ad","C68846","http://www.cdisc.org","2023-09-29","Code_6","Global"
"5","a88dc7e0-d30c-4f41-9839-adab97a9982b","C99904x3","http://www.cdisc.org","2023-09-29","Code_54","IRB/IEC Feedback"
"6","080c5527-40ea-4855-b882-0924860282fc","C17649","http://www.cdisc.org","2023-09-29","Code_55","Other"
"7","9c83f6e9-c4e4-481e-973f-c838b09038f3","C41129","http://www.cdisc.org","2023-09-29","Code_57","Region"
"8","5efc45c6-88f3-40ea-9437-287b6864ea68","150","ISO 3166 1 alpha3","2020-08","Code_56","Europe"
"9","50642c14-8e4a-4d59-9572-c13f8832de96","C25464","http://www.cdisc.org","2023-09-29","Code_59","Country"
"10","eba81337-1ace-4680-9115-438a2fadfec2","DNK","ISO 3166 1 alpha3","2020-08","Code_58","Denmark"
"11","81b458d5-f8fc-42b0-94ac-469bb17691b0","PHARMA","SPONSOR","12","Code_3","Eli Lilly"
"12","cb6ec8a3-c578-4b67-b124-57fc9261007c","C70793","http://www.cdisc.org","2023-09-29","Code_60","Clinical Study Sponsor"
"13","11709d13-abfc-49a3-a29e-57371cf8e36f","USA","ISO 3166 1 alpha3","2020-08","Code_61","United States of America"
"14","3f0a78ff-3dc4-4943-bd05-06ba740e0f61","C93453","http://www.cdisc.org","2023-09-29","Code_62","Study Registry"
"15","f9cbfe0c-1e5b-438b-82a3-019bd00f3387","C49656","http://www.cdisc.org","2023-09-29","Code_120","Treatment Study"
"16","d915a3e0-2b1c-4b49-931f-57f27911242f","C49666","http://www.cdisc.org","2023-09-29","Code_121","Efficacy Study"
"17","25671c44-5add-40c8-a53f-a711d1845a38","C49667","http://www.cdisc.org","2023-09-29","Code_122","Safety Study"
"18","560e58f9-5851-4c0e-b19f-b144fee15926","C49663","http://www.cdisc.org","2023-09-29","Code_123","Pharmacokinetic Study"
"19","8a5583ec-ce89-4179-8072-d8bfc798eb4a","MILD_MOD_ALZ","SPONSOR","12","Code_117","Mild to Moderate Alzheimer\'s Disease"
"20","da8bd95b-b5dd-48b7-85c9-9eeff5552ce2","26929004","SNOMED","January 31, 2018","Code_118","Alzheimer\'s disease"
"21","e490a5cc-3598-4fa5-b82b-a068b27bc4c5","C82639","http://www.cdisc.org","2023-09-29","Code_124","Parallel Study"
"22","fa561906-79d5-4647-bef0-8ec3ca2c2ec0","C25716","http://www.cdisc.org","2023-09-29","Code_66","Visit"
"23","c7451643-fed3-4153-9352-da61b51d0c85","C51282","http://www.cdisc.org","2023-09-29","Code_67","Clinic"
"24","d1933b4a-0bd6-47ea-a2da-5104f0ea0965","C175574","http://www.cdisc.org","2023-09-29","Code_68","In Person"
"25","f2ff931b-28c3-40f7-842d-5cd6aa0b36ad","C25716","http://www.cdisc.org","2023-09-29","Code_69","Visit"
"26","2064b1d0-ef98-4d64-98ec-3fb6e75fe6f7","C51282","http://www.cdisc.org","2023-09-29","Code_70","Clinic"
"27","89d4b933-272c-47bb-8f6c-aa804356f241","C175574","http://www.cdisc.org","2023-09-29","Code_71","In Person"
