"id:ID","uuid","name","label","id","bcReference","bcSynonyms"
"690","d8dd0d15-e0bb-48c4-82a8-e88f37ca0c5f","Body Temperature","Body Temperature","BiomedicalConcept_18","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']"
"691","9d268090-b304-4140-a55d-fec5909384ce","Body Weight","Body Weight","BiomedicalConcept_19","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']"
"692","333376a4-d5da-4eff-aedb-3a021aee241d","Body Height","Body Height","BiomedicalConcept_20","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']"
"693","9423e157-31b4-4281-9f4d-294471f4ce68","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept_21","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']"
"694","6068b879-dbd4-4390-b9cc-3cfef5a059b6","Albumin Measurement","Albumin Measurement","BiomedicalConcept_22","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']"
"695","5bb59fd2-b4cb-4114-95a8-bf473954e9c5","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept_23","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']"
"696","6e6e8f31-5991-46cd-a9d1-ce7120e73d2b","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept_24","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']"
"697","7ae536b2-b59c-4b77-b255-294d1ab45e54","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept_25","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']"
"698","499848e4-0905-4d2a-9e04-c1b87ec3957e","Potassium Measurement","Potassium Measurement","BiomedicalConcept_26","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']"
"699","bac55492-fa56-432b-8b75-a1234b698b7c","Sodium Measurement","Sodium Measurement","BiomedicalConcept_27","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']"
"700","b7abb44e-6cc0-4b08-ba78-599a03ba394c","Adverse Event","Adverse Event","BiomedicalConcept_1","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C41331","['Adverse Event Reported Term', 'AETERM']"
"701","dac17bb0-7cbd-42e6-a306-e965932478fc","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_2","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']"
"702","1d1a4adf-2632-4ebf-ad95-ce5cdc44a57a","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_3","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']"
"703","bb4f3507-40a6-4eb8-b27c-048b76a13d3a","Body Temperature","Body Temperature","BiomedicalConcept_4","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C174446","['Temperature']"
"704","e9bb2a4f-dced-44a9-a44c-d80afe6317ee","Body Weight","Body Weight","BiomedicalConcept_5","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C81328","['Weight']"
"705","59a2ab87-4d2f-4539-8f3c-8f3729a11bd3","Body Height","Body Height","BiomedicalConcept_6","/mdr/bc/packages/2022-10-26/biomedicalconcepts/C164634","['Height']"
"706","a9d0f6f7-12cc-456c-bf66-9c4dfbd3c1e6","Alanine Aminotransferase Measurement","Alanine Aminotransferase Measurement","BiomedicalConcept_7","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64433","['ALT', 'SGPT']"
"707","1c6d27d1-27f2-484c-919d-0fe20ee2580f","Albumin Measurement","Albumin Measurement","BiomedicalConcept_8","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64431","['Albumin']"
"708","5449106a-75d0-4c80-907a-ddf18a7a53fc","Alkaline Phosphatase Measurement","Alkaline Phosphatase Measurement","BiomedicalConcept_9","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64432","['Alkaline Phosphatase']"
"709","4a8151e6-1835-41a6-900b-2daf5c8a6512","Aspartate Aminotransferase Measurement","Aspartate Aminotransferase Measurement","BiomedicalConcept_10","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64467","['AST', 'SGOT']"
"710","39a95b71-fc2f-4025-9cf8-7d574c87d99a","Creatinine Measurement","Creatinine Measurement","BiomedicalConcept_11","/mdr/bc/packages/2023-10-03/biomedicalconcepts/C64547","['Creatinine']"
"711","8a3a5bed-2978-4bd7-adcd-74c70ac55eba","Potassium Measurement","Potassium Measurement","BiomedicalConcept_12","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64853","['Potassium', 'K']"
"712","ddf87d0a-33eb-4530-8cbe-ce8d3958b1b3","Sodium Measurement","Sodium Measurement","BiomedicalConcept_13","/mdr/bc/packages/2023-02-13/biomedicalconcepts/C64809","['Sodium', 'NA']"
"713","c05d4610-7ccb-4475-ba9b-261d071c43bf","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_14","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']"
"714","680c48a5-2223-4cca-9e9e-fdb7584dfd39","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_15","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']"
"715","231d7ad5-c5fd-4626-acef-1ac5cb0adb08","Systolic Blood Pressure","Systolic Blood Pressure","BiomedicalConcept_16","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25298","['SYSBP']"
"716","9284ffec-c17d-4316-a6d3-c64d87b5f57f","Diastolic Blood Pressure","Diastolic Blood Pressure","BiomedicalConcept_17","/mdr/bc/packages/2023-07-06/biomedicalconcepts/C25299","['DIABP']"
