"text","uuid:ID","name","id","description","label"
"Subject identified","94cfe16a-38f4-4dc5-851a-514431f4a828","ENCOUNTER_START_RULE_1","TransitionRule_1","",""
"IEs passed","51713639-37f8-47ca-ae19-cbf819d49d77","ENCOUNTER_START_RULE_1","TransitionRule_2","",""
"Radomized","bf2cd79c-740b-4d84-ae95-adf4e44bc2ac","ENCOUNTER_START_RULE_3","TransitionRule_3","",""
"Study Start","8a74b80f-fc51-4ace-9c49-0d44c8974916","ELEMENT_START_RULE_1","TransitionRule_4","",""
"Screened","05d87bae-7bab-45b5-bafe-86f95039e0c7","ELEMENT_END_RULE_1","TransitionRule_5","",""
"Screened","5c1d632f-8a9b-4c47-8cd1-adf6fb7a5ed3","ELEMENT_START_RULE_2","TransitionRule_6","",""
"Radomized","e75e4ad5-72ea-4f64-bdca-9b774cf87a04","ELEMENT_END_RULE_2","TransitionRule_7","",""
"Radomized","7418f55d-5cbf-433f-9ea9-d3fa5927e0fb","ELEMENT_START_RULE_3","TransitionRule_8","",""
"Completed treatment 1","feed5f80-c791-4982-bcdf-66ea3aa7b4e7","ELEMENT_END_RULE_3","TransitionRule_9","",""
"Radomized","b307e3cd-7b25-4e3b-899d-27c906a93dfd","ELEMENT_START_RULE_5","TransitionRule_12","",""
"Completed treatment 2","cf95ae7a-5790-4d99-b2b5-48db3ff46739","ELEMENT_END_RULE_5","TransitionRule_13","",""
"Treated","02eac98d-e92b-4eb5-b220-3f116b35fbba","ELEMENT_START_RULE_4","TransitionRule_10","",""
"Leave Study","c652064a-9cf2-44e7-9649-45e1ac842ac1","ELEMENT_END_RULE_4","TransitionRule_11","",""
