"text","uuid:ID","name","id","sectionTitle","sectionNumber"
"","f2d0faff-67f3-420d-93b9-145251ad9c93","ROOT","NarrativeContent_1","Root","0"
"<div><usdm:ref klass=""StudyIdentifier"" id=""StudyIdentifier_1"" attribute=""studyIdentifier""/></div>","a7df3bb1-95bc-4e9c-89a0-a1ee9d3e0601","SECTION 1","NarrativeContent_2","PROTOCOL SUMMARY","1"
"<div></div>","701a5566-0a59-4d09-aa2d-a3c7b33ab938","SECTION 1.1","NarrativeContent_3","Protocol Synopsis","1.1"
"<div></div>","4fec9241-5652-4a8f-adda-0764676588ac","SECTION 1.2","NarrativeContent_4","Trial Schema","1.2"
"<div></div>","eb0cca1b-0851-4a24-9f05-ea26df9b8094","SECTION 1.3","NarrativeContent_5","Schedule of Activities","1.3"
"<div></div>","c0643a24-5df1-4351-a2d9-f695b929f4c4","SECTION 2","NarrativeContent_6","INTRODUCTION","2"
"<div></div>","d3cba7a0-3cb4-4447-a1dc-58c7f9316670","SECTION 2.1","NarrativeContent_7","Purpose of Trial","2.1"
"<div></div>","5f2727aa-f30b-4557-909b-cca4cae9bb6a","SECTION 2.2","NarrativeContent_8","Summary of Benefits and Risks","2.2"
"<div></div>","05cb8667-46c5-4a71-ace7-21c25e658f4a","SECTION 3","NarrativeContent_9","TRIAL OBJECTIVES, ENDPOINTS AND ESTIMANDS","3"
"<div><table>
  <tr>
    <th style=""vertical-align: top"">Primary Objective</th>
    <th style=""vertical-align: top"">Primary Endpoint</th>
  </tr>
  <tr>
    <td style=""vertical-align: top""><usdm:ref klass=""Objective"" namexref=""OBJ1"" attribute=""description""/></td>
    <td style=""vertical-align: top""><usdm:ref klass=""Endpoint"" id=""Endpoint_1"" attribute=""description""/></td>
  </tr>
</table></div>","38a5fa8c-6c63-4e0f-ae48-c10d3473729c","SECTION 3.1","NarrativeContent_10","Primary Objectives","3.1"
"<div></div>","76ca32f4-a13e-4632-91fe-edc3bd66fbec","SECTION 4","NarrativeContent_11","TRIAL DESIGN","4"
"<div></div>","9e266cff-ed1c-4cbf-9a18-6a063c886219","SECTION 4.1","NarrativeContent_12","Description of Trial Design","4.1"
"<div></div>","61e7cb04-f95c-464f-99b8-7476fb692322","SECTION 4.1.1","NarrativeContent_13","Participant Input into Design","4.1.1"
"<div></div>","b999a1f7-3330-419c-afd0-c7d04cb3b2bb","SECTION 4.2","NarrativeContent_14","Rationale for Trial Design","4.2"
"<div></div>","d8a67d2d-740d-4726-af4e-c24063596a25","SECTION 4.2.1","NarrativeContent_15","Rationale for Comparator","4.2.1"
"<div></div>","691773ab-9cbe-448e-98cd-f65012c74001","SECTION 4.2.2","NarrativeContent_16","Rationale for Adaptive or Novel Trial Design","4.2.2"
"<div></div>","807e61d3-061c-4172-a41f-2afa6879cd76","SECTION 4.2.3","NarrativeContent_17","Other Trial Design Considerations","4.2.3"
"<div></div>","1a7c902c-c287-4eac-aa0c-70fda2718aa2","SECTION 4.3","NarrativeContent_18","Access to Trial Intervention After End of Trial","4.3"
"<div></div>","2873daab-859a-48a0-84bd-34bee5dbc433","SECTION 4.4","NarrativeContent_19","Start of Trial and End of Trial","4.4"
"<div></div>","6985cd50-a7a6-4edd-884d-4cedfcb253d3","SECTION 5","NarrativeContent_20","TRIAL POPULATION","5"
"<div></div>","02fd53fb-a51e-4a77-a85c-62ceb3874086","SECTION 5.1","NarrativeContent_21","Selection of Trial Population","5.1"
