"text","uuid:ID","name","id","description","instanceType","label","purpose"
"Clinical status assessed using a 7-category ordinal scale at Day 28","45125f48-f934-4234-9e9b-c2dbb90490a3","END1","Endpoint_1","","ENDPOINT","",""
"Time to clinical improvement (TTCI) defined as a National Early Warning Score 2 (NEWS2) of <=2 maintained for 24 hours","ed166b2b-b895-4b31-9c79-aec2c9f2a64e","END2","Endpoint_2","","ENDPOINT","",""
"Time to improvement of at least 2 categories relative to baseline on a 7-category ordinal scale of clinical status","6969935a-28a8-4a1b-9014-7f469d6eb7a2","END3","Endpoint_3","","ENDPOINT","",""
"Incidence of mechanical ventilation","8a05dc90-1735-4e74-8ce9-c0d24ce92ec5","END4","Endpoint_4","","ENDPOINT","",""
"Ventilator-free days to Day 28","1491de2a-b6fe-466b-94d9-b4867c432155","END5","Endpoint_5","","ENDPOINT","",""
"Incidence of intensive care unit (ICU) stay","c1a57f79-1c98-46a7-ba6b-ea1ca6215a1c","END6","Endpoint_6","","ENDPOINT","",""
"Duration of ICU stay","b8b0fb93-f6cf-40bc-bb15-26ce81fe0d3b","END7","Endpoint_7","","ENDPOINT","",""
"Time to clinical failure, defined as the time to death, mechanical ventilation, ICU admission, or withdrawal (whichever occurs first). For patients entering the study already in ICU or on mechanical ventilation, clinical failure is defined as a one-category worsening on the ordinal scale, withdrawal or death.","98297c80-dd7a-4194-8481-1f0595331cdc","END8","Endpoint_8","","ENDPOINT","",""
"Mortality rate at Days 7, 14, 21, 28, and 60","9ddc6ed6-e760-4eb8-b1d9-c845ede79f23","END9","Endpoint_9","","ENDPOINT","",""
"Time to hospital discharge or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen)","082fba8f-4673-4a91-8397-f5384315909b","END10","Endpoint_10","","ENDPOINT","",""
"Time to recovery, defined as discharged or “ready for discharge” (as evidenced by normal body temperature and respiratory rate, and stable oxygen saturation on ambient air or <= 2L supplemental oxygen); OR, in a non-ICU hospital ward (or “ready for hospital ward”) not requiring supplemental oxygen","8a222d26-7f10-41c1-844b-e10a15a8e2eb","END11","Endpoint_11","","ENDPOINT","",""
"Duration of supplemental oxygen","189639a6-3f3d-43a8-95aa-9e7333f48a0d","END12","Endpoint_12","","ENDPOINT","",""
