"description","label","uuid:ID","name","instanceType","id"
"","Informed consent","bda55028-d237-423d-a9bc-e50777801bcf","Informed consent","Activity","Activity_1"
"","Inclusion and exclusion criteria","ad478ddd-fa73-438f-851c-252976041839","Inclusion/exclusion criteria","Activity","Activity_2"
"","Patient number assigned","464d24d8-e5a5-45ba-9209-cd327bd2712a","Patient number assigned","Activity","Activity_3"
"","Demographics","b5a1472c-8a59-451a-8659-e96cdcdd9ce4","Demographics","Activity","Activity_4"
"","Hachinski Ischemic Scale","4e11c211-dcc8-4129-9a3c-cfd2746757a6","Hachinski","Activity","Activity_5"
"","MMSE","d100ab28-0c8e-483b-8af2-47ecf32a1a58","MMSE","Activity","Activity_6"
"","Physical examination","5a0fc190-e962-401e-b3ff-6c649d946caf","Physical examination","Activity","Activity_7"
"","Medical history","ef9e9612-1884-47e8-b023-c3bedc93d568","Medical history","Activity","Activity_8"
"","Habits","ce6257b1-4c14-4c12-bd63-3ca9f911b068","Habits","Activity","Activity_9"
"","Chest X-ray","0553da7c-1ff5-434c-b83e-16e677fa4676","Chest X-ray","Activity","Activity_10"
"","Apo E genotyping","998ef9bb-c954-40a2-8d22-34a6e743a238","Apo E genotyping","Activity","Activity_11"
"","Patient randomised","cad78fd9-2145-4cb5-985a-cc4b59b2d680","Patient randomised","Activity","Activity_12"
"","Vital Signs and Temperature","cf25b81b-4711-42ab-b422-86e90f80a62f","Vital signs / Temperature","Activity","Activity_13"
"","Ambulatory ECG placed","92801852-ce41-44a1-ab52-d3a5cacb3470","Ambulatory ECG placed","Activity","Activity_14"
"","Ambulatory ECG removed","84bc5f1c-2fe9-4d87-9f47-827dfcdacf51","Ambulatory ECG removed","Activity","Activity_15"
"","ECG","73f1db7d-4864-4058-80ad-72f81c5d08f5","ECG","Activity","Activity_16"
"","Placebo TTS test","6c4f0023-3e09-4a20-b3cd-a0c2874ae9aa","Placebo TTS test","Activity","Activity_17"
"","CT scan","403f292d-2c95-4879-9929-8b75887d642e","CT scan","Activity","Activity_18"
"","Concomitant medications","b1afe8dc-e6c2-44ae-9806-bbf84564a8bd","Concomitant medications","Activity","Activity_19"
"","Hematology","98ecd66e-ed90-4708-a65d-5a9f015f261d","Hematology","Activity","Activity_20"
"","Chemistry","c12083e0-ae80-4ec7-b6f8-72cccbf69fac","Chemistry","Activity","Activity_21"
"","Uninalysis","05eda69d-f76d-4fd6-a6f6-4db412352656","Uninalysis","Activity","Activity_22"
"","Plasma Specimen (Xanomeline)","99ad7d8e-37a2-4a41-95e1-3f7a41d2427f","Plasma Specimen (Xanomeline)","Activity","Activity_23"
"","Hemoglobin A1C","dee48805-e23f-4ff0-b00c-512e6e326a58","Hemoglobin A1C","Activity","Activity_24"
"","Study drug record , Medications dispensed, Medications returned","bbe67b0b-1898-489a-b74c-af21dd09c1be","Study drug","Activity","Activity_25"
"","TTS Acceptability Survey","ef657cd6-171b-4f04-a25d-da1ca8553b0f","TTS Acceptability Survey","Activity","Activity_26"
"","ADAS-Cog","5e60dbba-c203-419a-8092-98477acb78ec","ADAS-Cog","Activity","Activity_27"
"","CIBIC+","a380a2e3-3083-4c19-ab6c-6f0518e21b91","CIBIC+","Activity","Activity_28"
"","DAD","7e4baaa8-969c-482b-8379-3e4b97e56c5a","DAD","Activity","Activity_29"
"","NPI-X","acb6db2a-f8ba-4801-bc8f-391ffcd7ce4e","NPI-X","Activity","Activity_30"
"","Adverse events","37a2b085-77d2-4595-8447-9a1718586bcf","Adverse events","Activity","Activity_31"
"","Check adverse events","47a72839-2d91-4476-b625-c26da939abc8","Check adverse events","Activity","Activity_32"
"","Subject supine","931fdc9c-c7e5-477a-b223-6644e878bbed","Supine","Activity","Activity_33"
"","Vital signs while supine","86c314a7-f3b1-47bc-b642-60948c79ee87","Vital Signs Supine","Activity","Activity_34"
"","Subject Standing","d6354cf9-a8b9-4799-b8c1-02333a446b1f","Stand","Activity","Activity_35"
"","Vital signs while standing","91cdfe41-0761-4e70-a58e-fb7f81be587a","Vital Signs Standing","Activity","Activity_36"
