"label","uuid:ID","isEnabled","isRequired","name","instanceType","datatype","id"
"Sex","2f690300-17c9-4968-b1c9-8199c6f846da","True","True","Sex","BiomedicalConceptProperty","string","BiomedicalConceptProperty_116"
"Race","487f4be0-46fc-4a7d-b3fe-1f177d2e77e6","True","True","Race","BiomedicalConceptProperty","string","BiomedicalConceptProperty_117"
"VSTESTCD","cee0c86a-85a1-46cf-ab61-b36194057730","True","True","VSTESTCD","BiomedicalConceptProperty","","BiomedicalConceptProperty_118"
"VSORRES","eaa78f59-1d80-4c82-bae1-4d25ad810f59","True","True","VSORRES","BiomedicalConceptProperty","float","BiomedicalConceptProperty_119"
"VSORRESU","8f46f168-2eba-42d3-b690-ad50ee0b62e8","True","True","VSORRESU","BiomedicalConceptProperty","","BiomedicalConceptProperty_120"
"VSLOC","f8926816-0844-4df7-bac9-de8483ab7eb0","True","True","VSLOC","BiomedicalConceptProperty","","BiomedicalConceptProperty_121"
"VSTESTCD","a4a91538-8e6f-4c2d-b948-f25e4b91c4e2","True","True","VSTESTCD","BiomedicalConceptProperty","","BiomedicalConceptProperty_122"
"VSORRES","0f907536-bbb0-4451-a7c8-a63fda2daef2","True","True","VSORRES","BiomedicalConceptProperty","float","BiomedicalConceptProperty_123"
"VSORRESU","d373e2e8-cc9c-4c30-860b-21a918529088","True","True","VSORRESU","BiomedicalConceptProperty","","BiomedicalConceptProperty_124"
"VSTESTCD","43a2cefd-b48b-469a-ade3-31c62bf65200","True","True","VSTESTCD","BiomedicalConceptProperty","","BiomedicalConceptProperty_125"
"VSORRES","b54331be-d19e-4662-98f2-ee9f9959c4eb","True","True","VSORRES","BiomedicalConceptProperty","float","BiomedicalConceptProperty_126"
"VSORRESU","281090d3-ce98-4106-9777-f7966de3f12c","True","True","VSORRESU","BiomedicalConceptProperty","","BiomedicalConceptProperty_127"
"LBTESTCD","e29b92c8-1c99-4ea0-aa85-27ac74fea10e","True","True","LBTESTCD","BiomedicalConceptProperty","","BiomedicalConceptProperty_128"
"LBORRES","4aa36744-47d8-44c9-a73b-20d680bda11c","True","True","LBORRES","BiomedicalConceptProperty","float","BiomedicalConceptProperty_129"
"LBORRESU","b9be7a32-e5c0-48bc-9758-29ed98833ba8","True","True","LBORRESU","BiomedicalConceptProperty","","BiomedicalConceptProperty_130"
"LBSPEC","2769293e-957a-408f-bb4d-3d99b34ecefc","True","True","LBSPEC","BiomedicalConceptProperty","","BiomedicalConceptProperty_131"
"LBFAST","e5c06371-e488-44c1-9078-fb61f1b30585","True","True","LBFAST","BiomedicalConceptProperty","","BiomedicalConceptProperty_132"
"LBTESTCD","1ff683d7-a9cd-4eef-952d-2088e2e409ff","True","True","LBTESTCD","BiomedicalConceptProperty","","BiomedicalConceptProperty_133"
"LBORRES","190bf0dc-71cb-4eac-adfa-10bc9338848e","True","True","LBORRES","BiomedicalConceptProperty","text","BiomedicalConceptProperty_134"
"LBSPEC","75144456-f10c-4ff9-ada3-d5aa699f3884","True","True","LBSPEC","BiomedicalConceptProperty","","BiomedicalConceptProperty_135"
"LBFAST","643eb2e6-3505-485b-92be-10e1a3e38750","True","True","LBFAST","BiomedicalConceptProperty","","BiomedicalConceptProperty_136"
