"description","label","uuid:ID","name","instanceType","id"
"Screening encounter","Screening 1","73cf549c-f4ae-4b0a-ab96-04cd9b753d8a","E1","Encounter","Encounter_1"
"Screening encounter - Ambulatory ECG Placement","Screening 2","c6a3cbf9-dd56-4437-94ea-9072a5d32603","E2","Encounter","Encounter_2"
"Baseline encounter - Ambulatory ECG Removal","Baseline","76824bbd-ed11-44c5-8aea-6d104ac6d635","E3","Encounter","Encounter_3"
"Day 14","Week 2","2653dab3-d0b1-400b-9fc2-d63d9668f48d","E4","Encounter","Encounter_4"
"Day 28","Week 4","c4e68a69-8271-48c4-acc8-3d85e4c06a8a","E5","Encounter","Encounter_5"
"Day 42","Week 6","8da57cf4-dc97-405f-8d0c-c5950733b7df","E7","Encounter","Encounter_6"
"Day 56","Week 8","28b2838a-6584-46af-9628-6e5588df1de5","E8","Encounter","Encounter_7"
"Day 84","Week 12","abb09ca6-17d1-4bd1-aa3f-f3fad8406eb3","E9","Encounter","Encounter_8"
"Day 112","Week 16","1467258b-3a54-4d13-858c-78521e133a7b","E10","Encounter","Encounter_9"
"Day 140","Week 20","31ed1a61-bcc0-482c-8bf3-e25959e4fc35","E11","Encounter","Encounter_10"
"Day 168","Week 24","c210cf74-8462-45cb-ac46-fceaac970232","E12","Encounter","Encounter_11"
"Day 182","Week 26","d37391ee-1d45-4afe-b84a-0c3403bee7ce","E13","Encounter","Encounter_12"
