"description","valueLabel","value","label","windowLower","uuid:ID","windowLabel","name","windowUpper","instanceType","id"
"Screening timing","2 weeks","P2W","Screening","","04f92c2b-01fe-4ab2-b752-c8d7e057a86e","","TIM1","","Timing","Timing_1"
"Pre dose timing","2 days","P2D","Pre dose","PT4H","8cf56e10-202c-45c0-8d3d-0c125ce48280","-4..0 hours","TIM2","PT0H","Timing","Timing_2"
"Dosing anchor","1 Day","P1D","Dosing","","4b2d3c4e-1ccc-4872-8c8d-9876dab114d1","","TIM3","","Timing","Timing_3"
"Week 2 timing","2 Weeks","P2W","Week 2","P3D","b4e703a3-1dad-437d-909f-61b99345944f","-3..3 days","TIM4","P3D","Timing","Timing_4"
"Week 4 timing","4 Weeks","P4W","Week 4","P3D","f70e9373-d35d-405b-8e8a-25aa4369718f","-3..3 days","TIM5","P3D","Timing","Timing_5"
"Week 6 timing","6 Weeks","P6W","Week 6","P3D","8bb3ed12-ba28-4a48-8992-338fc884c1df","-3..3 days","TIM6","P3D","Timing","Timing_6"
"Week 8 timing","8 Weeks","P8W","Week 8","P3D","55c7f085-41d5-44c7-8f7e-14f30b21f133","-3..3 days","TIM7","P3D","Timing","Timing_7"
"Week 12 timing","12 Weeks","P12W","Week 12","P4D","12dd3a3b-ad50-4826-8eab-82bfabde093a","-4..4 days","TIM9","P4D","Timing","Timing_9"
"Week 16 timing","16 Weeks","P16W","Week 16","P4D","d23d4fee-2e9b-4a97-926c-2e48282be02b","-4..4 days","TIM11","P4D","Timing","Timing_11"
"Week 20 timing","20 Weeks","P20W","Week 20","P4D","b888bb22-5b54-4841-b13e-3a4f722c0407","-4..4 days","TIM13","P4D","Timing","Timing_13"
"Week 24 timing","24 Weeks","P24W","Week 24","P4D","3d4831eb-a80a-4014-a7b1-e1be802be057","-4..4 days","TIM15","P4D","Timing","Timing_15"
"Week 26 timing","26 Weeks","P26W","Week 26","P3D","9970a230-5fdc-4bb3-8ab8-9d542a2dbfc5","-3..3 days","TIM16","P3D","Timing","Timing_16"
"Week 8 at home timing","2 Weeks","P2W","Week 8 Home","","de739672-217f-43a7-a074-0d21e4aec861","","TIM8","","Timing","Timing_8"
"Week 12 at home timing","2 Weeks","P2W","Week 12 Home","","69627c59-e8d7-4685-b3a3-c2e4f8630146","","TIM10","","Timing","Timing_10"
"Week 16 at home timing","2 Weeks","P2W","Week 16 Home","","e3440ec2-cdca-4180-80fa-438ece9846b7","","TIM12","","Timing","Timing_12"
"Week 20 at home timing","2 Weeks","P2W","Week 20 Home","","0d189a9d-9db2-4fd8-bd88-9cc9f365e5e1","","TIM14","","Timing","Timing_14"
"Adverse Event","1 Day","P1D","Adverse Event","","1ab96702-1841-472e-a8bc-8dfdcc200ef0","","TIM17","","Timing","Timing_17"
"Early Termination","1 Day","P1D","Early Termination","","6585a11c-7e87-4209-9574-3da11054e9de","","TIM18","","Timing","Timing_18"
"Supine","0 mins","PT0M","Supine","","d31ee3d2-ad90-4e37-936e-e3881e18deb5","","TIM19","","Timing","Timing_19"
"VS while supine","5 mins","PT5M","VS while supine","","765049a5-50a6-4121-800d-938a5978241a","","TIM20","","Timing","Timing_20"
"Standing","0 min","PT0M","Standing","","45cc2bc2-722d-47c9-b900-7e0f0af9611a","","TIM21","","Timing","Timing_21"
"VS while standing","1 min","PT1M","VS while standing","","557fd42c-e118-416e-b122-5b9f70ef1b27","","TIM22","","Timing","Timing_22"
"Standing","0 min","PT0M","Standing","","732b18a9-5f49-479f-80cc-f7dd7972b981","","TIM23","","Timing","Timing_23"
"VS while standing","2 min","PT2M","VS while standing","","7a6157f6-f2c7-4074-ad1d-56859b50e722","","TIM24","","Timing","Timing_24"
