"description","purpose","label","uuid:ID","name","text","instanceType","id"
"","","","7646764f-c36c-40f1-8094-164f8925d87d","END1","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Week 24","Endpoint","Endpoint_1"
"","","","badc707c-719c-482f-8e50-fa9afff6ffa6","END2","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Week 24","Endpoint","Endpoint_2"
"","","","60ab7041-2ce8-452d-a17d-c5a967db9c23","END3","Adverse events","Endpoint","Endpoint_3"
"","","","df03dfed-9c60-4da5-85cc-c2e0a31f36ee","END4","Vital signs (weight, standing and supine blood pressure, heart rate)","Endpoint","Endpoint_4"
"The change from baseline laboratory value will be  calculated as the difference between the baseline lab value and the endpoint value (i.e., the value at the specified visit) or the end of treatment observation","","","8543330a-5c1a-4c8d-8bc5-27d5430414c3","END5","Laboratory evaluations (Change from Baseline)","Endpoint","Endpoint_5"
"","","","4e87e335-77c6-414c-8965-fb45c38d0d84","END6","Alzheimer's Disease Assessment Scale - Cognitive Subscale, total of 11 items [ADAS-Cog (11)] at Weeks 8 and 16","Endpoint","Endpoint_6"
"","","","c8e6de07-66cf-4d3d-adae-5b0be57c5027","END7","Video-referenced Clinician’s Interview-based Impression of Change (CIBIC+) at Weeks 8 and 16","Endpoint","Endpoint_7"
"","","","04014045-5192-433a-aebc-303338020fd1","END8","Mean Revised Neuropsychiatric Inventory (NPI-X) from Week 4 to Week 24","Endpoint","Endpoint_8"
"","","","4bd17789-d3a5-444e-b63f-d9eaa2e494b2","END9","*** To be determined from protocol ***","Endpoint","Endpoint_9"
"","","","3f745b05-85ea-4a20-9572-3401717de553","END10","*** To be determined from protocol ***","Endpoint","Endpoint_10"
"","","","b246e7ff-5c89-40a4-adf3-cd8beb24a198","END11","*** To be determined from protocol ***","Endpoint","Endpoint_11"
