"label","uuid:ID","name","synonyms","reference","instanceType","id"
"Sex","ebb66377-be9c-4900-8a0a-ff99f95cf9cb","Sex","","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C28421","BiomedicalConcept","BiomedicalConcept_20"
"Race","1e290408-fe3e-4062-ab63-e1c6d099d4fa","Race","['Racial Group']","/mdr/bc/packages/2023-03-31/biomedicalconcepts/C17049","BiomedicalConcept","BiomedicalConcept_21"
"Temperature","1cea5cde-a9b4-4315-9ab9-8df7327eca13","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_22"
"Weight","cfe76a99-b00f-4d64-90e2-1ae6f66af1dc","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_23"
"Height","06243c51-d33e-4af9-afcb-30e34eb809af","Height","['Height', 'Body Height']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/HEIGHT","BiomedicalConcept","BiomedicalConcept_24"
"Alanine Aminotransferase Concentration in Serum/Plasma","4ca8e6e4-53ee-4efd-b86a-8db7b7d8c33a","Alanine Aminotransferase Concentration in Serum/Plasma","['ALT', 'SGPT', 'Alanine Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALTSERPL","BiomedicalConcept","BiomedicalConcept_25"
"Albumin Presence in Urine","f3353905-869f-44e2-a2e1-3f0bc0a28733","Albumin Presence in Urine","['Albumin', 'Albumin Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/ALBURINPRES","BiomedicalConcept","BiomedicalConcept_26"
"Alkaline Phosphatase Concentration in Serum/Plasma","e442ea65-787b-465b-92b4-eba08d31d15b","Alkaline Phosphatase Concentration in Serum/Plasma","['Alkaline Phosphatase', 'Alkaline Phosphatase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ALPSERPL","BiomedicalConcept","BiomedicalConcept_27"
"Aspartate Aminotransferase in Serum/Plasma","633401e5-229b-4010-b507-3114c8708e5d","Aspartate Aminotransferase in Serum/Plasma","['AST', 'SGOT', 'Aspartate Aminotransferase Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/ASTSERPL","BiomedicalConcept","BiomedicalConcept_28"
"Creatinine Concentration in Urine","c56c8b6d-6817-4213-967c-ee358d24c3a6","Creatinine Concentration in Urine","['Creatinine', 'Creatinine Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/CREATURIN","BiomedicalConcept","BiomedicalConcept_29"
"Potassium Concentration in Urine","0eaefde8-4896-406c-8b0b-c618d4b69f0c","Potassium Concentration in Urine","['Potassium', 'K', 'Potassium Measurement']","/mdr/specializations/sdtm/packages/2023-07-06/datasetspecializations/KURIN","BiomedicalConcept","BiomedicalConcept_30"
"Sodium Concentration in Urine","14b0bf19-2d4a-4822-9cab-54a121163c54","Sodium Concentration in Urine","['Sodium', 'NA', 'Sodium Measurement']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SODIUMURIN","BiomedicalConcept","BiomedicalConcept_31"
"Hemoglobin A1C Concentration in Blood","be5eeb5d-4ac5-4fbe-a9fe-2f5b53908325","Hemoglobin A1C Concentration in Blood","['Hemoglobin A1C', 'HBA1C', 'Glycosylated Hemoglobin A1C', 'Glycosylated Hemoglobin Measurement']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/HBA1CBLD","BiomedicalConcept","BiomedicalConcept_32"
"Adverse Event Prespecified","0a1576bb-7a5f-4448-9665-e060f0f4a03d","Adverse Event Prespecified","['Adverse Event', 'Solicited Adverse Event']","/mdr/specializations/sdtm/packages/2023-10-03/datasetspecializations/AEPRESP","BiomedicalConcept","BiomedicalConcept_1"
"Systolic Blood Pressure","e5246090-d1f6-4f92-bb94-f2e69b9502a2","Systolic Blood Pressure","['SYSBP', 'Systolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/SYSBP","BiomedicalConcept","BiomedicalConcept_2"
"Diastolic Blood Pressure","662396f3-6221-4ba4-93a9-ba7a6eecf716","Diastolic Blood Pressure","['DIABP', 'Diastolic Blood Pressure']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/DIABP","BiomedicalConcept","BiomedicalConcept_3"
"Temperature","5c298850-4558-43cc-afd3-eddde3093c57","Temperature","['Temperature', 'Body Temperature']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/TEMP","BiomedicalConcept","BiomedicalConcept_4"
"Weight","0dc26a69-b9c2-423d-9181-6f6210e36419","Weight","['Weight', 'Body Weight']","/mdr/specializations/sdtm/packages/2023-12-12/datasetspecializations/WEIGHT","BiomedicalConcept","BiomedicalConcept_5"
