"description","label","uuid:ID","name","instanceType","id"
"-","Screen One","88611875-62bb-41da-a299-a771247b9fa0","SCREEN1","ScheduledActivityInstance","ScheduledActivityInstance_9"
"-","Screen Two","9810a3b4-b0b3-4d38-941e-1fd67c9b0689","SCREEN2","ScheduledActivityInstance","ScheduledActivityInstance_10"
"-","Dose","49e35100-962a-474d-8975-c68e7546c08e","DOSE","ScheduledActivityInstance","ScheduledActivityInstance_11"
"-","Week 2","4adcc07f-aa57-4a81-be3a-ab1024553fee","WK2","ScheduledActivityInstance","ScheduledActivityInstance_12"
"-","Week 4","10b05200-77b2-40d3-9666-9112b199aee8","WK4","ScheduledActivityInstance","ScheduledActivityInstance_13"
"-","Week 6","3947d1d1-8c9c-4024-b1b8-889dee031d2e","WK6","ScheduledActivityInstance","ScheduledActivityInstance_14"
"-","Week 8","5979170e-93c9-4834-8eca-dce3cd06a067","WK8","ScheduledActivityInstance","ScheduledActivityInstance_15"
"-","Week NPI","1f15b333-9a79-4703-ac9e-d92effc0bb52","WK8N","ScheduledActivityInstance","ScheduledActivityInstance_16"
"-","Week 12","217d9f06-8970-481d-8b65-5e08d35b1026","WK12","ScheduledActivityInstance","ScheduledActivityInstance_17"
"-","Week 12 NPI","8663df0c-1b9d-47a1-8951-3894a5bafe24","WK12N","ScheduledActivityInstance","ScheduledActivityInstance_18"
"-","Week 16","abf12dd5-1568-4bdc-b9a6-b63327e70997","WK16","ScheduledActivityInstance","ScheduledActivityInstance_19"
"-","Week 16 NPI","26c7828d-9697-48fa-ae75-da304f8eaff2","WK16N","ScheduledActivityInstance","ScheduledActivityInstance_20"
"-","Week 20","9469b43c-7354-4630-a781-9a2ea602a533","WK20","ScheduledActivityInstance","ScheduledActivityInstance_21"
"-","Week 20 NPI","3d0c3445-c900-491a-9762-ca0593ed7947","WK20N","ScheduledActivityInstance","ScheduledActivityInstance_22"
"-","Week 24","cfe8fc21-b558-48ec-a5e5-3ddfc5e85059","WK24","ScheduledActivityInstance","ScheduledActivityInstance_23"
"-","Week 26","4fa25ab0-df29-4971-b8b1-a35dfb1207fc","WK26","ScheduledActivityInstance","ScheduledActivityInstance_24"
"-","Adevers Event","c89c5e72-b839-4391-84e4-ff83e19d7a10","AE","ScheduledActivityInstance","ScheduledActivityInstance_1"
"-","Early Termination","eb4ee33f-f742-4f06-bdba-36ee1d6e3883","ET","ScheduledActivityInstance","ScheduledActivityInstance_2"
"","5 minute supine","8dbc870e-334e-4b99-b6a9-0fd4df68a014","VS_5MIN","ScheduledActivityInstance","ScheduledActivityInstance_3"
"","Vital signs supine","0595b81a-d09f-4ca8-93fb-12024f06fadc","VS_SUPINE","ScheduledActivityInstance","ScheduledActivityInstance_4"
"","1 minute standing","4137b770-9d66-4af3-8d4a-981494f8d3c5","VS_1MIN","ScheduledActivityInstance","ScheduledActivityInstance_5"
"","Vital signs after 1 min standing","a0077192-8897-413d-b31f-58c44d63602d","VS_STAND1","ScheduledActivityInstance","ScheduledActivityInstance_6"
"","2 minute standing","531f284b-fdbe-430b-9a57-5d03fa12f527","VS_2MIN","ScheduledActivityInstance","ScheduledActivityInstance_7"
"","Vital signs after 3 min standing","cc4f808f-2ac6-4bb9-b748-8f25036b28ba","VS_STAND3","ScheduledActivityInstance","ScheduledActivityInstance_8"
