"uuid:ID","name","text","instanceType","id"
"becc5e4b-fd64-44e9-a9f5-72067a616e8d","ENCOUNTER_START_RULE_1","Subject identifier","TransitionRule","TransitionRule_1"
"34262ef7-c494-47b7-8f44-7affb67aff69","ENCOUNTER_START_RULE_1","completion of screening activities","TransitionRule","TransitionRule_2"
"24e0176a-d7c6-4569-a738-134fe8ab2399","ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","TransitionRule","TransitionRule_3"
"7d468597-4235-400e-99ca-97daabd56803","ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","TransitionRule","TransitionRule_4"
"c2677be5-45e2-4ce6-8822-9da8d6bb5e30","ENCOUNTER_START_RULE_3","Radomized","TransitionRule","TransitionRule_5"
"7e1e7493-08a7-4274-b5b6-21a5c80cb413","ENCOUNTER_START_RULE_12","End of treatment","TransitionRule","TransitionRule_6"
"af263956-b604-4145-87fa-975d5756b93f","ELEMENT_START_RULE_1","Informed consent","TransitionRule","TransitionRule_7"
"0fab4034-acc7-40dc-b23e-1f1ac8b5ecd3","ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","TransitionRule","TransitionRule_8"
"b98b8b47-a231-4aa4-80f7-48af0e127716","ELEMENT_START_RULE_2","Administration of first dose","TransitionRule","TransitionRule_9"
"a1ccb437-069b-4f7c-b78b-c19a00eba4f1","ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","TransitionRule","TransitionRule_14"
"95349269-c8eb-42dc-980a-2b11048fe7d5","ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","TransitionRule","TransitionRule_15"
"93d30601-8a60-4b11-acfa-a091c951529a","ELEMENT_START_RULE_3","Administration of first dose","TransitionRule","TransitionRule_10"
"6e44df7b-85ff-4194-a369-e274e5eba55a","ELEMENT_START_RULE_4","Randomized","TransitionRule","TransitionRule_11"
"59b16f22-ac49-47a4-a633-66e6ae3ff264","ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","TransitionRule","TransitionRule_12"
"3f61bd26-4266-4b84-85d9-9c6223015684","ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","TransitionRule","TransitionRule_13"
