"name","timingWindowUpper","timingWindow","timingValue","description","id","label","uuid:ID","timingWindowLower"
"TIM1","","","P2W","Screening timing","Timing_1","Screening","5925e06f-5307-41f2-906e-3373e8a05cfd",""
"TIM2","PT0H","-4..0 hours","P2D","Pre dose timing","Timing_2","Pre dose","4687ab22-51cd-4d74-936e-59f56699523d","PT4H"
"TIM3","","","P1D","Dosing anchor","Timing_3","Dosing","3026ef1c-62e5-44b0-9d13-880f32a671e2",""
"TIM4","P3D","-3..3 days","P2W","Week 2 timing","Timing_4","Week 2","044e936a-1ff2-46cb-902d-a5428fe62ac1","P3D"
"TIM5","P3D","-3..3 days","P4W","Week 4 timing","Timing_5","Week 4","2c87cd42-7075-4cd3-a296-e2e6f7fc93ef","P3D"
"TIM6","P3D","-3..3 days","P6W","Week 6 timing","Timing_6","Week 6","f903601f-7b86-41e6-90c5-985a70a8d395","P3D"
"TIM7","P3D","-3..3 days","P8W","Week 8 timing","Timing_7","Week 8","d4b4351b-1599-4394-bf89-5b0e48e9bed1","P3D"
"TIM8","","","P2W","Week 8 at home timing","Timing_8","Week 8 Home","d2e7c887-be09-40d4-9070-2d9c6b927b48",""
"TIM9","P4D","-4..4 days","P12W","Week 12 timing","Timing_9","Week 12","089ffbdf-3a56-44cb-96f2-c49dfbd5e089","P4D"
"TIM10","","","P2W","Week 12 at home timing","Timing_10","Week 12 Home","1d5f3196-e5da-4390-bfc4-8ca2cee42668",""
"TIM11","P4D","-4..4 days","P16W","Week 16 timing","Timing_11","Week 16","8368771d-bd33-48bb-a542-961326692cf1","P4D"
"TIM12","","","P2W","Week 16 at home timing","Timing_12","Week 16 Home","d607d0dd-1bd1-4455-8cb7-90c12c68e94f",""
"TIM13","P4D","-4..4 days","P20W","Week 20 timing","Timing_13","Week 20","53469414-fea1-45b9-acdf-e6b4d2100605","P4D"
"TIM14","","","P2W","Week 20 at home timing","Timing_14","Week 20 Home","a69eb44e-1c89-44b9-b223-a796aba7d8cb",""
"TIM15","P4D","-4..4 days","P24W","Week 24 timing","Timing_15","Week 24","ec5a00c5-8902-4e99-8a47-cc6902730467","P4D"
"TIM16","P3D","-3..3 days","P26W","Week 26 timing","Timing_16","Week 26","e23ccf01-14ef-4787-aba0-1cb550b3d0b1","P3D"
"TIM17","","","P1D","Adverse Event","Timing_17","Adverse Event","e3d69b1f-5288-4dce-b130-bdcc03535be3",""
"TIM18","","","P1D","Early Termination","Timing_18","Early Termination","c8e62bfc-95aa-484b-9a3a-beacdf6315b8",""
"TIM19","","","PT0M","BP Anchor","Timing_19","BP Anchor","79eff378-8707-4d4c-a9b9-aab6f0373764",""
"TIM20","","","PT5M","BP while Supine","Timing_20","BP while Supine","e699cf1b-c42e-4dfe-87ad-a50745af4ac1",""
"TIM21","PT0M","-2..0 mins","PT3M","BP Stand Up","Timing_21","BP Stand Up","8f197ed1-2d19-460f-acf4-bd928511e5af","PT2M"
"TIM22","","","PT0M","BP while standing","Timing_22","BP while standing","9cac4662-2fbe-4726-b5c2-9b82fdb22c80",""
