"name","text","description","id","label","uuid:ID"
"ENCOUNTER_START_RULE_1","Subject identifier","","TransitionRule_1","","e6138b55-6edd-455b-b8d2-201b5619f7db"
"ENCOUNTER_START_RULE_1","completion of screening activities","","TransitionRule_2","","7ec37270-aaec-461f-8787-659fc4cf7a71"
"ENCOUNTER_START_RULE_2","subject leaves clinic after connection of ambulatory ECG machine","","TransitionRule_3","","6efcab69-e0de-443a-a6e2-a7d73d67d2dd"
"ENCOUNTER_START_RULE_3","subject has connection of ambulatory ECG machine removed","","TransitionRule_4","","50fb29d9-6075-42ae-a012-1d2687cdb359"
"ENCOUNTER_START_RULE_3","Radomized","","TransitionRule_5","","2bd8aa71-cffa-4dcc-a491-78973f3915c7"
"ENCOUNTER_START_RULE_12","End of treatment","","TransitionRule_6","","e002f5ed-2e6f-4e42-85e2-1bd8ff9b61aa"
"ELEMENT_START_RULE_1","Informed consent","","TransitionRule_7","","d4dc5cef-d0e5-41bf-8e7b-91145e070bf1"
"ELEMENT_END_RULE_1","Completion of all screening activities and no more than 2 weeks from informed consent","","TransitionRule_8","","c0779d7e-6093-43d2-8782-74d2728c67f8"
"ELEMENT_START_RULE_2","Administration of first dose","","TransitionRule_9","","903881db-885f-4aa3-b6e1-d1132e356570"
"ELEMENT_START_RULE_7","End of last scheduled visit on study (including early termination)","","TransitionRule_14","","f7c8b237-1dfd-4eaa-8846-4591f2f1abd8"
"ELEMENT_END_RULE_7","Completion of all specified followup activities (which vary on a patient-by-patient basis)","","TransitionRule_15","","0dd6a190-7f90-449a-9247-79c0201edb7a"
"ELEMENT_START_RULE_3","Administration of first dose","","TransitionRule_10","","67c6901a-1c4f-48ca-ba76-5816f9cdf133"
"ELEMENT_START_RULE_4","Randomized","","TransitionRule_11","","2c19c6e2-eafe-4d92-88b6-063a56a3af21"
"ELEMENT_START_RULE_5","Administration of first dose (from patches supplied at Visit 4)","","TransitionRule_12","","d74cbfe2-239e-4ea4-a0bf-a50049102161"
"ELEMENT_START_RULE_6","Administration of first dose (from patches supplied at Visit 12)","","TransitionRule_13","","d7688d38-add5-41b8-8ceb-4b140fa486b2"
