"name","bcPropertyEnabled","id","bcPropertyResponseCodes","label","uuid:ID","bcPropertyRequired","bcPropertyDatatype"
"Vital Signs Result","True","BiomedicalConceptProperty_86","[]","Vital Signs Result","83f95c4a-ab1c-4676-93e6-676ab9c4186b","True","decimal"
"Unit of Temperature","True","BiomedicalConceptProperty_87","","Unit of Temperature","043b7c91-c4c9-4205-a112-0f2604f54554","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_88","[]","Vital Signs Location","e71f5a4e-04a6-4597-af2b-d74f0ca62fa0","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_89","[]","Vital Signs Result","7d1bc25b-7d3c-483c-bb24-c008199849f8","True","decimal"
"Unit of Weight","True","BiomedicalConceptProperty_90","","Unit of Weight","994a9a50-dce2-499b-8efd-d47ea2d5f73e","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_91","[]","Vital Signs Result","bb4b1a31-3f14-4006-a413-6e93943b1c38","True","decimal"
"Unit of Height","True","BiomedicalConceptProperty_92","","Unit of Height","22f74b9b-f757-4de3-a525-2768b26c88b6","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_93","[]","Laboratory Test Result","2f3ae4a2-4364-4722-9740-61b1ed4fd244","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_94","[]","Laboratory Test Fasting Status","6119dad4-c6c5-4134-8866-9dd0b3df6147","True","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_95","[]","Unit of Catalytic Activity Concentration","98829027-69dd-4956-adf0-ea2dfa668891","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_96","[]","Biospecimen Type","f94d10c5-5f3e-4ce4-96e6-bdad358f348a","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_97","[]","Laboratory Test Result","6557816c-d334-4a57-9488-a9071971a62f","True","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_98","[]","Laboratory Test Fasting Status","d63e79d1-084c-4503-a708-c8759de08018","True","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_99","[]","Unit of Concentration","8b836859-7c9b-4928-b949-2a4f6ec9ace7","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_100","[]","Biospecimen Type","454bca98-9257-4eea-b9a7-8c03581ad533","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_101","[]","Laboratory Test Result","3e9cd371-99b1-4660-8f65-09ea6a1a3b1d","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_102","[]","Laboratory Test Fasting Status","8b1d939a-0fd1-4d7f-a72d-63e461f05e85","True","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_103","[]","Unit of Catalytic Activity Concentration","06d44aee-45e6-49d2-8856-3226c62e33fb","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_104","[]","Biospecimen Type","3db4b85f-8760-4873-b347-004ff353517d","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_105","[]","Laboratory Test Result","80fbcab5-548d-42c8-90a1-2da580f9dae5","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_106","[]","Laboratory Test Fasting Status","58dbcb39-d2b3-4c79-934b-3ccb4af00c37","True","boolean"
"Unit of Catalytic Activity Concentration","True","BiomedicalConceptProperty_107","[]","Unit of Catalytic Activity Concentration","2c3dd070-9d3a-4227-a0ed-911fe8c75ed7","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_108","[]","Biospecimen Type","6f32d5eb-eeb2-4dee-8d1f-3a3519bfb7ef","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_109","[]","Laboratory Test Result","9a336bb6-f84c-4070-b7bb-ba131bf4acc8","True","string"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_110","[]","Laboratory Test Fasting Status","9d85bd8f-85d6-4206-86bb-9ca9c0a12326","True","boolean"
"Unit of Concentration","True","BiomedicalConceptProperty_111","[]","Unit of Concentration","ff0df38f-5720-4e04-be48-bc82e51463f2","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_112","[]","Biospecimen Type","695de383-c331-4c21-9ad2-bbac379c42b7","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_113","[]","Laboratory Test Result","e4ce8f70-5674-4b00-a437-67b0e76f781d","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_114","[]","Laboratory Test Fasting Status","556856e9-a1ba-4370-814d-8e4a8a6a9c98","True","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_115","[]","Molarity Unit","f57349a1-aed9-4505-b6ef-1fe36dd1a852","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_116","[]","Biospecimen Type","4c3e4006-b66f-4ccb-b3cf-9e03a320216c","True","string"
"Laboratory Test Result","True","BiomedicalConceptProperty_117","[]","Laboratory Test Result","8cf7b811-0823-4e23-b361-8c1fb2e99d92","True","decimal"
"Laboratory Test Fasting Status","True","BiomedicalConceptProperty_118","[]","Laboratory Test Fasting Status","748cdbe9-5aa7-498f-a39b-3b23a5887a4a","True","boolean"
"Molarity Unit","True","BiomedicalConceptProperty_119","[]","Molarity Unit","08da4321-7e43-482f-b9cb-a115db298631","True","string"
"Biospecimen Type","True","BiomedicalConceptProperty_120","[]","Biospecimen Type","de71d984-d9cb-4f1a-a9b7-7bd7baca8dd9","True","string"
"Adverse Event Verbatim Description","True","BiomedicalConceptProperty_1","[]","Adverse Event Verbatim Description","e8eb37e3-acd5-4f9e-9162-7724cadf65f2","True","string"
"Adverse Event Dictionary Derived Term","True","BiomedicalConceptProperty_2","[]","Adverse Event Dictionary Derived Term","98ed3be0-5f6f-4936-abfd-fae993ddd2d7","True","string"
"Adverse Event Category","True","BiomedicalConceptProperty_3","[]","Adverse Event Category","5fe712de-cfd6-4f3d-ae5d-c5a4ed0a0a0f","True","string"
"Adverse Event Subcategory","True","BiomedicalConceptProperty_4","[]","Adverse Event Subcategory","5faa1971-f458-4d99-b507-48193092f1f3","True","string"
"Adverse Event Pre-specified","True","BiomedicalConceptProperty_5","[]","Adverse Event Pre-specified","1cec9ad5-ec3d-4f36-9526-3e3653e3c045","True","boolean"
"Severity of Adverse Event","True","BiomedicalConceptProperty_6","[]","Severity of Adverse Event","e9f4e51d-74a2-4ba3-b3b4-fd12736f9564","True","string"
"Adverse Event Toxicity Grade","True","BiomedicalConceptProperty_7","[]","Adverse Event Toxicity Grade","35346bec-a81b-4f1b-b140-d4910cf1a05e","True","string"
"Seriousness of Adverse Event","True","BiomedicalConceptProperty_8","[]","Seriousness of Adverse Event","02097978-d3ef-490b-a91b-fbb6ae1a1ed9","True","boolean"
"Adverse Event Action Taken with Study Treatment","True","BiomedicalConceptProperty_9","","Adverse Event Action Taken with Study Treatment","8e5d28a6-9bf0-438c-b8c3-01c66d1a1cc9","True","string"
"Adverse Event Attribution to Product or Procedure","True","BiomedicalConceptProperty_10","[]","Adverse Event Attribution to Product or Procedure","e74a6375-13ef-4a50-8ec2-e096cfeaec0c","True","string"
"Adverse Event Pattern","True","BiomedicalConceptProperty_11","[]","Adverse Event Pattern","4a47246e-16b6-45b3-a02c-aecc2342ef86","True","string"
"Adverse Event Outcome","True","BiomedicalConceptProperty_12","","Adverse Event Outcome","d90bd11a-bb6b-4b32-ad51-f5f5a80d74bc","True","string"
"Adverse Event Start Date Time","True","BiomedicalConceptProperty_13","[]","Adverse Event Start Date Time","40332a57-318a-4b55-989c-d3c617d5cae5","True","datetime"
"Adverse Event End Date Time","True","BiomedicalConceptProperty_14","[]","Adverse Event End Date Time","ebab7472-2c64-4de0-9402-1beacfc22274","True","datetime"
"Vital Signs Result","True","BiomedicalConceptProperty_15","[]","Vital Signs Result","619d04c8-a469-4290-9dfe-99fe4dd5c787","True","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_16","","Unit of Pressure","35879f33-a728-4249-b620-23d45073252a","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_17","[]","Vital Signs Location","101540a5-4625-48a4-8718-6b7f6f722bc4","True","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_18","[]","Vital Signs Laterality","aa508e2f-ad10-4a1f-86d0-5815590eca76","True","string"
"Test Method","True","BiomedicalConceptProperty_19","[]","Test Method","e9f78726-bcb2-4d8e-921d-fc08e31fdd8b","True","string"
"Vital Signs Position","True","BiomedicalConceptProperty_20","[]","Vital Signs Position","9fc25d3c-f6fb-422e-badf-8dc9dd1e2459","True","string"
"Vital Signs Result","True","BiomedicalConceptProperty_21","[]","Vital Signs Result","af47d8ba-a9f5-4f9a-a60e-0581705891dd","True","decimal"
"Unit of Pressure","True","BiomedicalConceptProperty_22","","Unit of Pressure","7b5df070-ff1d-4eff-93ec-e7df5ae8a301","True","string"
"Vital Signs Location","True","BiomedicalConceptProperty_23","[]","Vital Signs Location","05ce608a-c280-4cdb-9435-3033e21814b5","True","string"
"Vital Signs Laterality","True","BiomedicalConceptProperty_24","[]","Vital Signs Laterality","b669b99d-c940-4fd2-81b3-bff0f7032e80","True","string"
"Test Method","True","BiomedicalConceptProperty_25","[]","Test Method","99433aca-3773-4687-9bae-097d7b4d52e5","True","string"
