"code","codeSystemVersion","id","uuid:ID","decode","codeSystem"
"C98388","2023-09-29","Code_1","744df15f-151c-4e40-b3d9-fd13a5e8d6f0","Interventional Study","http://www.cdisc.org"
"C15601","2023-09-29","Code_2","77490e27-83b2-461a-b36e-36d65f5ec31c","Phase II Trial","http://www.cdisc.org"
"C132352","2023-09-29","Code_5","39061bc0-9416-47b6-8851-e8c949ed6fba","Sponsor Approval Date","http://www.cdisc.org"
"C68846","2023-09-29","Code_6","a04e9947-9a3b-4d44-9cb2-42d487a0335b","Global","http://www.cdisc.org"
"C99904x3","2023-09-29","Code_54","6643a01a-742f-40d8-b6fc-18926ff7eaec","IRB/IEC Feedback","http://www.cdisc.org"
"C17649","2023-09-29","Code_55","27bb4060-6186-48ae-ab90-b8e4460a6ad4","Other","http://www.cdisc.org"
"C41129","2023-09-29","Code_57","2cc4d796-03b6-4b42-82e1-0720df060e99","Region","http://www.cdisc.org"
"150","2020-08","Code_56","c80a466c-07fe-4994-bce9-611ff8af4655","Europe","ISO 3166 1 alpha3"
"C25464","2023-09-29","Code_59","afde3ce4-799b-443e-a93f-465d2236f58b","Country","http://www.cdisc.org"
"DNK","2020-08","Code_58","1af4088e-8967-4d7f-b76e-30e919b04ea1","Denmark","ISO 3166 1 alpha3"
"PHARMA","12","Code_3","7136f695-8139-4575-9068-50546b3a9b26","Eli Lilly","SPONSOR"
"C70793","2023-09-29","Code_60","f1097f62-07c1-483c-ab94-fecdd8ead026","Clinical Study Sponsor","http://www.cdisc.org"
"USA","2020-08","Code_61","5adda633-5dd0-4b19-8f75-5e3119708265","United States of America","ISO 3166 1 alpha3"
"C93453","2023-09-29","Code_62","268768db-f6a5-4000-a3e9-4cbd22628e50","Study Registry","http://www.cdisc.org"
"C49656","2023-09-29","Code_120","1e63ce38-22ff-4592-b255-039ac51324d4","Treatment Study","http://www.cdisc.org"
"C49666","2023-09-29","Code_121","5929c703-fb9c-489b-8b59-3778e73be649","Efficacy Study","http://www.cdisc.org"
"C49667","2023-09-29","Code_122","76ee580f-a0d4-430e-8796-5d6b9526a932","Safety Study","http://www.cdisc.org"
"C49663","2023-09-29","Code_123","33e0820a-012b-42fd-98b7-412b9cf06cae","Pharmacokinetic Study","http://www.cdisc.org"
"MILD_MOD_ALZ","12","Code_117","99fa3692-c7f2-404b-81c5-f0a2db1ab6f6","Mild to Moderate Alzheimer\'s Disease","SPONSOR"
"26929004","January 31, 2018","Code_118","0bd23cc4-6dfd-4097-a4f8-e61848d99082","Alzheimer\'s disease","SNOMED"
"C82639","2023-09-29","Code_124","7d2d3f05-09e4-4778-a3e8-28420e985a35","Parallel Study","http://www.cdisc.org"
"C25716","2023-09-29","Code_66","6e521b08-56f6-43a8-ba33-8cd3fe335284","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_67","c36bca3a-80ff-43eb-8d19-d048e5a6ec76","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_68","cc5392e1-b064-4db7-b03d-543f48409b68","In Person","http://www.cdisc.org"
"C25716","2023-09-29","Code_69","152b6f53-c3c1-49cc-b08a-f5cea2e1dc31","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_70","db6f0659-dc78-44af-a42f-96e37fb96e50","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_71","66412a25-0181-46b5-a9e9-3e0dda7fc804","In Person","http://www.cdisc.org"
"C25716","2023-09-29","Code_72","2b3c46e6-0471-4c25-9f83-42f8cb438ce6","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_73","9af3ac6e-3376-4c00-ad97-faa612f85755","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_74","e805bf3d-68f6-4b56-b7c1-37223ebecc51","In Person","http://www.cdisc.org"
"C25716","2023-09-29","Code_75","5ac2629a-98d7-44da-bacd-b4108e71f004","Visit","http://www.cdisc.org"
"C51282","2023-09-29","Code_76","9f0571de-c438-4827-aee5-4018c84ee594","Clinic","http://www.cdisc.org"
"C175574","2023-09-29","Code_77","d66aa30b-596a-4acc-8c07-e4f5b2386dd7","In Person","http://www.cdisc.org"
